"","CellType","estimate","se","zval","pval","ci.lb","ci.ub","padj"
"L5/6 NP_4","L5/6 NP_4",0.173914484222229,0.0723978829717698,2.40220400215354,0.0162966173652479,0.0320172410406147,0.315811727403844,0.192106022298078
"L6 CT_1","L6 CT_1",0.2308172737216,0.0937106085227013,2.46308584866019,0.0137746929651014,0.0471478560477737,0.414486691395427,0.187680191649506
"L6b_1","L6b_1",0.481296796598871,0.101095249618842,4.76082504779895,1.92803133457243e-06,0.283153748337854,0.679439844859888,0.000210155415468394
"L6b_2","L6b_2",0.167197845733031,0.0871313688570625,1.91891677964243,0.0549948667087902,-0.00357649915048594,0.337972190616549,0.338304125851518
"Vip_12","Vip_12",-0.0683277828999998,0.0671702353212183,-1.01723304337473,0.30904258026592,-0.199979024962668,0.0633234591626683,0.623808171277505
"L4 IT_3","L4 IT_3",0.0480322121884009,0.0736806507182668,0.651897231093439,0.514467471276935,-0.0963792095768772,0.192443633953679,0.762754537006271
"Vip_15","Vip_15",-0.0179482346937108,0.0464797589030812,-0.386151630672959,0.699384373825,-0.109046888153855,0.0731504187664332,0.886429031940988
"Pax6_2","Pax6_2",0.118936931018439,0.0827116613009,1.437970524927,0.150442417440991,-0.0431749462328002,0.281048808269678,0.499604933085498
"L2/3 IT_7","L2/3 IT_7",0.208344907686777,0.0883656654048172,2.3577586015147,0.0183856444997348,0.0351513860234187,0.381538429350136,0.192106022298078
"Lamp5_1","Lamp5_1",0.0403381814661403,0.0767968137036056,0.525258529889325,0.59940348180977,-0.110180807520359,0.190857170452639,0.81582568961815
"L4 IT_4","L4 IT_4",0.02729310786111,0.0579298689356221,0.471140507696315,0.637540399629103,-0.086247348881835,0.140833564604055,0.833954729695128
"L2/3 IT_3","L2/3 IT_3",-0.0936134743193302,0.0729423924817765,-1.28338913948727,0.19935577689225,-0.236577936529797,0.0493509878911369,0.519939354955901
"Vip_9","Vip_9",-0.00149102821986987,0.0587168882869469,-0.0253935156199572,0.979741083227422,-0.116574014546548,0.113591958106808,0.995669874819086
"L4 IT_1","L4 IT_1",0.049193184015191,0.0568427888277968,0.865425237389741,0.386805434047021,-0.0622166348681066,0.160603002898489,0.680028908243956
"Sst_2","Sst_2",-0.254509920135936,0.0591534995883802,-4.30253361013202,1.68856046339816e-05,-0.370448648888667,-0.138571191383206,0.000920265452551997
"Lamp5_4","Lamp5_4",0.0751792802930142,0.0664533239767492,1.13130955374509,0.257924824611278,-0.0550668413543863,0.205425401940415,0.569755257858317
"L2/3 IT_12","L2/3 IT_12",-0.0588886771125258,0.0824681365615157,-0.714077940497647,0.475178985744995,-0.220523254645227,0.102745900420176,0.725161804665052
"Sst_5","Sst_5",0.0309783749550944,0.0667703598466859,0.463953991355222,0.642680709122851,-0.0998891255791894,0.161845875489378,0.833954729695128
"Pvalb_10","Pvalb_10",0.0431573824938302,0.0667359333543216,0.646688827512075,0.517833355398753,-0.0876426433553055,0.173957408342966,0.762754537006271
"L2/3 IT_6","L2/3 IT_6",-0.0885649875776229,0.0760824244129518,-1.1640663170369,0.244397137513991,-0.237683799283499,0.0605538241282536,0.566793361468618
"L5 ET_1","L5 ET_1",0.16890379147394,0.0902567516473144,1.87137015670523,0.0612937924285458,-0.00799619111637284,0.345803774064252,0.351632809195342
"Pvalb_13","Pvalb_13",0.0740884300815594,0.0621626044250759,1.19184887388136,0.233320508048255,-0.0477480357767996,0.195924895939918,0.552868160375212
"L5 IT_5","L5 IT_5",-0.045306458296817,0.064001009081603,-0.707902249463756,0.47900596271453,-0.17074613107098,0.0801332144773458,0.725161804665052
"Pvalb_15","Pvalb_15",-0.062759661928616,0.041993052328719,-1.49452489038752,0.135038481239471,-0.145064532093811,0.019545208236579,0.499604933085498
"L2/3 IT_8","L2/3 IT_8",-0.0750586405572907,0.0818561853224475,-0.916957469513392,0.359164927149959,-0.235493815701124,0.0853765345865426,0.652482950989092
"Sst_25","Sst_25",-0.258992646343256,0.0826138738897393,-3.13497762723148,0.00171867218547075,-0.420912863790479,-0.0970724288960327,0.0374670536432624
"L2/3 IT_10","L2/3 IT_10",-0.169067110295597,0.0842876847815801,-2.00583407568628,0.0448739537362267,-0.334267936807759,-0.00386628378343526,0.305703809828044
"Sst_22","Sst_22",-0.27142856495951,0.0808981876307707,-3.35518721628652,0.000793112896777342,-0.429986099130384,-0.112871030788636,0.0216123264371826
"Lamp5_6","Lamp5_6",0.11080758128473,0.0815145497421795,1.35935954544558,0.174032683746483,-0.0489580004259405,0.270573162995401,0.512977103115637
"Sst_9","Sst_9",-0.0612491014058203,0.0545312450350913,-1.12319279279991,0.261355622870788,-0.168128377706728,0.0456301748950872,0.569755257858317
"Pvalb_8","Pvalb_8",0.0110182356205514,0.0692976447784177,0.158998702708912,0.873669895918211,-0.124802652358597,0.1468391235997,0.961919380354394
"Sst_19","Sst_19",-0.05323807353256,0.053867350818735,-0.988318020533577,0.322996922597446,-0.158816141079865,0.0523399940147449,0.640121173874938
"Pvalb_7","Pvalb_7",0.135898804676527,0.0658871344963603,2.0626000161539,0.039150646223205,0.00676239401911446,0.26503521533394,0.304815745594954
"Sncg_6","Sncg_6",-0.00994506238280849,0.0612025234955034,-0.162494319103348,0.87091660152526,-0.129899804196962,0.110009679431345,0.961919380354394
"L5 IT_6","L5 IT_6",0.105963133916066,0.0710765312253008,1.4908315317215,0.136005731008827,-0.0333443074315602,0.245270575263692,0.499604933085498
"L6b_3","L6b_3",0.123211420755199,0.0892720812798716,1.38017865147476,0.167531645433414,-0.0517586433782819,0.29818148488868,0.512977103115637
"L6b_4","L6b_4",0.263148912719372,0.0766304865344309,3.43399767664449,0.00059474929377856,0.112955918994106,0.413341906444639,0.021609224340621
"Sncg_5","Sncg_5",0.0147969765618592,0.0727340801672124,0.203439385331356,0.838791618356915,-0.127759201014526,0.157353154138244,0.961919380354394
"Pvalb_3","Pvalb_3",-0.0427632660488448,0.055314205714086,-0.773097353505972,0.439464767235097,-0.151177117081893,0.0656505849842035,0.725161804665052
"L6 IT_1","L6 IT_1",0.1048442674229,0.0787099144638225,1.33203381222183,0.182849077951207,-0.0494243301524208,0.25911286499822,0.513113325556289
"L5 IT_7","L5 IT_7",-0.0387628650406406,0.0673412840245114,-0.575618145720704,0.564873313227867,-0.170749356401365,0.0932236263200844,0.786920305648997
"Chandelier_2","Chandelier_2",0.154152041754566,0.0699836489851141,2.20268654164283,0.027616849489067,0.0169866102370498,0.291317473272083,0.231556661100639
"Vip_1","Vip_1",-0.0514451227739463,0.0492731622252091,-1.04407999102655,0.296448382399967,-0.148018746139756,0.0451285005918631,0.609676861916914
"Sst Chodl_1","Sst Chodl_1",-0.0181061358445948,0.0703998396236776,-0.25719001550829,0.797032091301406,-0.156087286024399,0.119875014335209,0.961919380354394
"L2/3 IT_1","L2/3 IT_1",-0.0435929821253722,0.0610158349794698,-0.714453586352462,0.474946746590716,-0.163181821171772,0.0759958569210279,0.725161804665052
"L2/3 IT_2","L2/3 IT_2",0.075801956093688,0.0821736060870001,0.922461112555214,0.356288105453833,-0.0852553523166135,0.23685926450399,0.652482950989092
"Sncg_2","Sncg_2",0.157378115090815,0.0823075552516264,1.91207374110052,0.0558667363791497,-0.00394172885791305,0.318697959039544,0.338304125851518
"Sst_1","Sst_1",0.0697615060622537,0.0618378532279409,1.1281359623709,0.259262503421158,-0.0514384591457843,0.190961471270292,0.569755257858317
"Sncg_8","Sncg_8",-0.00175879016333989,0.0635160211386955,-0.0276904965362888,0.977909003464133,-0.126247904036468,0.122730323709788,0.995669874819086
"Pax6_3","Pax6_3",0.0362607840844254,0.0718403102289647,0.504741474095217,0.613740427052186,-0.10454363660253,0.177065204771381,0.81582568961815
"Vip_18","Vip_18",-0.0648361552969541,0.0610262514155198,-1.06243057361484,0.288040260267096,-0.184445410182859,0.0547730995889511,0.603776699406029
"Pax6_4","Pax6_4",0.0641894868833819,0.0737338588677429,0.870556456274982,0.383996380664173,-0.0803262209385534,0.208705194705317,0.680028908243956
"Sncg_3","Sncg_3",0.0510673069238611,0.071816876077193,0.711076695524475,0.477036710407552,-0.0896911836696133,0.191825797517335,0.725161804665052
"Sst Chodl_2","Sst Chodl_2",0.131358137330864,0.0747291013191975,1.7577909410389,0.0787830872937457,-0.0151082098518081,0.277824484513535,0.390334387046285
"L6 IT Car3_3","L6 IT Car3_3",0.0835367743096128,0.0628200302811211,1.32977927479156,0.1835910063917,-0.0395882225491002,0.206661771168326,0.513113325556289
"L6 CT_3","L6 CT_3",0.131444235983575,0.0740213144769062,1.77576198034938,0.0757721566988142,-0.0136348744794744,0.276523346446625,0.390334387046285
"Pvalb_14","Pvalb_14",0.158780283491465,0.0619554054455309,2.56281566313144,0.0103827157361502,0.0373499201706481,0.280210646812283,0.16167371646291
"Pvalb_1","Pvalb_1",-0.000976713380145273,0.0578748050915545,-0.0168763139435229,0.986535288811571,-0.114409246971867,0.112455820211577,0.995669874819086
"Pvalb_12","Pvalb_12",0.119075676297048,0.0666610938727148,1.78628446338453,0.0740532112031961,-0.0115776668635167,0.249729019457612,0.390334387046285
"L2/3 IT_13","L2/3 IT_13",-0.0703821418224023,0.0729471465821103,-0.964837490157059,0.334626214864152,-0.213355921898303,0.0725916382534979,0.651326025360581
"Vip_14","Vip_14",0.0695235995305419,0.0637252518928077,1.0909897954972,0.275277372815086,-0.0553755990851041,0.194422798146188,0.588337914447929
"L5 IT_2","L5 IT_2",0.00906540634300588,0.0530108064807735,0.171010534357628,0.864215482395579,-0.0948338651507327,0.112964677836744,0.961919380354394
"Sst_23","Sst_23",-0.0654486788027768,0.0700522250641106,-0.934284082238348,0.350157373023614,-0.202748516965328,0.0718511593597741,0.652482950989092
"Pvalb_5","Pvalb_5",-0.0760606231404792,0.0615546320838198,-1.23566042985858,0.216584812018757,-0.19670548510638,0.0445842388254213,0.549017314187081
"L6 CT_2","L6 CT_2",0.0979330149930562,0.0762766895965434,1.28391800314174,0.199170647302325,-0.0515665494761098,0.247432579462222,0.519939354955901
"Sst_12","Sst_12",-0.0614500257970238,0.0661862188405618,-0.928441401752424,0.353178650837457,-0.191172630997411,0.0682725794033636,0.652482950989092
"Pvalb_2","Pvalb_2",-0.08358702781814,0.0577625999171038,-1.44707869690937,0.147874883743049,-0.19679964330906,0.0296255876727797,0.499604933085498
"Lamp5_Lhx6_1","Lamp5_Lhx6_1",0.00204447664228724,0.0416093479821212,0.0491350319444014,0.96081168565798,-0.0795083468228646,0.0835973001074391,0.995669874819086
"Vip_19","Vip_19",-0.00354749457961902,0.04136867900373,-0.0857531510566039,0.931662649267175,-0.0846286155149281,0.0775336263556901,0.995669874819086
"Lamp5_3","Lamp5_3",0.101828511468411,0.0651742578564092,1.56240385111492,0.118192880438295,-0.0259106866492778,0.229567709586099,0.499604933085498
"Sst_13","Sst_13",-0.0817744078418891,0.0556219860096725,-1.47018137445989,0.141512637776069,-0.190791497169438,0.0272426814856598,0.499604933085498
"Sst_20","Sst_20",-0.174676636280529,0.0747117440175118,-2.33800774667483,0.019386846286962,-0.321108963777028,-0.0282443087840304,0.192106022298078
"Sst_3","Sst_3",-0.186286911011216,0.0617411940282608,-3.01722235766849,0.00255102610277124,-0.307297427669107,-0.0652763943533258,0.0463436408670109
"L6 IT Car3_1","L6 IT Car3_1",-0.0475631776962481,0.0816046156953244,-0.582849110812898,0.559994880952075,-0.207505285431316,0.11237893003882,0.786920305648997
"Pvalb_9","Pvalb_9",0.0038736037517235,0.0585607569774225,0.0661467500021717,0.94726099120489,-0.110903370831427,0.118650578334874,0.995669874819086
"Pvalb_6","Pvalb_6",-0.115169547076118,0.0513734717663942,-2.24180969508578,0.0249736743761872,-0.215859701499036,-0.0144793926532,0.226844208917034
"Vip_2","Vip_2",-0.0771042168942552,0.0567337884768138,-1.35905284953369,0.174129842342005,-0.188300399015324,0.0340919652268133,0.512977103115637
"L5/6 NP_1","L5/6 NP_1",0.036994958884966,0.0637298265675389,0.580496776431046,0.561579659970754,-0.0879132059283942,0.161903123698326,0.786920305648997
"L2/3 IT_5","L2/3 IT_5",-0.04189726063948,0.0563552386355641,-0.743449263171781,0.457209728300242,-0.152351498705346,0.0685569774263858,0.725161804665052
"L6 IT Car3_2","L6 IT Car3_2",0.027995281250069,0.0852044968888781,0.328565771435513,0.74248392328774,-0.139002463972987,0.194993026473125,0.910999400823907
"L5 ET_2","L5 ET_2",0.0627526232524604,0.0749759427050267,0.836970113191431,0.402609367618143,-0.0841975241563305,0.209702770661251,0.696578112228216
"Vip_6","Vip_6",0.0151278477964083,0.0632472158452404,0.23918598778205,0.810961367501729,-0.108834417382694,0.139090112975511,0.961919380354394
"Vip_4","Vip_4",-0.0687142701441916,0.0478809304254671,-1.4351072448593,0.151256539374509,-0.162559169324375,0.0251306290359919,0.499604933085498
"L5/6 NP_2","L5/6 NP_2",0.152629704450451,0.0760417986694187,2.00718167009684,0.0447303226202571,0.00359051773874491,0.301668891162158,0.305703809828044
"Pax6_1","Pax6_1",-0.0332602293344894,0.0586025879247094,-0.567555640669333,0.570336735286888,-0.148119191067762,0.081598732398783,0.786920305648997
"L5 IT_1","L5 IT_1",-0.00406946933134624,0.0525882032035817,-0.0773836922245153,0.938318313597857,-0.10714045362204,0.0990015149593478,0.995669874819086
"Vip_21","Vip_21",0.0114308683093151,0.0608229756476285,0.187936683261578,0.850926285986344,-0.107779973392594,0.130641710011224,0.961919380354394
"Vip_5","Vip_5",-0.0965279301348535,0.065405364906343,-1.47584116796958,0.139986536167956,-0.224720089746986,0.0316642294772787,0.499604933085498
"Lamp5_5","Lamp5_5",0.000178885942636977,0.0599011047709173,0.00298635464773312,0.997617237275197,-0.117225122042521,0.117582893927795,0.997617237275197
"Sncg_4","Sncg_4",-0.00224649535545025,0.066013609441946,-0.0340307911420277,0.972852597134413,-0.131630792351158,0.127137801640257,0.995669874819086
"Sst_4","Sst_4",0.0416898873119017,0.0659924621571455,0.631737109802435,0.527558674671892,-0.087652961767226,0.171032736391029,0.766718607189817
