"","CellType","estimate","se","zval","pval","ci.lb","ci.ub","padj"
"Astro_5","Astro_5",0.0323379587642541,0.080233940163703,0.403045876823129,0.686914475350855,-0.124917674294345,0.189593591822854,0.746128557695665
"OPC_2","OPC_2",0.0163299096461597,0.0504401314333866,0.323748356360365,0.746128557695665,-0.0825309313387448,0.115190750631064,0.746128557695665
"Micro-PVM_1","Micro-PVM_1",0.0496639427845672,0.0786006445697489,0.631851596846592,0.527483854445128,-0.104390489733774,0.203718375302909,0.715870945318388
"Astro_3","Astro_3",0.221002691825535,0.0961580737545088,2.29832694433703,0.0215431880234466,0.0325363304439518,0.409469053207119,0.136440190815162
"Endo_2","Endo_2",-0.0751813506348888,0.0738512991250856,-1.01800985934656,0.308673270628884,-0.219927237131551,0.0695645358617733,0.533162921995345
"Oligo_2","Oligo_2",0.0299120403718232,0.08567894383812,0.349117753229293,0.727000908967128,-0.138015603784322,0.197839684527968,0.746128557695665
"Oligo_1","Oligo_1",0.0733197049347485,0.101004053148187,0.725908541780778,0.467894839722135,-0.124644601528267,0.271284011397764,0.683846304209274
"VLMC_1","VLMC_1",-0.0310406912720724,0.0710780120523406,-0.436712991483422,0.662319506315139,-0.170351034987364,0.108269652443219,0.746128557695665
"Oligo_3","Oligo_3",-0.121724418881221,0.085708323662561,-1.42021700669888,0.155544514003868,-0.289709646435143,0.0462608086727007,0.328371751785943
"OPC_1","OPC_1",-0.0462711368348543,0.0894124974081474,-0.517501894882069,0.604805846514834,-0.221516411522604,0.128974137852895,0.746128557695665
"Oligo_4","Oligo_4",-0.0739010975219009,0.0899042024781906,-0.821998254640301,0.411077890255447,-0.250110096437951,0.102307901394149,0.650873326237791
"Astro_2","Astro_2",0.120656863901718,0.0807238301049197,1.49468705517188,0.134996134215455,-0.0375589357980548,0.278872663601491,0.328371751785943
"Micro-PVM_2","Micro-PVM_2",-0.130977743809372,0.0743431524377036,-1.761799701985,0.0781031451266595,-0.276687645084442,0.0147321574656985,0.262570050573404
"Oligo_2_1-SEAAD","Oligo_2_1-SEAAD",0.127666981638075,0.073625417117691,1.7340069046264,0.0829168580758119,-0.0166361842593385,0.271970147535488,0.262570050573404
"Astro_4","Astro_4",0.108733488600415,0.0755692078621799,1.43885971120299,0.15019027443655,-0.0393794371496791,0.256846414350508,0.328371751785943
"OPC_2_1-SEAAD","OPC_2_1-SEAAD",0.220025887466335,0.0899216236733595,2.44686292882766,0.0144105631761616,0.0437827436351863,0.396269031297484,0.136440190815162
"Endo_1","Endo_1",0.172827601432809,0.0810908003711875,2.13128493789311,0.0330656751688677,0.0138925532277543,0.331762649637864,0.157061957052122
"Endo_3","Endo_3",0.23156060899084,0.0924790947460619,2.50392382869536,0.0122824473875106,0.0503049139656918,0.412816304015989,0.136440190815162
"Micro-PVM_2_1-SEAAD","Micro-PVM_2_1-SEAAD",0.104464925559084,0.0948999063835593,1.10079060707252,0.270987800729002,-0.081535473088915,0.290465324207083,0.514876821385104
