cell_type,ctrl_mean,scz_mean,log2FC,U_stat,pvalue,padj
Oligodendrocyte,0.06564864390826439,0.04029008357976662,-0.7043265802447185,130.0,0.0009009355963600168,0.020721518716280387
Endothelial,0.10958148948954055,0.09302584811880137,-0.23629823213920323,119.0,0.007259954988190576,0.08348948236419163
Pvalb,0.032256980596267186,0.028486323793813575,-0.17933603035201662,114.0,0.01657492674985327,0.12707443841554175
Sst,0.17516768537810834,0.21593492722470667,0.30185840789418555,35.0,0.035089116094047856,0.20176241754077517
L2/3 IT,0.26097808273358053,0.25012760547676466,-0.06126412256896521,107.0,0.04638659328139865,0.2133783290944338
L5/6 NP,2.9638554924164267e-05,1.1579186567788362e-05,-1.2843096203002822,97.0,0.10389055840880063,0.39824714056706906
VLMC,0.02581413300435668,0.0313738108207251,0.28138972898568576,46.0,0.14095521914437145,0.46313857718864904
L6 IT Car3,1.3599383104533335e-05,7.027604430201832e-06,-0.8628659764161171,88.0,0.20763226189415152,0.5525686691194593
Astrocyte,0.13342070615723525,0.14762295654261745,0.14593346689633516,52.0,0.2602362026171888,0.5525686691194593
L6 IT,7.132389551129744e-05,5.258664007375103e-05,-0.4325990255952654,91.0,0.27259706500282954,0.5525686691194593
Vip,0.04944456419835161,0.051500762253074935,0.05878069687281028,53.0,0.28547630885188247,0.5525686691194593
Microglia-PVM,0.05520560688768122,0.04796373168317818,-0.20286694632429356,90.0,0.3123214216762161,0.5525686691194593
L4 IT,0.03178350140536445,0.029736718779360755,-0.09602947690619687,90.0,0.3123214216762161,0.5525686691194593
Pax6,0.002333661810483212,0.0029794387256495587,0.3523111312890778,56.0,0.3708443333042212,0.6092442618569347
L6b,2.386432125140991e-05,0.00013437468128124023,2.4448089872698064,58.0,0.4048854838618343,0.6208244085881459
L5 ET,6.553087815390844e-06,4.349753233662205e-05,2.5585868664586275,63.0,0.4895503682760387,0.7037286543968057
OPC,0.022036324767408594,0.023140642299310173,0.07054215439740069,61.0,0.5443701458566098,0.7365007855707074
Lamp5,0.017277729222005097,0.016862557529135472,-0.035088198501758636,81.0,0.623604884395689,0.754890123215834
Lamp5 Lhx6,0.0030278765927650767,0.0031114548301257247,0.03927010125835515,63.0,0.623604884395689,0.754890123215834
Sncg,0.013242669782319,0.01450136291866854,0.13098503840179673,64.0,0.6650055421020291,0.7647563734173335
L5 IT,0.00260221052282702,0.003049905252936798,0.22894538928153743,66.0,0.7508318840891169,0.8112696745903641
Chandelier,8.405313580375594e-06,1.1726470739066269e-05,0.4362844412720341,68.0,0.775997080042957,0.8112696745903641
L6 CT,2.4748987254559554e-05,3.1078055935822065e-05,0.31707102099715734,68.0,0.8162852785468295,0.8162852785468295
