sample,diagnosis,stratum,celltype,proportion,count,n_stratum,level
Br1113,Control,L2/3,Astrocyte,0.21393341553637485,1388,6488,subclass
Br1113,Control,L2/3,Chandelier,0.0036991368680641184,24,6488,subclass
Br1113,Control,L2/3,Endothelial,0.14133785450061653,917,6488,subclass
Br1113,Control,L2/3,L2/3 IT,0.2954685573366215,1917,6488,subclass
Br1113,Control,L2/3,L4 IT,0.0006165228113440197,4,6488,subclass
Br1113,Control,L2/3,L5 ET,0.00015413070283600493,1,6488,subclass
Br1113,Control,L2/3,L5 IT,0.0,0,6488,subclass
Br1113,Control,L2/3,L5/6 NP,0.0,0,6488,subclass
Br1113,Control,L2/3,L6 CT,0.0,0,6488,subclass
Br1113,Control,L2/3,L6 IT,0.0004623921085080148,3,6488,subclass
Br1113,Control,L2/3,L6 IT Car3,0.0,0,6488,subclass
Br1113,Control,L2/3,L6b,0.006165228113440197,40,6488,subclass
Br1113,Control,L2/3,Lamp5,0.018958076448828607,123,6488,subclass
Br1113,Control,L2/3,Lamp5 Lhx6,0.0013871763255240443,9,6488,subclass
Br1113,Control,L2/3,Microglia-PVM,0.08215166461159062,533,6488,subclass
Br1113,Control,L2/3,OPC,0.015721331689272502,102,6488,subclass
Br1113,Control,L2/3,Oligodendrocyte,0.054870530209617754,356,6488,subclass
Br1113,Control,L2/3,Pax6,0.0052404438964241675,34,6488,subclass
Br1113,Control,L2/3,Pvalb,0.0057028360049321825,37,6488,subclass
Br1113,Control,L2/3,Sncg,0.019266337854500618,125,6488,subclass
Br1113,Control,L2/3,Sst,0.014642416769420468,95,6488,subclass
Br1113,Control,L2/3,Sst Chodl,0.0016954377311960542,11,6488,subclass
Br1113,Control,L2/3,VLMC,0.07614056720098644,494,6488,subclass
Br1113,Control,L2/3,Vip,0.042385943279901354,275,6488,subclass
Br1113,Control,L4,Astrocyte,0.09464810320602887,741,7829,subclass
Br1113,Control,L4,Chandelier,0.006386511687316388,50,7829,subclass
Br1113,Control,L4,Endothelial,0.18865755524332609,1477,7829,subclass
Br1113,Control,L4,L2/3 IT,0.220973304381147,1730,7829,subclass
Br1113,Control,L4,L4 IT,0.03180482820283561,249,7829,subclass
Br1113,Control,L4,L5 ET,0.0012773023374632775,10,7829,subclass
Br1113,Control,L4,L5 IT,0.003193255843658194,25,7829,subclass
Br1113,Control,L4,L5/6 NP,0.00012773023374632777,1,7829,subclass
Br1113,Control,L4,L6 CT,0.0,0,7829,subclass
Br1113,Control,L4,L6 IT,0.0007663814024779665,6,7829,subclass
Br1113,Control,L4,L6 IT Car3,0.0,0,7829,subclass
Br1113,Control,L4,L6b,0.009452037297228254,74,7829,subclass
Br1113,Control,L4,Lamp5,0.009196576829735598,72,7829,subclass
Br1113,Control,L4,Lamp5 Lhx6,0.0019159535061949162,15,7829,subclass
Br1113,Control,L4,Microglia-PVM,0.08519606590880062,667,7829,subclass
Br1113,Control,L4,OPC,0.011240260569676842,88,7829,subclass
Br1113,Control,L4,Oligodendrocyte,0.09694724741346276,759,7829,subclass
Br1113,Control,L4,Pax6,0.001532762804955933,12,7829,subclass
Br1113,Control,L4,Pvalb,0.026567888619236174,208,7829,subclass
Br1113,Control,L4,Sncg,0.0011495721037169497,9,7829,subclass
Br1113,Control,L4,Sst,0.02222506067186103,174,7829,subclass
Br1113,Control,L4,Sst Chodl,0.002426874441180227,19,7829,subclass
