sample_id,level,cell_type,count,method
Br1113,class_label,Non-neuronal and Non-neural,30374,old_correlation
Br1113,class_label,Neuronal: Glutamatergic,17667,old_correlation
Br1113,class_label,Neuronal: GABAergic,8250,old_correlation
Br1113,class_label,Unassigned,0,old_correlation
Br1113,subclass_label,L2/3 IT,10860,old_correlation
Br1113,subclass_label,Oligodendrocyte,10442,old_correlation
Br1113,subclass_label,Endothelial,8230,old_correlation
Br1113,subclass_label,Astrocyte,5653,old_correlation
Br1113,subclass_label,VLMC,3093,old_correlation
Br1113,subclass_label,L4 IT,3086,old_correlation
Br1113,subclass_label,Vip,2685,old_correlation
Br1113,subclass_label,Microglia-PVM,2560,old_correlation
Br1113,subclass_label,Pvalb,1997,old_correlation
Br1113,subclass_label,L6b,1309,old_correlation
Br1113,subclass_label,Sst,1147,old_correlation
Br1113,subclass_label,L5 IT,979,old_correlation
Br1113,subclass_label,L6 IT,910,old_correlation
Br1113,subclass_label,Lamp5,709,old_correlation
Br1113,subclass_label,Chandelier,679,old_correlation
Br1113,subclass_label,OPC,396,old_correlation
Br1113,subclass_label,Sncg,337,old_correlation
Br1113,subclass_label,Pax6,309,old_correlation
Br1113,subclass_label,Sst Chodl,249,old_correlation
Br1113,subclass_label,L5/6 NP,210,old_correlation
Br1113,subclass_label,L6 CT,171,old_correlation
Br1113,subclass_label,Lamp5 Lhx6,138,old_correlation
Br1113,subclass_label,L5 ET,119,old_correlation
Br1113,subclass_label,L6 IT Car3,23,old_correlation
Br1113,subclass_label,Unassigned,0,old_correlation
Br1113,supertype_label,Oligo_4,9655,old_correlation
Br1113,supertype_label,Endo_1,5744,old_correlation
Br1113,supertype_label,Astro_4,3370,old_correlation
Br1113,supertype_label,L2/3 IT_13,3162,old_correlation
Br1113,supertype_label,L2/3 IT_7,2806,old_correlation
Br1113,supertype_label,Endo_2,2485,old_correlation
Br1113,supertype_label,L2/3 IT_12,2451,old_correlation
Br1113,supertype_label,Micro-PVM_2,2425,old_correlation
Br1113,supertype_label,VLMC_2,2174,old_correlation
Br1113,supertype_label,Vip_21,2078,old_correlation
Br1113,supertype_label,L4 IT_1,1743,old_correlation
Br1113,supertype_label,Astro_2,1433,old_correlation
Br1113,supertype_label,L2/3 IT_8,1416,old_correlation
Br1113,supertype_label,L4 IT_2,1181,old_correlation
Br1113,supertype_label,Pvalb_8,1090,old_correlation
Br1113,supertype_label,VLMC_1,919,old_correlation
Br1113,supertype_label,L6 IT_2,901,old_correlation
Br1113,supertype_label,L5 IT_6,678,old_correlation
Br1113,supertype_label,Chandelier_2,673,old_correlation
Br1113,supertype_label,Astro_5,630,old_correlation
Br1113,supertype_label,Oligo_1,614,old_correlation
Br1113,supertype_label,L6b_1,597,old_correlation
Br1113,supertype_label,L2/3 IT_2,579,old_correlation
Br1113,supertype_label,Lamp5_5,393,old_correlation
Br1113,supertype_label,L6b_6,389,old_correlation
Br1113,supertype_label,Sst_11,380,old_correlation
Br1113,supertype_label,Sst_10,330,old_correlation
Br1113,supertype_label,L2/3 IT_3,328,old_correlation
Br1113,supertype_label,Pvalb_6,283,old_correlation
Br1113,supertype_label,Vip_1,269,old_correlation
Br1113,supertype_label,L5 IT_2,263,old_correlation
Br1113,supertype_label,Pvalb_5,247,old_correlation
Br1113,supertype_label,Lamp5_2,244,old_correlation
Br1113,supertype_label,Pax6_1,242,old_correlation
Br1113,supertype_label,L6b_2,239,old_correlation
Br1113,supertype_label,Sst Chodl_2,232,old_correlation
Br1113,supertype_label,Astro_3,218,old_correlation
Br1113,supertype_label,OPC_1,207,old_correlation
Br1113,supertype_label,Pvalb_2,201,old_correlation
Br1113,supertype_label,OPC_2,189,old_correlation
Br1113,supertype_label,L5/6 NP_3,177,old_correlation
Br1113,supertype_label,L6 CT_3,158,old_correlation
Br1113,supertype_label,Oligo_2,147,old_correlation
Br1113,supertype_label,Lamp5_Lhx6_1,138,old_correlation
Br1113,supertype_label,L4 IT_4,136,old_correlation
Br1113,supertype_label,Micro-PVM_1,135,old_correlation
Br1113,supertype_label,Vip_9,120,old_correlation
Br1113,supertype_label,L5 ET_2,116,old_correlation
Br1113,supertype_label,Sst_20,108,old_correlation
Br1113,supertype_label,L2/3 IT_5,107,old_correlation
Br1113,supertype_label,Sncg_5,102,old_correlation
Br1113,supertype_label,Pvalb_15,95,old_correlation
Br1113,supertype_label,Vip_19,84,old_correlation
Br1113,supertype_label,Sst_2,81,old_correlation
Br1113,supertype_label,Sncg_2,79,old_correlation
Br1113,supertype_label,Sncg_3,72,old_correlation
Br1113,supertype_label,Sst_4,72,old_correlation
Br1113,supertype_label,Lamp5_3,71,old_correlation
Br1113,supertype_label,Sst_3,67,old_correlation
Br1113,supertype_label,Pvalb_14,64,old_correlation
Br1113,supertype_label,Sncg_6,55,old_correlation
Br1113,supertype_label,L6b_3,42,old_correlation
Br1113,supertype_label,Vip_12,37,old_correlation
Br1113,supertype_label,Vip_16,35,old_correlation
Br1113,supertype_label,L5 IT_7,31,old_correlation
Br1113,supertype_label,Pax6_2,31,old_correlation
Br1113,supertype_label,Pax6_4,31,old_correlation
Br1113,supertype_label,Sncg_4,29,old_correlation
Br1113,supertype_label,Sst_25,29,old_correlation
Br1113,supertype_label,Sst_5,26,old_correlation
Br1113,supertype_label,L4 IT_3,26,old_correlation
Br1113,supertype_label,Oligo_3,26,old_correlation
Br1113,supertype_label,Sst_1,25,old_correlation
Br1113,supertype_label,Vip_14,24,old_correlation
Br1113,supertype_label,L6 IT Car3_3,23,old_correlation
Br1113,supertype_label,L6b_5,23,old_correlation
Br1113,supertype_label,Sst_19,19,old_correlation
Br1113,supertype_label,L6b_4,19,old_correlation
Br1113,supertype_label,Vip_4,18,old_correlation
Br1113,supertype_label,Sst Chodl_1,17,old_correlation
Br1113,supertype_label,L5/6 NP_1,12,old_correlation
Br1113,supertype_label,L2/3 IT_1,11,old_correlation
Br1113,supertype_label,L5/6 NP_6,11,old_correlation
Br1113,supertype_label,Vip_13,9,old_correlation
Br1113,supertype_label,L6 IT_1,9,old_correlation
Br1113,supertype_label,L5/6 NP_4,8,old_correlation
Br1113,supertype_label,Pvalb_3,8,old_correlation
Br1113,supertype_label,Sst_7,8,old_correlation
Br1113,supertype_label,L5 IT_3,7,old_correlation
Br1113,supertype_label,L6 CT_4,6,old_correlation
Br1113,supertype_label,Chandelier_1,6,old_correlation
Br1113,supertype_label,L6 CT_1,6,old_correlation
Br1113,supertype_label,Pax6_3,5,old_correlation
Br1113,supertype_label,Pvalb_13,5,old_correlation
Br1113,supertype_label,Vip_6,5,old_correlation
Br1113,supertype_label,Pvalb_7,4,old_correlation
Br1113,supertype_label,Vip_15,4,old_correlation
Br1113,supertype_label,L5 ET_1,3,old_correlation
Br1113,supertype_label,Sst_9,2,old_correlation
Br1113,supertype_label,L5/6 NP_2,2,old_correlation
Br1113,supertype_label,Vip_5,2,old_correlation
Br1113,supertype_label,Astro_1,2,old_correlation
Br1113,supertype_label,Lamp5_6,1,old_correlation
Br1113,supertype_label,Endo_3,1,old_correlation
Br1113,supertype_label,L6 CT_2,1,old_correlation
Br1113,supertype_label,Unassigned,0,old_correlation
Br1139,class_label,Non-neuronal and Non-neural,35292,old_correlation
Br1139,class_label,Neuronal: Glutamatergic,16302,old_correlation
Br1139,class_label,Neuronal: GABAergic,6833,old_correlation
Br1139,class_label,Unassigned,0,old_correlation
Br1139,subclass_label,Endothelial,11046,old_correlation
Br1139,subclass_label,L2/3 IT,9928,old_correlation
Br1139,subclass_label,Oligodendrocyte,8245,old_correlation
Br1139,subclass_label,VLMC,7387,old_correlation
Br1139,subclass_label,Astrocyte,5952,old_correlation
Br1139,subclass_label,L6b,2665,old_correlation
Br1139,subclass_label,Vip,2475,old_correlation
Br1139,subclass_label,Pvalb,1823,old_correlation
Br1139,subclass_label,L4 IT,1419,old_correlation
Br1139,subclass_label,OPC,1361,old_correlation
Br1139,subclass_label,Microglia-PVM,1301,old_correlation
Br1139,subclass_label,L5 IT,985,old_correlation
Br1139,subclass_label,Sst,936,old_correlation
Br1139,subclass_label,L6 IT,934,old_correlation
Br1139,subclass_label,Lamp5,508,old_correlation
Br1139,subclass_label,Chandelier,278,old_correlation
Br1139,subclass_label,Pax6,273,old_correlation
Br1139,subclass_label,Sncg,262,old_correlation
Br1139,subclass_label,L5/6 NP,200,old_correlation
Br1139,subclass_label,Sst Chodl,167,old_correlation
Br1139,subclass_label,Lamp5 Lhx6,111,old_correlation
Br1139,subclass_label,L6 CT,91,old_correlation
Br1139,subclass_label,L5 ET,78,old_correlation
Br1139,subclass_label,L6 IT Car3,2,old_correlation
Br1139,subclass_label,Unassigned,0,old_correlation
Br1139,supertype_label,Endo_1,9341,old_correlation
Br1139,supertype_label,Oligo_4,4857,old_correlation
Br1139,supertype_label,Astro_4,4405,old_correlation
Br1139,supertype_label,VLMC_2,3763,old_correlation
Br1139,supertype_label,VLMC_1,3624,old_correlation
Br1139,supertype_label,L2/3 IT_7,3481,old_correlation
Br1139,supertype_label,L2/3 IT_13,2631,old_correlation
Br1139,supertype_label,L2/3 IT_12,2331,old_correlation
Br1139,supertype_label,Vip_21,2097,old_correlation
Br1139,supertype_label,Oligo_2,1898,old_correlation
Br1139,supertype_label,L6b_1,1723,old_correlation
Br1139,supertype_label,Endo_2,1703,old_correlation
Br1139,supertype_label,Pvalb_8,1248,old_correlation
Br1139,supertype_label,Micro-PVM_2,1196,old_correlation
Br1139,supertype_label,OPC_1,1123,old_correlation
Br1139,supertype_label,L4 IT_1,1063,old_correlation
Br1139,supertype_label,L6 IT_2,921,old_correlation
Br1139,supertype_label,L2/3 IT_8,854,old_correlation
Br1139,supertype_label,L5 IT_6,796,old_correlation
Br1139,supertype_label,Oligo_1,795,old_correlation
Br1139,supertype_label,Astro_2,780,old_correlation
Br1139,supertype_label,Oligo_3,695,old_correlation
Br1139,supertype_label,L6b_2,582,old_correlation
Br1139,supertype_label,Sst_11,420,old_correlation
Br1139,supertype_label,Astro_5,411,old_correlation
Br1139,supertype_label,Astro_3,354,old_correlation
Br1139,supertype_label,L2/3 IT_2,292,old_correlation
Br1139,supertype_label,L6b_6,275,old_correlation
Br1139,supertype_label,Chandelier_2,272,old_correlation
Br1139,supertype_label,Lamp5_5,263,old_correlation
Br1139,supertype_label,L4 IT_2,238,old_correlation
Br1139,supertype_label,OPC_2,238,old_correlation
Br1139,supertype_label,L2/3 IT_3,238,old_correlation
Br1139,supertype_label,Sst_10,228,old_correlation
Br1139,supertype_label,Pax6_1,221,old_correlation
Br1139,supertype_label,Vip_1,188,old_correlation
Br1139,supertype_label,Pvalb_6,182,old_correlation
Br1139,supertype_label,L5/6 NP_3,159,old_correlation
Br1139,supertype_label,Lamp5_2,152,old_correlation
Br1139,supertype_label,Pvalb_5,151,old_correlation
Br1139,supertype_label,Sst Chodl_2,141,old_correlation
Br1139,supertype_label,L5 IT_2,123,old_correlation
Br1139,supertype_label,Lamp5_Lhx6_1,111,old_correlation
Br1139,supertype_label,Micro-PVM_1,105,old_correlation
Br1139,supertype_label,L2/3 IT_5,101,old_correlation
Br1139,supertype_label,L4 IT_4,99,old_correlation
Br1139,supertype_label,Pvalb_2,98,old_correlation
Br1139,supertype_label,Sncg_3,93,old_correlation
Br1139,supertype_label,Lamp5_3,92,old_correlation
Br1139,supertype_label,Vip_9,85,old_correlation
Br1139,supertype_label,Sncg_5,83,old_correlation
Br1139,supertype_label,L6 CT_3,82,old_correlation
Br1139,supertype_label,Sst_20,71,old_correlation
Br1139,supertype_label,L5 ET_2,71,old_correlation
Br1139,supertype_label,Sst_4,68,old_correlation
Br1139,supertype_label,L5 IT_7,66,old_correlation
Br1139,supertype_label,Pvalb_15,61,old_correlation
Br1139,supertype_label,Pvalb_14,59,old_correlation
Br1139,supertype_label,Vip_19,45,old_correlation
Br1139,supertype_label,Sst_3,43,old_correlation
Br1139,supertype_label,Sncg_6,40,old_correlation
Br1139,supertype_label,Sncg_2,39,old_correlation
Br1139,supertype_label,L6b_3,37,old_correlation
Br1139,supertype_label,Pax6_4,28,old_correlation
Br1139,supertype_label,L6b_4,28,old_correlation
Br1139,supertype_label,Vip_16,27,old_correlation
Br1139,supertype_label,Sst Chodl_1,26,old_correlation
Br1139,supertype_label,L5/6 NP_6,26,old_correlation
Br1139,supertype_label,Sst_1,24,old_correlation
Br1139,supertype_label,Sst_5,24,old_correlation
Br1139,supertype_label,L6b_5,20,old_correlation
Br1139,supertype_label,L4 IT_3,19,old_correlation
Br1139,supertype_label,Pvalb_3,19,old_correlation
Br1139,supertype_label,Sst_7,18,old_correlation
Br1139,supertype_label,Pax6_2,17,old_correlation
Br1139,supertype_label,Vip_12,15,old_correlation
Br1139,supertype_label,Sst_2,14,old_correlation
Br1139,supertype_label,L6 IT_1,13,old_correlation
Br1139,supertype_label,L5/6 NP_1,11,old_correlation
Br1139,supertype_label,Sst_19,11,old_correlation
Br1139,supertype_label,Vip_14,10,old_correlation
Br1139,supertype_label,Sst_25,9,old_correlation
Br1139,supertype_label,Pax6_3,7,old_correlation
Br1139,supertype_label,L5 ET_1,7,old_correlation
Br1139,supertype_label,Sncg_4,7,old_correlation
Br1139,supertype_label,Chandelier_1,6,old_correlation
Br1139,supertype_label,L6 CT_1,6,old_correlation
Br1139,supertype_label,L5/6 NP_4,4,old_correlation
Br1139,supertype_label,Vip_13,4,old_correlation
Br1139,supertype_label,Sst_9,3,old_correlation
Br1139,supertype_label,L6 CT_4,3,old_correlation
Br1139,supertype_label,Sst_23,3,old_correlation
Br1139,supertype_label,Pvalb_13,3,old_correlation
Br1139,supertype_label,Astro_1,2,old_correlation
Br1139,supertype_label,Vip_4,2,old_correlation
Br1139,supertype_label,Pvalb_7,2,old_correlation
Br1139,supertype_label,L6 IT Car3_3,2,old_correlation
Br1139,supertype_label,Endo_3,2,old_correlation
Br1139,supertype_label,Vip_6,1,old_correlation
Br1139,supertype_label,Vip_5,1,old_correlation
Br1139,supertype_label,Lamp5_6,1,old_correlation
Br1139,supertype_label,Unassigned,0,old_correlation
Br2039,class_label,Non-neuronal and Non-neural,33166,old_correlation
Br2039,class_label,Neuronal: Glutamatergic,6597,old_correlation
Br2039,class_label,Neuronal: GABAergic,2990,old_correlation
Br2039,class_label,Unassigned,0,old_correlation
Br2039,subclass_label,Oligodendrocyte,18021,old_correlation
Br2039,subclass_label,Endothelial,4916,old_correlation
Br2039,subclass_label,Astrocyte,3801,old_correlation
Br2039,subclass_label,L2/3 IT,2889,old_correlation
Br2039,subclass_label,VLMC,2869,old_correlation
Br2039,subclass_label,Microglia-PVM,2321,old_correlation
Br2039,subclass_label,L6b,1615,old_correlation
Br2039,subclass_label,OPC,1238,old_correlation
Br2039,subclass_label,Vip,1083,old_correlation
Br2039,subclass_label,L4 IT,955,old_correlation
Br2039,subclass_label,Pvalb,906,old_correlation
Br2039,subclass_label,L6 IT,687,old_correlation
Br2039,subclass_label,Sst,420,old_correlation
Br2039,subclass_label,L5 IT,266,old_correlation
Br2039,subclass_label,Chandelier,157,old_correlation
Br2039,subclass_label,Lamp5,112,old_correlation
Br2039,subclass_label,Sncg,101,old_correlation
Br2039,subclass_label,Pax6,97,old_correlation
Br2039,subclass_label,L5/6 NP,83,old_correlation
Br2039,subclass_label,Lamp5 Lhx6,69,old_correlation
Br2039,subclass_label,L6 CT,45,old_correlation
Br2039,subclass_label,Sst Chodl,45,old_correlation
Br2039,subclass_label,L5 ET,42,old_correlation
Br2039,subclass_label,L6 IT Car3,15,old_correlation
Br2039,subclass_label,Unassigned,0,old_correlation
Br2039,supertype_label,Oligo_4,13695,old_correlation
Br2039,supertype_label,Endo_1,3511,old_correlation
Br2039,supertype_label,Oligo_1,2485,old_correlation
Br2039,supertype_label,Micro-PVM_2,2275,old_correlation
Br2039,supertype_label,Astro_4,1647,old_correlation
Br2039,supertype_label,VLMC_2,1543,old_correlation
Br2039,supertype_label,Oligo_2,1405,old_correlation
Br2039,supertype_label,Endo_2,1400,old_correlation
Br2039,supertype_label,VLMC_1,1326,old_correlation
Br2039,supertype_label,Vip_21,961,old_correlation
Br2039,supertype_label,L6b_1,944,old_correlation
Br2039,supertype_label,L2/3 IT_12,922,old_correlation
Br2039,supertype_label,OPC_1,918,old_correlation
Br2039,supertype_label,L2/3 IT_7,828,old_correlation
Br2039,supertype_label,Astro_5,801,old_correlation
Br2039,supertype_label,Astro_2,712,old_correlation
Br2039,supertype_label,L4 IT_1,686,old_correlation
Br2039,supertype_label,Pvalb_8,685,old_correlation
Br2039,supertype_label,L6 IT_2,678,old_correlation
Br2039,supertype_label,L2/3 IT_13,658,old_correlation
Br2039,supertype_label,Astro_3,621,old_correlation
Br2039,supertype_label,Oligo_3,436,old_correlation
Br2039,supertype_label,OPC_2,320,old_correlation
Br2039,supertype_label,L6b_2,320,old_correlation
Br2039,supertype_label,L4 IT_2,226,old_correlation
Br2039,supertype_label,L5 IT_6,211,old_correlation
Br2039,supertype_label,L2/3 IT_8,200,old_correlation
Br2039,supertype_label,Sst_11,173,old_correlation
Br2039,supertype_label,L6b_6,173,old_correlation
Br2039,supertype_label,L2/3 IT_2,165,old_correlation
Br2039,supertype_label,Chandelier_2,154,old_correlation
Br2039,supertype_label,Sst_10,128,old_correlation
Br2039,supertype_label,L6b_3,97,old_correlation
Br2039,supertype_label,L2/3 IT_3,83,old_correlation
Br2039,supertype_label,Pax6_1,78,old_correlation
Br2039,supertype_label,Pvalb_6,75,old_correlation
Br2039,supertype_label,Pvalb_5,70,old_correlation
Br2039,supertype_label,Lamp5_Lhx6_1,69,old_correlation
Br2039,supertype_label,L6b_5,66,old_correlation
Br2039,supertype_label,L5/6 NP_3,60,old_correlation
Br2039,supertype_label,Lamp5_5,55,old_correlation
Br2039,supertype_label,Vip_1,53,old_correlation
Br2039,supertype_label,L5 IT_2,52,old_correlation
Br2039,supertype_label,Lamp5_2,47,old_correlation
Br2039,supertype_label,Micro-PVM_1,46,old_correlation
Br2039,supertype_label,L5 ET_2,42,old_correlation
Br2039,supertype_label,Pvalb_2,39,old_correlation
Br2039,supertype_label,Sst_4,38,old_correlation
Br2039,supertype_label,L2/3 IT_5,32,old_correlation
Br2039,supertype_label,Vip_9,31,old_correlation
Br2039,supertype_label,Sncg_3,31,old_correlation
Br2039,supertype_label,Sncg_5,27,old_correlation
Br2039,supertype_label,L4 IT_4,26,old_correlation
Br2039,supertype_label,Sst Chodl_1,24,old_correlation
Br2039,supertype_label,L6 CT_3,23,old_correlation
Br2039,supertype_label,Sst Chodl_2,21,old_correlation
Br2039,supertype_label,Pvalb_14,20,old_correlation
Br2039,supertype_label,Astro_1,20,old_correlation
Br2039,supertype_label,Sst_5,17,old_correlation
Br2039,supertype_label,L4 IT_3,17,old_correlation
Br2039,supertype_label,L6 CT_1,17,old_correlation
Br2039,supertype_label,Sncg_2,17,old_correlation
Br2039,supertype_label,Pvalb_15,16,old_correlation
Br2039,supertype_label,Sst_20,16,old_correlation
Br2039,supertype_label,Vip_19,16,old_correlation
Br2039,supertype_label,L6b_4,15,old_correlation
Br2039,supertype_label,L5/6 NP_6,15,old_correlation
Br2039,supertype_label,L6 IT Car3_3,15,old_correlation
Br2039,supertype_label,Sncg_6,14,old_correlation
Br2039,supertype_label,Sst_2,13,old_correlation
Br2039,supertype_label,Vip_16,11,old_correlation
Br2039,supertype_label,Sncg_4,11,old_correlation
Br2039,supertype_label,L6 IT_1,9,old_correlation
Br2039,supertype_label,Lamp5_3,8,old_correlation
Br2039,supertype_label,Sst_7,8,old_correlation
Br2039,supertype_label,Pax6_4,8,old_correlation
Br2039,supertype_label,Sst_25,7,old_correlation
Br2039,supertype_label,Pax6_3,7,old_correlation
Br2039,supertype_label,Sst_3,6,old_correlation
Br2039,supertype_label,Sst_1,6,old_correlation
Br2039,supertype_label,L5/6 NP_1,6,old_correlation
Br2039,supertype_label,Vip_14,6,old_correlation
Br2039,supertype_label,Endo_3,5,old_correlation
Br2039,supertype_label,Pax6_2,4,old_correlation
Br2039,supertype_label,Sst_23,4,old_correlation
Br2039,supertype_label,L6 CT_4,4,old_correlation
Br2039,supertype_label,Chandelier_1,3,old_correlation
Br2039,supertype_label,Vip_12,3,old_correlation
Br2039,supertype_label,L5 IT_7,3,old_correlation
Br2039,supertype_label,Sst_19,3,old_correlation
Br2039,supertype_label,Lamp5_6,2,old_correlation
Br2039,supertype_label,L5/6 NP_4,2,old_correlation
Br2039,supertype_label,Pvalb_7,1,old_correlation
Br2039,supertype_label,L2/3 IT_6,1,old_correlation
Br2039,supertype_label,Vip_4,1,old_correlation
Br2039,supertype_label,Sncg_8,1,old_correlation
Br2039,supertype_label,Sst_12,1,old_correlation
Br2039,supertype_label,L6 CT_2,1,old_correlation
Br2039,supertype_label,Vip_23,1,old_correlation
Br2039,supertype_label,Unassigned,0,old_correlation
Br2421,class_label,Non-neuronal and Non-neural,40144,old_correlation
Br2421,class_label,Neuronal: Glutamatergic,16565,old_correlation
Br2421,class_label,Neuronal: GABAergic,7598,old_correlation
Br2421,class_label,Unassigned,0,old_correlation
Br2421,subclass_label,Oligodendrocyte,14382,old_correlation
Br2421,subclass_label,Endothelial,11295,old_correlation
Br2421,subclass_label,L2/3 IT,10054,old_correlation
Br2421,subclass_label,Astrocyte,6776,old_correlation
Br2421,subclass_label,VLMC,6006,old_correlation
Br2421,subclass_label,Vip,2678,old_correlation
Br2421,subclass_label,L4 IT,2264,old_correlation
Br2421,subclass_label,L6b,2178,old_correlation
Br2421,subclass_label,Pvalb,1900,old_correlation
Br2421,subclass_label,Microglia-PVM,1098,old_correlation
Br2421,subclass_label,Sst,1087,old_correlation
Br2421,subclass_label,L6 IT,893,old_correlation
Br2421,subclass_label,L5 IT,764,old_correlation
Br2421,subclass_label,OPC,587,old_correlation
Br2421,subclass_label,Lamp5,521,old_correlation
Br2421,subclass_label,Chandelier,410,old_correlation
Br2421,subclass_label,Sncg,392,old_correlation
Br2421,subclass_label,Pax6,360,old_correlation
Br2421,subclass_label,L5/6 NP,180,old_correlation
Br2421,subclass_label,Sst Chodl,132,old_correlation
Br2421,subclass_label,L6 CT,126,old_correlation
Br2421,subclass_label,Lamp5 Lhx6,118,old_correlation
Br2421,subclass_label,L5 ET,56,old_correlation
Br2421,subclass_label,L6 IT Car3,50,old_correlation
Br2421,subclass_label,Unassigned,0,old_correlation
Br2421,supertype_label,Oligo_4,11666,old_correlation
Br2421,supertype_label,Endo_1,8809,old_correlation
Br2421,supertype_label,Astro_4,5277,old_correlation
Br2421,supertype_label,L2/3 IT_7,4178,old_correlation
Br2421,supertype_label,VLMC_2,3623,old_correlation
Br2421,supertype_label,Endo_2,2482,old_correlation
Br2421,supertype_label,VLMC_1,2383,old_correlation
Br2421,supertype_label,L2/3 IT_12,2360,old_correlation
Br2421,supertype_label,L2/3 IT_13,2149,old_correlation
Br2421,supertype_label,Vip_21,2115,old_correlation
Br2421,supertype_label,Oligo_1,2050,old_correlation
Br2421,supertype_label,L4 IT_1,1400,old_correlation
Br2421,supertype_label,Pvalb_8,1376,old_correlation
Br2421,supertype_label,L6b_1,1013,old_correlation
Br2421,supertype_label,Astro_5,1000,old_correlation
Br2421,supertype_label,Micro-PVM_2,921,old_correlation
Br2421,supertype_label,L6 IT_2,885,old_correlation
Br2421,supertype_label,L4 IT_2,738,old_correlation
Br2421,supertype_label,L2/3 IT_8,729,old_correlation
Br2421,supertype_label,L6b_2,647,old_correlation
Br2421,supertype_label,Oligo_2,600,old_correlation
Br2421,supertype_label,L5 IT_6,548,old_correlation
Br2421,supertype_label,Sst_11,441,old_correlation
Br2421,supertype_label,Chandelier_2,407,old_correlation
Br2421,supertype_label,L6b_6,396,old_correlation
Br2421,supertype_label,L2/3 IT_2,387,old_correlation
Br2421,supertype_label,Astro_2,326,old_correlation
Br2421,supertype_label,Lamp5_5,307,old_correlation
Br2421,supertype_label,OPC_2,306,old_correlation
Br2421,supertype_label,Sst_10,293,old_correlation
Br2421,supertype_label,Pax6_1,289,old_correlation
Br2421,supertype_label,OPC_1,281,old_correlation
Br2421,supertype_label,Vip_1,251,old_correlation
Br2421,supertype_label,L5 IT_2,190,old_correlation
Br2421,supertype_label,Micro-PVM_1,177,old_correlation
Br2421,supertype_label,Astro_3,173,old_correlation
Br2421,supertype_label,Pvalb_6,167,old_correlation
Br2421,supertype_label,Vip_9,150,old_correlation
Br2421,supertype_label,L2/3 IT_3,144,old_correlation
Br2421,supertype_label,L5/6 NP_3,143,old_correlation
Br2421,supertype_label,Pvalb_5,132,old_correlation
Br2421,supertype_label,Lamp5_2,130,old_correlation
Br2421,supertype_label,Sncg_5,120,old_correlation
Br2421,supertype_label,Lamp5_Lhx6_1,118,old_correlation
Br2421,supertype_label,Sncg_3,114,old_correlation
Br2421,supertype_label,Sst Chodl_2,108,old_correlation
Br2421,supertype_label,L2/3 IT_5,106,old_correlation
Br2421,supertype_label,Pvalb_2,98,old_correlation
Br2421,supertype_label,L4 IT_4,98,old_correlation
Br2421,supertype_label,L6 CT_3,93,old_correlation
Br2421,supertype_label,Sst_4,89,old_correlation
Br2421,supertype_label,Lamp5_3,83,old_correlation
Br2421,supertype_label,Sncg_2,76,old_correlation
Br2421,supertype_label,Sst_20,75,old_correlation
Br2421,supertype_label,Pvalb_14,72,old_correlation
Br2421,supertype_label,Oligo_3,66,old_correlation
Br2421,supertype_label,Sncg_6,58,old_correlation
Br2421,supertype_label,L5 ET_2,54,old_correlation
Br2421,supertype_label,Vip_19,52,old_correlation
Br2421,supertype_label,L6 IT Car3_3,50,old_correlation
Br2421,supertype_label,L6b_3,47,old_correlation
Br2421,supertype_label,Vip_16,46,old_correlation
Br2421,supertype_label,Pvalb_15,44,old_correlation
Br2421,supertype_label,Sst_25,43,old_correlation
Br2421,supertype_label,L6b_4,40,old_correlation
Br2421,supertype_label,Sst_3,39,old_correlation
Br2421,supertype_label,Pax6_4,39,old_correlation
Br2421,supertype_label,L6b_5,35,old_correlation
Br2421,supertype_label,L4 IT_3,28,old_correlation
Br2421,supertype_label,Sst_1,26,old_correlation
Br2421,supertype_label,Sst_5,25,old_correlation
Br2421,supertype_label,Sst Chodl_1,24,old_correlation
Br2421,supertype_label,Sst_2,23,old_correlation
Br2421,supertype_label,Sncg_4,21,old_correlation
Br2421,supertype_label,L5 IT_7,21,old_correlation
Br2421,supertype_label,L5/6 NP_6,20,old_correlation
Br2421,supertype_label,Sst_19,19,old_correlation
Br2421,supertype_label,L6 CT_1,18,old_correlation
Br2421,supertype_label,Pax6_2,17,old_correlation
Br2421,supertype_label,Vip_14,16,old_correlation
