sample_id,n_cells,n_pass,n_fail,pct_pass,fail_neg_probe,fail_neg_codeword,fail_unassigned,fail_n_genes_low,fail_total_counts_low,fail_total_counts_high,median_total_counts,median_n_genes,time_s
Br1113,57508,56291,1217,97.88,88,107,297,0,0,781,761.0,110.0,0.3
Br1139,59962,58427,1535,97.44,244,196,216,0,0,958,586.0,81.0,0.2
Br2039,45898,42753,3145,93.15,196,301,212,0,0,2611,362.0,75.0,0.2
Br2421,67472,64307,3165,95.31,307,343,287,0,0,2446,609.0,94.0,0.3
Br2719,61222,59419,1803,97.05,469,182,374,0,0,947,690.0,102.0,0.3
Br5314,48542,47080,1462,96.99,151,119,346,0,0,927,558.0,96.0,0.2
Br5373,66560,65163,1397,97.9,239,653,446,0,0,178,701.0,106.0,0.3
Br5400,46917,45718,1199,97.44,186,110,223,0,0,792,843.0,118.0,0.2
Br5436,46286,45433,853,98.16,120,214,304,0,0,273,964.0,118.0,0.2
Br5588,62396,60982,1414,97.73,453,168,375,0,0,503,736.0,104.0,0.3
Br5590,56715,55127,1588,97.2,127,475,208,0,0,902,568.0,79.0,0.2
Br5622,71389,69772,1617,97.73,413,257,348,0,0,679,799.0,114.0,0.4
Br5639,63221,60422,2799,95.57,554,421,295,0,0,1728,661.0,90.0,0.3
Br5746,45675,44300,1375,96.99,215,103,454,0,0,688,500.0,90.0,0.2
Br5931,45793,44535,1258,97.25,99,261,431,0,0,552,782.0,109.0,0.2
Br5973,44655,43107,1548,96.53,33,419,149,0,0,1004,511.0,93.0,0.2
Br6032,47384,46284,1100,97.68,59,116,218,6,0,784,871.0,120.0,0.2
Br6389,53201,51240,1961,96.31,156,186,321,0,0,1439,624.0,97.0,0.2
Br6432,41266,39816,1450,96.49,231,57,308,0,0,1021,625.0,99.0,0.2
Br6437,59787,57618,2169,96.37,142,326,366,0,0,1482,562.0,95.0,0.3
Br6496,59438,57908,1530,97.43,224,226,239,0,0,904,594.0,102.0,0.3
Br8433,61932,59802,2130,96.56,103,398,583,0,0,1160,724.0,113.0,0.3
Br8667,68976,67688,1288,98.13,164,340,425,0,0,421,826.0,112.0,0.3
Br8772,56956,55495,1461,97.43,426,198,446,0,0,440,733.5,110.0,0.3
