compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Non-neuronal,L2/3,Oligo_2,0.0048339461004200885,0.0009761522729497859,7.674710515867383e-05,0.0014374278017952836,0.1575957418382789,-5.467462918548316e-05,0.3458782711340067,0.5807915759338429,24,0.0016668488405124418,0.0064787910527277824,0.015874031647512513,0.0033001255218229747
Neuronal,L4,Sst Chodl_2,-0.0031167634488277977,0.0006591577601860094,0.00012866279912220264,-0.0015266870814300948,0.031727906031674205,-8.451986438801881e-05,0.038921678791973224,0.667560026281586,24,0.0059471745250771505,0.0024839989711505834,0.051979770845369866,0.012994942711342466
Non-neuronal,L4,Oligo_1,0.012509552248420559,0.002679269968664485,0.000147665410674535,-0.003700518805173505,0.18369601026255566,8.636848215436801e-05,0.5846366736438606,0.5467022034188795,24,0.009582300353695184,0.022007458298738274,0.015874031647512513,0.007383270533726749
Neuronal,L6,L6b_2,0.00895716810260944,0.002289048821809531,0.0008620743864770253,-0.004737317588296085,0.05228770584882815,0.0002103666174937344,0.128877937075648,0.5266344155450933,24,0.023810964181140537,0.03291890657942572,0.08437384062070902,0.05324644744599714
Neuronal,L4,L2/3 IT_8,-0.01796109726357509,0.004664797108419567,0.0009980572745155638,0.0014822127147115713,0.7546693603666924,0.00010499699811876567,0.70214924132912,0.4261154457573155,24,0.04517797864884369,0.027612691326615906,0.08437384062070902,0.04218692031035451
Neuronal,L6,L4 IT_2,-0.004137770864301905,0.0010777210011830472,0.0010239701431922527,-0.0001713751401148985,0.875613667260297,5.576956339600331e-05,0.38304163904656063,0.4285059109798234,24,0.009319093921780793,0.00531167086354295,0.08437384062070902,0.05324644744599714
Non-neuronal,L5,Vip_21,0.007542675457763182,0.001983548920308828,0.0011156921783119949,-0.000476578280168013,0.8131089553580605,-5.4753651989998214e-05,0.6393876301089088,0.4196653554226033,24,0.007879013003007475,0.015239979133262591,0.062237393717021194,0.033000292482513564
Non-neuronal,L5,Oligo_1,0.01623196326451325,0.0042865738169180195,0.0011579049993864408,-0.0056293659680915166,0.20524198974717223,1.310401824056329e-05,0.9585015624824819,0.4394087468255041,24,0.012191642671897707,0.027988475193040527,0.062237393717021194,0.033000292482513564
Neuronal,L5,Sst Chodl_2,-0.0010403930916985994,0.0002760929883250832,0.0012087587672019618,-0.0005066148951252315,0.08226456987373433,-4.485262499449888e-06,0.7823484687699095,0.49700103056822087,24,0.0024663786569733754,0.0013721358765991,0.08437384062070902,0.12933718809060993
Neuronal,L4,Oligo_4,-0.0018129870413499754,0.00048309892275703273,0.001253076840901619,0.0004412426842121532,0.37331012920426465,4.788786963605849e-07,0.9865378081483971,0.42383406199280527,24,0.0040052725171387665,0.002230297591559033,0.08437384062070902,0.04218692031035451
Non-neuronal,L4,Oligo_4,-0.11672312624547226,0.03263613291025003,0.0018886381403943333,0.05530030551924403,0.10665727024434785,0.000346883240807741,0.8564875146212889,0.4277922336722074,24,0.7070176291385497,0.5958024455575092,0.08121144003695634,0.03252821270698302
Neuronal,L6,Pvalb_13,-0.0005619190870080308,0.00015792632427788134,0.0019709822751235156,-0.00025251630926239834,0.126559660798085,9.64643200179194e-06,0.3049855330479808,0.4455753571622778,24,0.0008329927664895001,0.00027504706736758335,0.11375383416427146,0.0683273855376152
Non-neuronal,L4,Endo_1,0.036192931009353176,0.010376035264139735,0.002317958855205819,-0.014895042928315696,0.16778244507263507,-0.0004954015723630999,0.4202543289834272,0.4102498563448105,24,0.06635855979439474,0.10002549581539329,0.08306019231154185,0.03252821270698302
Neuronal,L4,Sst_11,0.0031844549487532927,0.0009278717233287213,0.002639107106505666,0.00015835924782019173,0.8665871284390853,-3.562644916783407e-05,0.5156597647914396,0.3739483378994366,24,0.005779193300478567,0.008884453595041624,0.11533809191725826,0.049430610821682104
Neuronal,L2/3,Endo_2,-0.010156316048834192,0.0029666745545114245,0.0026916015982080786,0.0012780104671819507,0.6721330254736249,-0.0003002445982266913,0.09644349202420091,0.45596736251654124,24,0.04603588786826704,0.03520743836696347,0.11533809191725826,0.19995487304826684
Neuronal,L4,Pvalb_5,-0.0023613700261137225,0.0006988137991183989,0.002981505418450224,-0.0010000226843582098,0.16905468878603003,-4.513753976896944e-05,0.27878260803129895,0.46772409022760164,24,0.006410692419587316,0.0038489304833095503,0.11533809191725826,0.049430610821682104
Non-neuronal,L4,Sncg_3,-0.00038874287008098076,0.000115481001740917,0.0030708467432576272,-0.00015944342051571974,0.1838408785748709,1.3183516088023414e-05,0.06312748687166476,0.43736916634029566,24,0.00036784057006901665,0.0,0.08741957165001689,0.03252821270698302
Non-neuronal,L4,Vip_21,0.009992986970182952,0.002990770108257049,0.0032528212706983027,-0.003201174971516694,0.298589988162169,-0.00019149943574928293,0.28286046547034965,0.38471738366753816,24,0.010376999777789025,0.019606600296969107,0.08741957165001689,0.03252821270698302
