compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Neuronal,L5,Endothelial,-0.015168143164116353,0.003618217038457459,0.00044887164719913103,-0.0008880157702827185,0.8091748502800541,-0.0002951321486995372,0.175097733395838,0.5268438063008563,24,0.12578900042675525,0.10978147990948789,0.04236894451135549,0.010772919532779146
Non-neuronal,L5,Pax6,0.0030558958127533584,0.0007786193492166357,0.0008388046715837218,2.8876523364128022e-05,0.9708691309505324,-3.629455353195445e-05,0.43116870370807925,0.4371590169265298,24,0.002318256429764208,0.005282434743971709,0.06710437372669774,0.018453702774841877
Neuronal,L6,L6b,0.022607566773016806,0.006153226837519987,0.0015053051083240981,-0.0006985562503795638,0.9110054602163791,0.00024178991130426822,0.5059860137086419,0.4290292465721133,24,0.08905406204068683,0.11223045762948776,0.04236894451135549,0.036127322599778355
Neuronal,L2/3,Endothelial,-0.020149881083345884,0.005535922716932412,0.0016301842023948637,-0.0018048795098721815,0.748501065860945,-0.0003331138674521972,0.3120480432687297,0.44912091680300636,24,0.14529986594179134,0.12413570293636343,0.04236894451135549,0.020515488921287923
Neuronal,L2/3,Pvalb,0.0025895905225702784,0.0007191195104639883,0.0017839555583728627,-0.00016131009539266058,0.8252921543599246,-4.441761619140683e-05,0.29973904473566926,0.39935917849323044,24,0.003691340824257867,0.006152299154222375,0.04236894451135549,0.020515488921287923
Non-neuronal,L4,Oligodendrocyte,-0.08835362710321394,0.026700667133508008,0.0035029138912277234,0.039618271438614044,0.15460231934871352,0.00035195381520392553,0.8225785103121666,0.3859801850114699,24,0.7303075127512884,0.6461681418287212,0.11720608868018512,0.03955705492956248
Neuronal,L5,L6b,0.00588521463015129,0.0017796370490431733,0.0035195799207805014,-0.0026083365982229973,0.1594519882528979,6.582954613347439e-05,0.5309890385995344,0.4009457083096426,24,0.010972821258747033,0.01681139246201922,0.06687201849482953,0.04223495904936602
Non-neuronal,L4,VLMC,0.06786909070167291,0.021143345550975204,0.004395228325506942,-0.030698998290142953,0.16319967027453836,-0.00011678373507708802,0.9251022329162683,0.3728436313586586,24,0.05826492287832017,0.12327290456951456,0.11720608868018512,0.03955705492956248
Neuronal,L4,Oligodendrocyte,-0.002262749031386068,0.0007202521081206674,0.005135957932408378,0.0008485779844785927,0.2539075073919981,1.4066635060890353e-05,0.7399094778887412,0.3512381499814906,24,0.0061184901936080826,0.0039629354678531415,0.08131933392979931,0.12326299037780107
Neuronal,L5,Chandelier,-0.00815575906821362,0.002759959126964519,0.00782826321433482,0.0002397458269032468,0.9318420864933066,-0.0002094709400651061,0.20566000189883182,0.37253797344568784,24,0.03844274559838882,0.02976373737784829,0.10624071505168685,0.06262610571467855
Non-neuronal,L4,Pax6,0.0038741515401889692,0.0013606027246885902,0.00995480479314287,-0.0027576002844859324,0.05689231785931783,-1.6846026220012226e-05,0.8331728140619838,0.36541856532001016,24,0.002717501242192792,0.006318165397344033,0.1990960958628574,0.059728828758857225
Non-neuronal,L6,Endothelial,-0.019468313827807417,0.007483758527434761,0.01707484214885325,0.004625326059152064,0.5446899820781482,-0.00010521325760551813,0.8110013323830444,0.2667250385305189,24,0.09220382408459243,0.07284810104699072,0.273197474381652,0.31485500651147197
Non-neuronal,L2/3,Pax6,0.002730960816201237,0.0010868432801574824,0.02066297772140411,-0.0012944091076379964,0.24894834160770976,-8.811614853399853e-05,0.1776014575614891,0.3071857149534676,24,0.0043195900236927915,0.006714168869059359,0.2755063696187215,0.300123364444516
Neuronal,L6,L6 CT,-0.0076974674151691356,0.003164172250548487,0.024498892438704317,0.00024156592969205165,0.9400798287182794,8.04124264733167e-05,0.6660631825367747,0.22875760079507124,24,0.02740368358174264,0.019934882886701984,0.22869870450618354,0.18068748272428364
Non-neuronal,L5,VLMC,0.053689647867587176,0.022315748891446628,0.025924266470211777,-0.033011939451972304,0.15578943000376333,3.8927965701474816e-05,0.976311909421947,0.27475079993929463,24,0.05218103415631511,0.10322064026062376,0.28623182410133813,0.27067525810954873
Neuronal,L2/3,Sst Chodl,-0.0026797565508233584,0.0011352255286296029,0.0285148794130342,8.267991216150778e-05,0.9428317502377253,-0.00010235392994227243,0.13586120425725345,0.31773122437145684,24,0.008714503665498275,0.0057761992490380845,0.22869870450618354,0.21861407549992887
Non-neuronal,L6,VLMC,0.0514017294831183,0.021792045901867643,0.028623182410133816,-0.028006867583576567,0.21470546269523139,-0.00010488511915700533,0.9347107526121924,0.25533646550319034,24,0.053579762790747144,0.10237558456622022,0.28623182410133813,0.31485500651147197
Neuronal,L6,Chandelier,-0.006243213867105037,0.0026486311627623624,0.028718587936139607,-0.0009567620227875781,0.7224962868371165,2.8579542191927733e-06,0.9853460060411786,0.22986159903386005,24,0.02674498005861013,0.02042944765088123,0.22869870450618354,0.18068748272428364
