stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr_global,scz_pval_fdr_stratum
L4,Sst Chodl_2,-0.002585325491825358,0.0005697978351869757,0.00020058417788055047,-0.0013760296629150384,0.0258179374411413,-7.843673936726445e-05,0.027801285603533215,0.6659857438475792,24,0.05244378548183397,0.02045958614381615
L2/3,Oligo_2,0.0002517970554192018,5.7104235862811244e-05,0.00027020768952141724,0.00017723541053685753,0.005714258653876257,-4.600173704306703e-06,0.1802615354194242,0.6074927722248146,24,0.05244378548183397,0.017694969184579676
L2/3,Oligo_4,-0.014511213334910369,0.003407840570769963,0.00038467324314303645,0.008816140639648763,0.017905265510325723,0.00019372167422316292,0.3388931193123689,0.5457917647646098,24,0.05244378548183397,0.017694969184579676
L6,Pvalb_13,-0.00038368734353324136,9.947003653732351e-05,0.0009819520286588463,-0.0001505882258283127,0.14681739212498487,5.888534151536279e-06,0.3197465182928487,0.47396935547327024,24,0.08666858348294126,0.0881974401387651
L4,L2/3 IT_8,-0.014508448190692132,0.003881973285636497,0.0012989904695930308,0.0009749541948679994,0.8048229150586821,5.202451336244095e-05,0.8196703218143702,0.41269981761486807,24,0.08666858348294126,0.04847029593343941
L4,Sst_11,0.0029604973228346664,0.0008027222501187242,0.0014571329968433952,-1.0882758370266143e-05,0.9893488270295183,-3.7522405003892264e-05,0.42990543548961047,0.40690000988608377,24,0.08666858348294126,0.04847029593343941
L6,L4 IT_2,-0.0028168756070045473,0.0007749264183729154,0.0016485502829675718,-5.473436833391878e-05,0.9445552405451332,2.843447407454279e-05,0.534263413033841,0.3995999251693595,24,0.08666858348294126,0.0881974401387651
L5,Sst Chodl_2,-0.0007824558938274553,0.00021770406564320077,0.0018129064977190498,-0.00039492062068665484,0.0855572038619528,-5.0217462076923e-06,0.6951522639918593,0.4813320238298966,24,0.08666858348294126,0.12883144894047896
L4,Oligo_4,-0.034150635127770654,0.009559841553927478,0.001907132643878903,0.012857009541428457,0.19496804392864442,0.0007987676181385466,0.16529903080407732,0.4331111813467615,24,0.08666858348294126,0.04847029593343941
L4,L4 IT_1,0.004850235495643619,0.0013947721230523366,0.0023759948986980103,-0.0018796152513440765,0.19410517249790815,-6.37103751695249e-05,0.4403355929266386,0.404526700548576,24,0.08870717612231631,0.04847029593343941
L5,Oligo_1,0.0032377848727499978,0.0009315583981913219,0.0023857675729718323,-0.0013561497584625628,0.16214288627957443,2.4230482200880543e-05,0.6587423103380293,0.41512981031955776,24,0.08870717612231631,0.12883144894047896
L4,Vip_12,-0.00039464594774822034,0.00011942555021753384,0.003539345378258043,4.771998830021905e-05,0.694551378417414,3.072026646366443e-06,0.6622598353844622,0.3539241842965216,24,0.11688275242426094,0.058298487761734054
L2/3,Endo_2,-0.009712565370827661,0.00295815002964439,0.0037158505620046027,0.0011550318442264309,0.7011596610874258,-0.00030221477797839045,0.09354182383193216,0.4416087450465338,24,0.11688275242426094,0.11395275056814115
L4,Pvalb_5,-0.001902246085456322,0.0005851145653943623,0.004000876611099396,-0.0009465845289431541,0.12240622675579374,-4.5737006539723474e-05,0.19295331419513598,0.47811992366721623,24,0.11688275242426094,0.058298487761734054
L4,L6b_1,0.0051678416255571845,0.0016522422547505218,0.0052999958062770755,-0.0020877788671688213,0.2222105643562428,-3.355217988937586e-05,0.7299893398140742,0.35317986155025993,24,0.1379861521045701,0.06117723451090964
L4,L6b_2,0.0009301588980466016,0.0002981557127188064,0.00539799128037438,-0.0005122378226338085,0.10217672266257523,2.5834806661690024e-05,0.15092301900654248,0.4298752359948068,24,0.1379861521045701,0.06117723451090964
L2/3,Sst Chodl_2,-0.0031073306084011968,0.0010134565634932799,0.006095759179992795,-0.00029431626350650305,0.7751361043038929,-0.00010217893815281972,0.09762720501197578,0.4258947212833649,24,0.14665679438923843,0.14020246113983428
L5,Sst_11,0.001335628740155486,0.0004429976235140138,0.006841154795360083,-0.0006166967770380605,0.18040198217450365,1.324028461293158e-05,0.6120976545726586,0.3576111841175277,24,0.14732809375750017,0.18479049412615547
L5,Chandelier_2,-0.004294028988322655,0.0014243215799388876,0.006844092375042795,0.0006628979142274324,0.6476248040127619,-9.723762985072376e-05,0.25313558163897537,0.36886075114120676,24,0.14732809375750017,0.18479049412615547
L6,Oligo_1,0.009412535890316926,0.0031817036088976113,0.007770475283462039,-0.00257684737004562,0.4288673295042542,-4.4127041351840076e-05,0.8135030685814784,0.3137856785059726,24,0.1589062195467987,0.23702820070208908
L5,L6b_2,0.00333766704989077,0.0011514903719879721,0.008882472946974182,-0.0015975746399382522,0.1818129319910051,4.5331266981080395e-05,0.5052086234956492,0.3486868413028533,24,0.16168026452141848,0.19186141565464235
L2/3,L6b_2,0.0005102916694010663,0.00017630665311003452,0.008966538281851217,-0.0001047628876988272,0.5601787202769313,3.271592813500374e-06,0.7524108083759432,0.3104411537592151,24,0.16168026452141848,0.15270902284831187
L4,Oligo_1,0.0011343958122823489,0.00039278141607453694,0.009092044215140893,-0.00022201471219173883,0.5793055489871672,2.5696257659445777e-05,0.2728367895049448,0.34963139501873675,24,0.16168026452141848,0.09273885099443711
L6,Sst_7,-0.0006308581674469675,0.00022009040415821413,0.009543426483708288,-0.0001832187445970452,0.4163210454537072,1.0412866003896235e-05,0.42441301001591325,0.31784653440865873,24,0.1626358929931954,0.23702820070208908
L2/3,L2/3 IT_8,-0.01848929161939866,0.006493904417372328,0.009959284098802947,-0.00045496842461042845,0.9450025835819842,-0.0001703456014824598,0.6560433413690963,0.3099677718976196,24,0.16293388785641622,0.15270902284831187
L4,L2/3 IT_2,-0.002675443153200382,0.0009478665275377455,0.010517590266310621,-0.0009309702109329785,0.33913349613030697,-3.311775345738286e-05,0.5538006453657003,0.3489729444402575,24,0.16544978534311708,0.09752674610578939
L5,Sst_1,-0.00021301553071165257,7.877842190789605e-05,0.013658388060549448,-9.951311341409824e-05,0.2223517762683444,1.014783575515456e-05,0.038120157815190396,0.3780757669672643,24,0.2068992858061009,0.21671095976148774
L5,L6b_1,0.0074723583583343675,0.002812274032122487,0.015132258690207456,-0.00485654813460539,0.10052913222204975,-3.571495994185446e-05,0.828953436903069,0.3217978205402642,24,0.21885131491962587,0.21671095976148774
L2/3,L6b_1,0.0020939398210271516,0.0007932224568697891,0.01571137178006919,-0.0004513312759769528,0.5768131453464589,3.490604039827592e-06,0.940294122062121,0.26697267616909137,24,0.21885131491962587,0.18899859881179656
L5,Vip_12,-0.00012150837696241356,4.6202749789788914e-05,0.01605266368603613,3.820289547543916e-06,0.9351141757164304,2.284763938861656e-06,0.40412179976958285,0.2635613029209771,24,0.21885131491962587,0.21671095976148774
L6,L6 CT_3,-0.006055934109307454,0.0023210753342056156,0.016792697145080745,0.0004597829214624076,0.845422518013997,4.4720907619485894e-05,0.7432762038262579,0.25398805852231965,24,0.21923485005711996,0.23702820070208908
L6,Endo_2,-0.011198494580112815,0.004308271022478875,0.017152848904224544,0.005245331615827464,0.2389149527240142,-0.00012251707750079267,0.6293619926233712,0.2951050128510657,24,0.21923485005711996,0.23702820070208908
L2/3,Chandelier_2,-0.0025023888694760167,0.0009732326431900982,0.01822521230779405,-0.000490516101645922,0.6207843100552561,-0.00011931930020792432,0.04735456257642185,0.4104030175713925,24,0.2224117142666954,0.18899859881179656
L2/3,L4 IT_1,0.0004863999782304063,0.00018966339568660592,0.018488993362023576,-1.1570450914709081e-05,0.9521013473452582,4.3362083339442094e-07,0.9689574686275865,0.25270323863470134,24,0.2224117142666954,0.18899859881179656
L6,Sst_20,4.862010082812422e-05,1.9336622236418165e-05,0.020589763584579857,2.1881015069922624e-05,0.2725615073351876,1.6564468415783087e-07,0.884097819099914,0.29757857097978757,24,0.23903034722009936,0.23702820070208908
L6,Astro_2,-0.015189446518064946,0.006065341986098195,0.02103934596558332,-0.0034099140643032177,0.5813321090134307,-3.341700290144731e-05,0.9252904906443502,0.2620641946764496,24,0.23903034722009936,0.23702820070208908
