stratum,celltype,merfish_mean,merfish_std,merfish_n_donors,xenium_mean,xenium_std,xenium_n_donors,diff,abs_diff,log2_ratio,abs_log2_ratio
L2/3,Astrocyte,0.13669685077892968,0.030944998111078835,27,0.18974349490137862,0.03335019326938424,12,0.053046644122448944,0.053046644122448944,0.47304091519529096,0.47304091519529096
L2/3,Chandelier,0.004245655565560736,0.0018630435890336348,27,0.003765442864495119,0.0017443642460717858,12,-0.0004802127010656173,0.0004802127010656173,-0.17273550561795858,0.17273550561795858
L2/3,Endothelial,0.06012547475788505,0.01243397437922841,27,0.14981593841899538,0.010861252379921998,12,0.08969046366111033,0.08969046366111033,1.316999196940802,1.316999196940802
L2/3,L2/3 IT,0.3667909084722116,0.07929241455141903,27,0.2770338912240741,0.05044337982832686,12,-0.08975701724813745,0.08975701724813745,-0.40488265594007816,0.40488265594007816
L2/3,L4 IT,0.0032872196489943445,0.004286475209543712,27,0.0005081598695509455,0.00033701398054839654,12,-0.002779059779443399,0.002779059779443399,-2.669780806297485,2.669780806297485
L2/3,L5 ET,0.00045158734955122747,0.0007721223972229666,27,4.9089995992327225e-05,8.024383866456527e-05,12,-0.00040249735355890023,0.00040249735355890023,-2.965617879267423,2.965617879267423
L2/3,L5 IT,0.0005349100374557598,0.0006721288221524252,27,0.00011052172936874684,0.00013981183598541687,12,-0.000424388308087013,0.000424388308087013,-2.176724786711417,2.176724786711417
L2/3,L5/6 NP,4.669072196026545e-05,0.00012312156176552322,27,8.765471056414571e-06,3.036448244396896e-05,12,-3.792525090385088e-05,3.792525090385088e-05,-1.5950321364576512,1.5950321364576512
L2/3,L6 CT,0.00011208788084539097,0.000260141373684798,27,0.0,0.0,12,-0.00011208788084539097,0.00011208788084539097,-3.6098480920020357,3.6098480920020357
L2/3,L6 IT,0.0027719232724409105,0.0015069498283207178,27,0.00026011686315363246,0.0003263200062667467,12,-0.002511806409287278,0.002511806409287278,-3.3644270158735163,3.3644270158735163
L2/3,L6 IT Car3,0.0064851901564758245,0.006492067332286167,27,0.0,0.0,12,-0.0064851901564758245,0.0064851901564758245,-9.343227953136688,9.343227953136688
L2/3,L6b,0.0010127235824256458,0.0012923864441346262,27,0.009228392276049921,0.002297005812618248,12,0.008215668693624275,0.008215668693624275,3.175225534478038,3.175225534478038
L2/3,Lamp5,0.018156276789922484,0.007200903050970633,27,0.017216524864920136,0.003683259691346948,12,-0.0009397519250023481,0.0009397519250023481,-0.07663107332540642,0.07663107332540642
L2/3,Lamp5 Lhx6,0.012514013915342525,0.006374112461148878,27,0.0017712487409792374,0.0011674316215889173,12,-0.010742765174363287,0.010742765174363287,-2.8137361170050563,2.8137361170050563
L2/3,Microglia-PVM,0.12102848817240083,0.06297914167844025,27,0.09495830069612508,0.03237736952486551,12,-0.02607018747627575,0.02607018747627575,-0.3499479286016518,0.3499479286016518
L2/3,OPC,0.039774847213533825,0.012612079647285616,27,0.016577857278974286,0.004680390596262999,12,-0.02319698993455954,0.02319698993455954,-1.2620915190578053,1.2620915190578053
L2/3,Oligodendrocyte,0.05074706764249969,0.01904325508633814,27,0.054106102847617986,0.011389755025448277,12,0.0033590352051182937,0.0033590352051182937,0.0924492242373358,0.0924492242373358
L2/3,Pax6,0.0054689255798709155,0.002574962375501576,27,0.0050826762521320465,0.0012868402429421174,12,-0.000386249327738869,0.000386249327738869,-0.10546900147828465,0.10546900147828465
L2/3,Pvalb,0.02685289155379138,0.011054753345381254,27,0.004425614321403907,0.0015036053839069653,12,-0.022427277232387473,0.022427277232387473,-2.598408773440705,2.598408773440705
L2/3,Sncg,0.014674357745783753,0.008385767691651442,27,0.02217822514126237,0.005034268433340042,12,0.007503867395478616,0.007503867395478616,0.5955141020526259,0.5955141020526259
L2/3,Sst,0.018118915280909982,0.012613744999637574,27,0.013619986789616859,0.005482585110197926,12,-0.0044989284912931235,0.0044989284912931235,-0.411508442098211,0.411508442098211
L2/3,Sst Chodl,0.0028266005030816205,0.003680716013803731,27,0.0017567597283531784,0.001026134211372179,12,-0.001069840774728442,0.001069840774728442,-0.6830571278104035,0.6830571278104035
L2/3,VLMC,0.05202252754578982,0.014061633893878548,27,0.09587557422590463,0.02029012838339392,12,0.04385304668011481,0.04385304668011481,0.8818999915162934,0.8818999915162934
L2/3,Vip,0.05525386583233676,0.017593405638274915,27,0.041907315498595075,0.01072943749222473,12,-0.013346550333741686,0.013346550333741686,-0.39879015982656574,0.39879015982656574
