cluster_label,median_depth,mean_depth,std_depth,n_cells
Astro_1,0.7747318123642224,0.7021024893202448,0.16981203561222089,168
Astro_2,0.3867815440458555,0.40985788589381505,0.1849663554275413,35170
Astro_3,0.763783723753809,0.6988119623241217,0.16532823499015672,1246
Astro_4,0.5132896557096938,0.4995464607882239,0.24028088614318752,30967
Astro_5,0.37427318990982666,0.4271119284532965,0.22144062462266093,14672
Chandelier_1,0.499697515838468,0.4820305186958187,0.12228006675281482,223
Chandelier_2,0.4195067507927489,0.43822851968061227,0.18103997499495972,11769
Endo_1,0.3719751192458257,0.41788295174629914,0.20694660040439905,92615
Endo_2,0.43809051798810533,0.4599535341654892,0.2064280679580878,46158
Endo_3,0.7143623091843049,0.5757996255437635,0.26812394740584994,29
L2/3 IT_1,0.16301336747914252,0.16758986301252785,0.044781852300810526,106
L2/3 IT_2,0.27708703087810654,0.37569671570023944,0.24110686639082277,9814
L2/3 IT_3,0.4177771463377826,0.41051208920880256,0.08275068779099104,4892
L2/3 IT_5,0.4255032205886397,0.412876154632528,0.08095802278544481,1913
L2/3 IT_6,0.1733896025870401,0.18506611985833923,0.0635496883429099,26
L2/3 IT_7,0.19836599062327986,0.22354900957473625,0.10785853447990615,63081
L2/3 IT_8,0.2571169244684525,0.2943623063548903,0.14422003171825373,22725
L2/3 IT_12,0.3133131130174521,0.34867668985369477,0.1493019716147741,38834
L2/3 IT_13,0.43102705416181475,0.4318226808808118,0.1170820518359093,52801
L4 IT_1,0.5762491704020988,0.5775589342308523,0.09935385935634848,27701
L4 IT_2,0.5325295100544766,0.5353991159245214,0.07133560651920846,16735
L4 IT_3,0.4806301621959991,0.4869936278482143,0.09438805161493159,441
L4 IT_4,0.494781836980101,0.5040658708875871,0.07665622789544121,1970
L5 ET_1,0.6272559193313135,0.5966684764733031,0.12338457425810276,49
L5 ET_2,0.6339104227353622,0.6364849069565425,0.0668344922713843,2343
L5 IT_1,0.7074102593928738,0.7074102593928738,,1
L5 IT_2,0.6223118542918992,0.6352507358109438,0.07705340783912516,4561
L5 IT_3,0.7072379050351809,0.7020891444007065,0.08603900513789856,68
L5 IT_5,0.5796521331827569,0.5796521331827569,,1
L5 IT_6,0.603846436659041,0.6027734521997862,0.06986964618981059,12218
L5 IT_7,0.6478610379834754,0.6573362867816321,0.07289449295933005,1055
L5/6 NP_1,0.6621268591771529,0.6775766930278048,0.08800558470067561,293
L5/6 NP_2,0.6328842309993173,0.62682834944069,0.11591061833064474,24
L5/6 NP_3,0.6477679390411168,0.6620756968220618,0.079217343751966,4304
L5/6 NP_4,0.6626748463833412,0.6810721417163598,0.0922502867733356,122
L5/6 NP_6,0.6430265118337131,0.6572862526903535,0.0715834138752215,468
L6 CT_1,0.8147201397033652,0.7960485843750225,0.05063190045775406,72
L6 CT_2,0.8170588473088781,0.80217072413528,0.04278478842229953,79
L6 CT_3,0.8125583392443638,0.7901133909119287,0.06237375942378966,2209
L6 CT_4,0.8223924442129857,0.8008522238908097,0.05786022276511396,51
L6 IT Car3_1,,,,0
L6 IT Car3_2,,,,0
L6 IT Car3_3,0.8037959405286734,0.7763962005878781,0.07064806557662898,780
L6 IT_1,0.8083714161964769,0.7723473479598237,0.08995176538030605,87
L6 IT_2,0.813944516289983,0.7817068695497863,0.08283454743589254,15759
L6b_1,0.636693400615717,0.6066317056185165,0.19771269579288894,14482
L6b_2,0.7372131676992149,0.6821788525274567,0.16614965274081864,5529
L6b_3,0.7766980059445332,0.7038796353720851,0.16884633691645684,700
L6b_4,0.8031856156616348,0.7712203834675071,0.09046972818429264,158
L6b_5,0.8123866511934961,0.7826207001622838,0.09714705880655455,381
L6b_6,0.8175321855866458,0.799169821368811,0.05956624387534389,4321
Lamp5_1,0.5488472800440501,0.5488472800440501,0.340478807780987,2
Lamp5_2,0.4292695280536031,0.43619362643787424,0.15426757701283783,3911
Lamp5_3,0.2705382667519355,0.3005804717490461,0.12762826397871724,1506
Lamp5_4,0.8397319887078336,0.8397319887078336,0.013079846162129037,2
Lamp5_5,0.17526899688171335,0.20643775700020303,0.14273083871492662,1681
Lamp5_6,0.23488672821080603,0.3767878656856348,0.28614306052341276,10
Lamp5_Lhx6_1,0.4555229343541791,0.483199500805381,0.2482198281363546,2308
Micro-PVM_1,0.3707990296558853,0.4273562345122665,0.21491047500115276,1627
Micro-PVM_2,0.4154105250743265,0.4481254642114804,0.21860928007550057,28730
OPC_1,0.7342619271534034,0.6615039009752363,0.17492770272757474,3878
OPC_2,0.4824068729768479,0.4934979382740078,0.22961018460309093,2676
Oligo_1,0.7507117601592755,0.6751224959332457,0.1786411550628638,5159
Oligo_2,0.7710561937355531,0.7190226411387773,0.1335919383287191,2809
Oligo_3,0.7774502589421491,0.7343476043887965,0.11257865877052935,901
Oligo_4,0.6035730349183255,0.5871320981033947,0.19103880766945375,111588
Pax6_1,0.2410683108698272,0.30908367512367524,0.19979580568371247,2229
Pax6_2,0.23127704197773694,0.26241591376181106,0.1160795179988094,401
Pax6_3,0.28111118052413164,0.33445162424547736,0.16350856695439242,236
Pax6_4,0.24142260440768745,0.3178263546813186,0.19207685277695394,457
Pvalb_1,,,,0
Pvalb_2,0.43402227332916404,0.433681136165393,0.13070241470571825,3175
