subclass_label,median_depth,mean_depth,std_depth,n_cells
Astrocyte,0.42434364935940255,0.45169133011010093,0.21993654083617054,82223
Chandelier,0.4224171994529507,0.43904304984909054,0.18021593344340853,11992
Endothelial,0.39659529996100973,0.4319063341676267,0.20774504417613943,138802
L2/3 IT,0.2913246140947475,0.32771679301188633,0.15697408605053062,194192
L4 IT,0.5550483629947875,0.5585552585577586,0.09253880466116457,46847
L5 ET,0.6336214603480721,0.6356692693755731,0.06864949279910297,2392
L5 IT,0.6109593555087915,0.6146438534281249,0.07433329215794335,17904
L5/6 NP,0.6482577493097851,0.662799542911986,0.07976513890957697,5211
L6 CT,0.8128890125874504,0.7909128698567276,0.06145112947618766,2411
L6 IT,0.8139212934133959,0.7816554825512803,0.08287509977156753,15846
L6 IT Car3,0.8037959405286734,0.7763962005878781,0.07064806557662898,780
L6b,0.7332949582703188,0.6618031006466877,0.18713022559024728,25571
Lamp5,0.33245437213061335,0.35323317915695884,0.17609832997524738,7112
Lamp5 Lhx6,0.4555229343541791,0.483199500805381,0.2482198281363546,2308
Microglia-PVM,0.4133247277434161,0.4470123259988566,0.21845922490423056,30357
OPC,0.6508592053415112,0.5929070202629251,0.215511701599889,6554
Oligodendrocyte,0.6138942011288787,0.5950773745834145,0.19110772899626552,120457
Pax6,0.24378280170223993,0.3064560700212018,0.18884552845265695,3323
Pvalb,0.41413750312377395,0.4316040371316152,0.19508927854097152,35652
Sncg,0.16149743856534904,0.21576134407177142,0.15934968388525875,3434
Sst,0.47612611747750117,0.4579489551242205,0.21052917642204208,20567
Sst Chodl,0.2725149037480008,0.34759126630837794,0.19406912311152072,3834
Unassigned,,,,0
VLMC,0.414722188895023,0.4513135808697932,0.21893703628644018,55448
Vip,0.33831890629551026,0.3803972008695867,0.18901845364303504,46835
