"celltype","coefficient","logFC","SE","t","P.Value","FDR"
"Oligodendrocyte","depth:diagnosisSCZ",0.620759506432587,0.198732189276878,3.12359818855381,0.00194289312151494,0.0446865417948437
"OPC","depth:diagnosisSCZ",0.326144922035725,0.150148317236852,2.1721516966537,0.0305472584955666,0.351293472699016
"Astrocyte","depth:diagnosisSCZ",0.2967378287657,0.160500177709612,1.8488317770126,0.0653656796671291,0.50113687744799
"Sncg","depth:diagnosisSCZ",0.794638084097236,0.465806500115579,1.70594030761714,0.0889488212777358,0.511455722346981
"VLMC","depth:diagnosisSCZ",0.49025737878228,0.313426592496503,1.56418565150227,0.118720920972545,0.546116236473707
"L5 ET","depth:diagnosisSCZ",-0.964740198308563,0.66509166408133,-1.45053719721646,0.147796746706469,0.566554195708131
"Pvalb","depth:diagnosisSCZ",-0.555802210349912,0.459222004238551,-1.21031267060363,0.226968730146486,0.701735121679153
"Vip","depth:diagnosisSCZ",0.26777195103286,0.229472229172839,1.16690351594211,0.244081781453618,0.701735121679153
"Pax6","depth:diagnosisSCZ",0.400288094147335,0.383868188340983,1.04277485424702,0.297806751614163,0.761061698569527
"L6 IT","depth:diagnosisSCZ",-0.316170142479037,0.348684398999601,-0.906751616608459,0.365191858167681,0.783626019626374
"Endothelial","depth:diagnosisSCZ",0.34507809745948,0.388274010570984,0.8887488939886,0.37477766156044,0.783626019626374
"L5/6 NP","depth:diagnosisSCZ",-0.38675063539036,0.482881156463039,-0.800923022598756,0.423714947670065,0.784773847569676
"Lamp5","depth:diagnosisSCZ",0.163898294224602,0.213661436165736,0.767093478195415,0.443567826887208,0.784773847569676
"L6 IT Car3","depth:diagnosisSCZ",-0.300417565895668,0.47229962817278,-0.636074110534271,0.525140300729021,0.862730494054821
"L4 IT","depth:diagnosisSCZ",-0.355336014591867,0.648103190809825,-0.548270737793875,0.58385257028182,0.895240607765458
"Sst","depth:diagnosisSCZ",-0.151602294409646,0.370918732860393,-0.408721051213949,0.683006315527626,0.908996942263968
"L6b","depth:diagnosisSCZ",0.196119247196575,0.516477385485734,0.379724752153727,0.704391072207843,0.908996942263968
"L5 IT","depth:diagnosisSCZ",-0.298445352336284,0.805978545827844,-0.370289449863385,0.711388911337019,0.908996942263968
"Microglia-PVM","depth:diagnosisSCZ",-0.0575661526314168,0.219183330457267,-0.262639282427731,0.792990543985312,0.917125665016917
"L6 CT","depth:diagnosisSCZ",-0.0788043967503089,0.353544237997002,-0.222898263585835,0.823750939399493,0.917125665016917
"L2/3 IT","depth:diagnosisSCZ",-0.0951483210875895,0.524039889007977,-0.18156694382122,0.856026803184929,0.917125665016917
"Sst Chodl","depth:diagnosisSCZ",0.0555710599786698,0.35951135441265,0.154573866156352,0.877250636103138,0.917125665016917
"Chandelier","depth:diagnosisSCZ",-0.0321047347474989,0.405862354967465,-0.0791025192520565,0.936995901691241,0.936995901691241
