"celltype","coefficient","logFC","SE","t","P.Value","FDR"
"Vip","depth",-4.34983439898713,0.162261369342108,-26.8075785174476,2.92763413087897e-85,6.73355850102163e-84
"Pax6","depth",-6.66125642749535,0.271435799057704,-24.5408175731428,9.50441905911531e-77,1.09300819179826e-75
"L6 IT","depth",5.72955678358652,0.246557103026574,23.2382548028599,9.44897876057623e-72,7.24421704977511e-71
"L6 CT","depth",5.70668031934136,0.249993528137111,22.8273122183047,3.685582232199e-70,2.11920978351443e-69
"Lamp5","depth",-3.30309375898143,0.151081450390849,-21.8630000601418,2.11123381627621e-66,9.71167555487056e-66
"Astrocyte","depth",-2.3667997122149,0.113490764040113,-20.8545579213686,1.93507667792328e-62,7.41779393203926e-62
"L2/3 IT","depth",-6.79728625856316,0.370552159129787,-18.3436692813397,2.91255956343178e-53,9.56983856556155e-53
"Sncg","depth",-6.00500233613015,0.329374934952498,-18.231509744347,4.92858198106093e-52,1.41696731955502e-51
"OPC","depth",-1.71622945478591,0.106170893301927,-16.1647830343231,7.97342615846893e-44,2.03765335160873e-43
"L5/6 NP","depth",5.10265764716578,0.341448540242217,14.9441483731225,1.80211705195036e-39,4.14486921948582e-39
"L6 IT Car3","depth",4.95450356159831,0.333966269832858,14.8353411980136,4.89641223356266e-39,1.02379528519946e-38
"VLMC","depth",-2.93024659799902,0.22162606895847,-13.2215790848508,2.18850299717965e-32,4.19463074459432e-32
"L6b","depth",4.42295509111976,0.365204661606461,12.1108944000443,3.099112811798e-28,5.48304574395031e-28
"Endothelial","depth",-3.05203790978085,0.27455118583324,-11.1164623110921,1.22721806742345e-24,2.01614396790995e-24
"L4 IT","depth",4.81365239485663,0.458278161130266,10.5037787159322,1.22516658462266e-22,1.87858876308808e-22
"Microglia-PVM","depth",-1.38518331541704,0.154986019289385,-8.93747269442844,2.75183297273846e-17,3.95575989831154e-17
"Pvalb","depth",2.29600430462569,0.324718993267157,7.07074224862692,8.30717169320228e-12,1.12391146437443e-11
"Oligodendrocyte","depth",0.981965166968513,0.140524878677729,6.98783856786308,1.52108641638045e-11,1.94361042093058e-11
"L5 IT","depth",3.8848186265732,0.569912895245741,6.81651294255784,4.04897457779795e-11,4.901390278387e-11
"L5 ET","depth",2.72127437966006,0.470290825782554,5.78636501176037,1.58765993520665e-08,1.82580892548765e-08
"Sst Chodl","depth",-0.926046643373815,0.254212916618745,-3.64279933408204,0.00031253190453969,0.000342296847829185
"Chandelier","depth",-0.575007004426285,0.286988023425836,-2.00359233658013,0.0458775984811857,0.0479629438666941
"Sst","depth",0.39557321847974,0.262279151274706,1.50821449801561,0.132444936051216,0.132444936051216
"Oligodendrocyte","depth:diagnosisSCZ",0.620759506432587,0.198732189276878,3.12359818855381,0.00194289312151494,0.0446865417948437
"OPC","depth:diagnosisSCZ",0.326144922035725,0.150148317236852,2.1721516966537,0.0305472584955666,0.351293472699016
"Astrocyte","depth:diagnosisSCZ",0.2967378287657,0.160500177709612,1.8488317770126,0.0653656796671291,0.50113687744799
"Sncg","depth:diagnosisSCZ",0.794638084097236,0.465806500115579,1.70594030761714,0.0889488212777358,0.511455722346981
