celltype,beta_snrnaseq,se,pval_snrnaseq,padj_snrnaseq,logFC_xenium,pval_xenium,FDR_xenium,SE_xenium,class
L6 CT,0.125606426178303,0.0649999672118182,0.0533092252007589,0.319855351204553,0.265335940594905,0.0318866951016572,0.366942325030099,0.115993915411257,Glut
Sst,-0.169470258834415,0.0485169776159854,0.0004776096977695,0.0085969745598518,-0.037693187690318,0.621582070640396,0.812838092375903,0.0753135609164145,GABA
L6b,0.145156232489517,0.0709679738666112,0.0408177449310939,0.319855351204553,0.329625009138084,0.175535476103798,0.469502567068954,0.235685399667832,Glut
L4 IT,-0.0193354753557229,0.0428076815060975,0.651497815364611,0.902073898197154,-0.0341140816977505,0.744600346434437,0.888705247787875,0.103441491865659,Glut
Sst Chodl,-0.0074600755387129,0.0724466392019468,0.917984095778158,0.965193558308687,0.0216135254102032,0.874421897314165,0.888705247787875,0.135211445401428,GABA
L5 ET,0.0554018477179979,0.0745270103182962,0.457251984102248,0.748230519440043,-0.158980197012483,0.372530669822116,0.527751782247998,0.174736264197896,Glut
L6 IT Car3,0.0686454124884531,0.0502852005545175,0.172214840107703,0.48788897753524,0.229873085895812,0.253185709465294,0.478239673434444,0.196035535616704,Glut
L5/6 NP,0.0502551202065435,0.0496772188289145,0.311713500774246,0.561084301393643,0.144895558703208,0.178702758970658,0.469502567068954,0.10439407864868,Glut
L6 IT,0.101109405936608,0.0634254769741935,0.11090356563303,0.48788897753524,0.134439253505652,0.252157008393693,0.478239673434444,0.114393949052632,Glut
Lamp5,0.0019986175981573,0.0458007223705126,0.965193558308687,0.965193558308687,-0.104899691340595,0.287177670326443,0.488202039554954,0.0962298065024961,GABA
Pvalb,-0.0493989194853215,0.0376842014056317,0.189903208796557,0.48788897753524,-0.208475817847921,0.0431696852976588,0.366942325030099,0.0972981366991154,GABA
L5 IT,-0.0066724751690504,0.0376921628433313,0.859488334878547,0.965193558308687,-0.0950545009375725,0.334463094264544,0.516897509317932,0.096378275926105,Glut
Chandelier,-0.0131809470847113,0.0479245601589304,0.78328909732672,0.965193558308687,-0.0141878906824521,0.888705247787875,0.888705247787875,0.100244516873839,GABA
Sncg,-0.0686133631503605,0.0647533849138262,0.289321858753942,0.561084301393643,0.0226511887266149,0.86065443658756,0.888705247787875,0.127570451768972,GABA
Vip,-0.0554054293603501,0.0448635783409093,0.216839545571218,0.48788897753524,-0.140871299405205,0.136109511646139,0.469502567068954,0.0911422810338352,GABA
L2/3 IT,-0.074276292668894,0.0541253561762242,0.16996968396724,0.48788897753524,-0.116382048382078,0.193324586440158,0.469502567068954,0.0867992802765696,Glut
Pax6,-0.0320403224948196,0.0630590320509496,0.611382900438453,0.902073898197154,-0.198088805035478,0.158758193043433,0.469502567068954,0.135909966680266,GABA
OPC,0.0489563768634113,0.04468311249174,0.273238588404128,0.600337600974195,-0.120726146225937,0.162457118658481,0.194948542390177,0.0835125685246659,NN
Endothelial,-0.0106594539526774,0.065747842501454,0.871206401580077,0.871206401580077,0.634444350886983,0.004012864180992,0.0240771850859524,0.197377833135706,NN
Microglia-PVM,-0.0499071783574349,0.0641324391920463,0.436457420181258,0.654686130271887,-0.129832383395757,0.286342867032159,0.286342867032159,0.118801354640059,NN
Astrocyte,0.151054604618849,0.0636603452193685,0.0176528161204251,0.105916896722551,-0.149812964090663,0.109682389777912,0.164523584666867,0.0898481210039987,NN
Oligodendrocyte,0.0290060942497574,0.0723136121519227,0.688335256967945,0.826002308361534,-0.283276659728995,0.0582073622999466,0.160307331584671,0.141727144159986,NN
VLMC,0.062068584953232,0.0599076286493861,0.300168800487098,0.600337600974195,0.424650549947818,0.0801536657923356,0.160307331584671,0.231432250851559,NN
