supertype,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC,coef,se,tstat,pval,class,fdr
L6b_2,L1-L6,23,12,11,0.21813057480750286,0.5173125771159721,0.863553439229144,0.21406595657786856,0.051187125700850836,4.182027290004884,0.0005601453517297592,Glut,0.055250922899655615
L5/6 NP_3,L1-L6,24,12,12,0.47832838028135843,0.9630402319657808,0.6997977040081945,0.28499998811724286,0.07188730947088422,3.9645382504219815,0.0008308409458594829,Glut,0.055250922899655615
L2/3 IT_8,L1-L6,24,12,12,8.110844911734103,5.103587026871847,-0.4632584130664142,-0.45900256229799175,0.12741513380313144,-3.6024179278985384,0.001897976598418692,Glut,0.08414362919656201
Pax6_3,L1-L6,24,12,12,0.5135517121349338,0.3054238167642088,-0.5196503543075808,-0.1316804828159584,0.04047244180288164,-3.2535838449604673,0.004179913959559087,GABA,0.11005725986081245
Pericyte_1,L1-L6,24,12,12,1.9960315451382054,4.340393720007982,0.7768040809516065,0.4985212618900992,0.1549492374419391,3.2173198792081803,0.004534581240513981,NN,0.11005725986081245
L6b_4,L1-L6,20,9,11,0.11568202818122637,0.3531900763471478,1.1161610809790057,0.18929159533208073,0.05754477833541344,3.289466061173259,0.004964989166653193,Glut,0.11005725986081245
Endo_3,L1-L6,24,12,12,1.1219807388019574,3.6640115735920316,1.1834629654283673,0.6378002269175953,0.2119580662102077,3.0090868364738808,0.0072150432048909245,NN,0.13708582089292756
Oligo_2_1-SEAAD,L1-L6,24,12,12,11.306314874000101,21.182633440044164,0.6278202605790878,0.7073780042386388,0.2425363186548071,2.9165858876806965,0.00884998221091669,NN,0.14713095425648998
Pvalb_13,L1-L6,24,12,12,0.7259193324625878,0.3732368183751776,-0.6652257763518228,-0.20849358059140838,0.07470769995496386,-2.7907910525567625,0.011655048578672042,GABA,0.15151832918945402
Endo_2,L1-L6,24,12,12,13.577630003804813,27.835230048982705,0.7178789005141162,0.5878495073614786,0.21734490472073567,2.7046850171932975,0.01404656358301032,NN,0.15151832918945402
Oligo_4,L1-L6,24,12,12,72.44529515456185,49.69042614457075,-0.3770194458120936,-0.6780789635346369,0.25081575674625606,-2.7034942793511663,0.014082706675450408,NN,0.15151832918945402
Sst_3,L1-L6,24,12,12,2.375775990818601,1.2926092856597324,-0.6086612395693575,-0.336571171705761,0.12542498253549692,-2.6834460320575046,0.014704698634570123,GABA,0.15151832918945402
Sst_11,L1-L6,24,12,12,2.014700592269044,2.94809342190825,0.38068806883964873,0.28129889519182016,0.10495718053928384,2.680130065865616,0.014810062251600769,GABA,0.15151832918945402
Astro_3,L1-L6,22,10,12,0.16413069796214383,0.6462591374019643,1.3705375156053212,0.2938273003065419,0.1121006281519745,2.6211030673994182,0.01788147685914462,NN,0.1627998615818441
L5 IT_1,L1-L6,24,12,12,1.3576435333479762,2.0381313890865997,0.4062829015167458,0.25259673468600613,0.09867312281720236,2.559934534087424,0.01915093921743096,Glut,0.1627998615818441
Sst_25,L1-L6,24,12,12,1.5254656945592144,0.6175244823260163,-0.904336300698257,-0.34605629094205315,0.13616024813099456,-2.5415368706520396,0.019913163096042578,GABA,0.1627998615818441
Endo_1,L1-L6,24,12,12,3.5458050769600633,7.000426149098527,0.6802057893402411,0.5277250968334705,0.20935292113166576,2.5207438901775574,0.02080900486384473,NN,0.1627998615818441
