celltype,beta_snrnaseq,se_snrnaseq,pval_snrnaseq,padj_snrnaseq,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC_density,coef,se_density,tstat,pval_density,class,fdr_density
L5/6 NP_4,0.173914484222229,0.0723978829717698,0.0162966173652479,0.192106022298078,cortical,24,12,12,1.5258237399847507,1.5363745996725244,0.0068910633927751,-0.0383960201909243,0.1116488653884766,-0.343899779521514,0.7346982868872116,Glut,0.8962939746856838
L6 CT_1,0.2308172737216,0.0937106085227013,0.0137746929651014,0.187680191649506,cortical,22,11,11,0.2070184966647354,0.652095899486767,1.1473834910714449,0.2712087041331599,0.1120984397470925,2.4193798303084253,0.0270439980428776,Glut,0.1893079863001432
L6b_1,0.481296796598871,0.101095249618842,1.92803133457243e-06,0.0002101554154683,cortical,21,9,12,0.0295817489450533,0.0958402320780796,1.175524974413795,0.0544025582259889,0.0293108125426657,1.8560576629118983,0.0819585724605475,Glut,0.3152099401098149
L6b_2,0.167197845733031,0.0871313688570625,0.0549948667087902,0.338304125851518,cortical,23,12,11,0.2181305748075028,0.5173125771159721,0.863553439229144,0.2140659565778685,0.0511871257008508,4.182027290004884,0.0005601453517297,Glut,0.0552509228996556
Vip_12,-0.0683277828999998,0.0671702353212183,0.30904258026592,0.623808171277505,cortical,24,12,12,1.6783327750035466,1.1199962229262648,-0.4044755919191198,-0.2009653310925866,0.1017193113041898,-1.9756851330973264,0.06289636622782,GABA,0.269845700267744
L4 IT_3,0.0480322121884009,0.0736806507182668,0.514467471276935,0.762754537006271,cortical,24,12,12,5.266628367400545,5.324181251393041,0.0108685648411274,0.0347931841762804,0.1038604439057773,0.3349993786647494,0.7412957685370317,Glut,0.8962939746856838
Vip_15,-0.0179482346937108,0.0464797589030812,0.699384373825,0.886429031940988,cortical,24,12,12,1.400659265007205,1.051171358984289,-0.2870379069999765,-0.1592166877972186,0.0803165570315705,-1.9823644548736612,0.0620891157684031,GABA,0.269845700267744
Pax6_2,0.118936931018439,0.0827116613009,0.150442417440991,0.499604933085498,cortical,24,12,12,1.8016723607647975,1.5328398722708558,-0.1615931822806278,-0.0760623905719247,0.0918306736898836,-0.8282895846848617,0.4177900724651888,GABA,0.7116309078501246
L2/3 IT_7,0.208344907686777,0.0883656654048172,0.0183856444997348,0.192106022298078,cortical,24,12,12,7.389991444683261,8.884158675733804,0.184143189445082,0.147609565968552,0.167116732185684,0.8832722136078063,0.3881288454000188,Glut,0.7116309078501246
Lamp5_1,0.0403381814661403,0.0767968137036056,0.59940348180977,0.81582568961815,cortical,24,12,12,2.117079845337932,2.7722207944807793,0.2696110221354074,0.1440811101480812,0.1146948230653779,1.2562128463806312,0.2242660473842872,GABA,0.5142652465881069
