subclass,beta_snrnaseq,se_snrnaseq,pval_snrnaseq,n_supertypes,ctrl_mean_density,scz_mean_density,logFC_density,pval_density,se_density,n_ctrl,n_scz,class
Astro,0.15155020113211945,0.058143849670647355,0.009148083140885699,3,108.27909679258079,98.09452274661062,-0.09878059166082494,0.272765829563043,0.08212190729565202,12,12,NN
Chandelier,0.01823664348378476,0.04075249953574454,0.6545158602428229,2,8.648757151615106,8.73075039915292,0.00943569380602971,0.8232147739780746,0.055796390094381074,12,12,GABA
Endo,-0.0119463373644323,0.0829609518678494,0.8855008475598155,1,18.245415819566833,38.499667771673266,0.7467357514427398,0.019693985552888777,0.1212188550789161,12,12,NN
L2/3 IT,-0.03858770941243319,0.025826661504634293,0.13514852819946316,9,90.53670416968912,83.54810959058601,-0.08033271071972777,0.41916288842246774,0.06330082754048925,12,12,Glut
L4 IT,-0.01676498234475242,0.03050599774956359,0.582618811851048,4,27.5663239406023,28.30241932220608,0.026352408754468135,0.6369604126467444,0.061925593560549524,12,12,Glut
L5 ET,0.047443068088005,0.0865138342910925,0.5834261529127265,1,6.9493783056973895,5.93916028652086,-0.15708444568207983,0.25874376803211024,0.0726702065291805,12,12,Glut
L5 IT,-0.025227473881357383,0.02577980625585343,0.32779001733613566,6,38.6323119079828,37.502122383307174,-0.0296914940999979,0.7319636451404858,0.05847069119349861,12,12,Glut
L5/6 NP,0.09055845689532556,0.045265638215583305,0.04543546336909746,3,4.526775797034962,5.591232350222856,0.21118977758108684,0.12353335963961405,0.05762443067364,12,12,Glut
L6 CT,0.19343796480541917,0.04957770053332238,9.551431433428968e-05,3,5.6137747713119905,7.977312358213006,0.3513781994922803,0.22611424436337887,0.112806119027489,12,12,Glut
L6 IT,0.15535503290532127,0.06159515074199873,0.01166247595387021,2,14.340697385599961,17.647353221854104,0.2074843468539207,0.6939202242501035,0.13525458823629635,12,12,Glut
L6 IT Car3,0.033961515545813545,0.048664906882314674,0.4852618776783394,3,3.517489802312219,4.676646145498821,0.2848336065735876,0.46485744272228496,0.12451765224790529,12,12,Glut
L6b,0.2636359572046663,0.047914271567300735,3.749899784087977e-08,4,4.3356905902190395,6.545102936748257,0.4118362235311276,0.27895435747701885,0.14787433616661153,12,12,Glut
Lamp5,0.07257997724323456,0.02663462937765344,0.006429701084775352,6,11.47035041759843,10.91835218194798,-0.04932042162651732,0.47389089212840585,0.06688833615051432,12,12,GABA
Lamp5_Lhx6,0.0436739722602506,0.0450623579427426,0.3324505593237542,1,0.022946377572310064,0.032271118441298804,0.34101258025772924,0.4130114948492116,0.004675665532207924,6,5,GABA
Micro-PVM,-0.02222566828540786,0.064187669188892,0.7291467887745475,2,6.075656987164273,3.286462220443074,-0.6144784561362276,0.06394961171972392,0.12619933104352898,12,12,NN
OPC,0.02453274439525742,0.049873067114022306,0.6227874487344238,2,0.7216722339189503,0.6534144558907522,-0.09935944314799916,0.466995172433752,0.0302212929372088,12,12,NN
Oligo,0.014889352802575624,0.06232367073170877,0.8111802904440386,3,84.61778752396431,66.50632549414927,-0.24084743558125782,0.0850965140336472,0.11651015617362837,12,12,NN
Pax6,0.05442826500576645,0.04860004820217991,0.262746986337544,2,4.1209436035713765,3.483095513679084,-0.1681607533041115,0.21758226446432766,0.05672899644687157,12,12,GABA
Pvalb,0.015358532436443003,0.017545255248733294,0.38137440487011265,13,17.12319658582059,14.515045020071492,-0.16524837065000678,0.17808129995044764,0.061297254665680354,12,12,GABA
Sncg,0.05778068401771547,0.028393661137392234,0.04185234860891043,7,4.254467237824289,4.6345506650437605,0.08556970473865755,0.6841457696810552,0.05595676498072983,12,12,GABA
Sst,-0.06112462044928468,0.017852947341519897,0.0006175587668079062,16,21.55204563042439,21.920547997403034,0.016953724758490142,0.8921829043251999,0.05260975113239448,12,12,GABA
Sst Chodl,0.07828181908778706,0.05904858847183876,0.18493288455441337,2,0.45502491604364215,0.4854327495612625,0.06468858225329284,0.667494680794858,0.021955926199775593,12,12,GABA
VLMC,0.0265514443896083,0.0862631120922641,0.7582375342398896,1,0.30466858052113716,0.3474277530251495,0.13133217386166215,0.5345832022677818,0.05725306649426175,12,12,NN
Vip,0.017192939294687865,0.01518476298183429,0.25752958233248746,16,19.646434066081827,17.77111762241304,-0.10032131541753093,0.3979836110508355,0.06560304263696991,12,12,GABA
