pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,fdr
Neuronal,Chandelier,0.041666666666666664,12,11,0.0004187604690117253,0.0,,-0.7839703965840584,0.789241022531845,-0.9933219057330818,0.33371951067002065,0.6998389738322763
Neuronal,Chandelier,0.125,12,12,0.009159475081976842,0.010899192638728981,0.2508844440901536,0.30547649998866566,0.16702041051958214,1.8289770635718225,0.08314412895081161,0.41765422914826295
Neuronal,Chandelier,0.20833333333333331,12,12,0.032941685023030166,0.033481783297604296,0.02346201711552312,0.031397818696172974,0.08400723467911558,0.3737513657734832,0.7127272717828183,0.9161259185409056
Neuronal,Chandelier,0.29166666666666663,12,12,0.04322260341860903,0.04772295467554607,0.14289739512249572,0.11755560644659402,0.08834074887963446,1.3307064739372452,0.19903610875346683,0.5889287601472444
Neuronal,Chandelier,0.375,12,12,0.043386724156023015,0.04412718546418835,0.02441406983477555,0.060846504377343236,0.09846624684673565,0.6179427603456018,0.543949694573228,0.8274164368156143
Neuronal,Chandelier,0.4583333333333333,12,12,0.03865578420110443,0.049688328188257115,0.36222269599617846,0.29050703411456613,0.09680382420125083,3.0009871666910075,0.007345650508309188,0.2973839990281474
Neuronal,Chandelier,0.5416666666666666,12,12,0.03398363836932583,0.033222994149660255,-0.03265822026724186,-0.03195913458614763,0.11301784424313083,-0.2827795451255928,0.7804035602385493,0.9161259185409056
Neuronal,Chandelier,0.625,12,12,0.02310620328211226,0.023928653680106576,0.050459006014873124,0.031102690820975942,0.10387621959441734,0.2994207042036742,0.7678698162677258,0.9161259185409056
Neuronal,Chandelier,0.7083333333333333,12,12,0.024225220604171222,0.026642361362204738,0.1372121533940116,0.19651353865259846,0.18665867708517458,1.0527961609999357,0.30564006326694837,0.6792804445111444
Neuronal,Chandelier,0.7916666666666666,12,12,0.017212175270993276,0.020551436257993123,0.2558097852502133,0.2862030238301702,0.20057346271910637,1.4269236814791595,0.16982960840084296,0.5722106588504119
Neuronal,Chandelier,0.875,12,12,0.013736682832325398,0.0177319598824983,0.3683183429115429,0.3663205771448731,0.15957725882625495,2.2955688037210664,0.03325307451643256,0.3735425190491554
Neuronal,Chandelier,0.9583333333333333,11,12,0.0076902438378444885,0.0062203233595198104,-0.3060397631783312,-0.659958047550369,0.8145048781583815,-0.8102567157640023,0.42837551506821325,0.7505057136003238
Neuronal,L2/3 IT,0.041666666666666664,12,11,0.02373356432300766,0.04342193256599712,0.8714951552104098,2.713027037938174,1.4940139376963502,1.8159315448699522,0.08607558598723036,0.42255287666458546
Neuronal,L2/3 IT,0.125,12,12,0.5964502273730518,0.633681304473257,0.08735569945527007,0.160688555531383,0.05240291388093452,3.0664049693207134,0.006352995350900448,0.2973839990281474
Neuronal,L2/3 IT,0.20833333333333331,12,12,0.6964207424520366,0.6948501419064405,-0.0032573075543847287,-0.023002589994193273,0.048483848959019506,-0.4744381992781964,0.6405946589532897,0.8875338580173058
Neuronal,L2/3 IT,0.29166666666666663,12,12,0.6005306387510201,0.6059178916803399,0.012884453083144542,0.02169198061776871,0.06465959959064782,0.3354796620315938,0.7409392247543879,0.9161259185409056
Neuronal,L2/3 IT,0.375,12,12,0.4602581250841698,0.45149616437426854,-0.02772945862386532,-0.04672074928012026,0.07285875401278825,-0.6412510056364644,0.5290197319185869,0.821652702074013
Neuronal,L2/3 IT,0.4583333333333333,12,12,0.21594184790484705,0.2094117181358752,-0.04430067989992738,-0.05941740378388685,0.10661992535011311,-0.5572823615170898,0.5838407603637904,0.863764412593005
Neuronal,L2/3 IT,0.5416666666666666,12,12,0.03515016733842455,0.03360977618081748,-0.06465062224219789,-0.03757942123639135,0.14600587153543768,-0.2573829452281328,0.7996500422781551,0.9336454547680081
Neuronal,L2/3 IT,0.625,12,12,0.017613226320957066,0.015332825722383604,-0.20003560138352983,-0.1683633448632209,0.19209199007488137,-0.8764724900688959,0.3917203103017271,0.7499364413233748
Neuronal,L2/3 IT,0.7083333333333333,12,12,0.012558012157490658,0.015097813468202161,0.26573151312258086,0.12361715052293398,1.150255546611374,0.10746929313847452,0.9155434057499462,0.9646701250828701
Neuronal,L2/3 IT,0.7916666666666666,12,12,0.009742102898619084,0.019548710331902013,1.0047683066610733,0.6346425372001794,0.3465267495043463,1.8314388084265898,0.0827619223834404,0.41765422914826295
Neuronal,L2/3 IT,0.875,12,12,0.01662391726312702,0.023114842199403896,0.475559134494088,0.2810498647624877,0.24440618423051436,1.1499294326260274,0.264441831598126,0.6631366851777297
Neuronal,L2/3 IT,0.9583333333333333,11,12,0.009856704567837141,0.015149907376949136,0.620131683195762,-0.18325440301669402,0.8370380159055054,-0.2189319953627792,0.8291662690326479,0.9401303223657606
Neuronal,L4 IT,0.041666666666666664,12,11,0.0006510416666666666,0.00027800945232137893,-1.2276159434142235,0.008815308984155723,1.1055123887276508,0.007973957663469861,0.9937254822445069,0.9937254822445069
Neuronal,L4 IT,0.125,12,12,0.00042694908379399196,0.0006224757365944821,0.5439535734645344,1.2220418121846723,1.5729701636080362,0.7769008214253639,0.4467824939258771,0.7505057136003238
Neuronal,L4 IT,0.20833333333333331,12,12,0.001252104237716003,0.0012546837922564101,0.0029691476201575396,-0.8545410915334788,0.8799608996701637,-0.971112570858304,0.3436935632559569,0.7138250929162182
Neuronal,L4 IT,0.29166666666666663,12,12,0.0060591872175087234,0.01119795883965346,0.8860395943237027,0.5877286243707868,0.21140234624508894,2.7801423910849343,0.011928196059464645,0.2973839990281474
Neuronal,L4 IT,0.375,12,12,0.03176491778561532,0.045021660149991316,0.503184971251301,0.3711533996365175,0.14832212258596345,2.5023468729110667,0.021633103406700965,0.3326489014970771
