subclass,outcome,n_samples,n_observations,interaction_pval,diagnosis_coef,diagnosis_pval,converged,interaction_fdr
Astrocyte,proportion,24,453,0.23273974524944088,-0.007461511743543762,0.9480310586396474,True,0.33456338379607126
Chandelier,proportion,24,399,0.019409185260629822,-0.06588869074938387,0.8578847440366537,True,0.05254537823996663
Endothelial,proportion,24,447,1.3439222561825611e-11,-0.5313390019619203,0.14052109242122104,True,6.182042378439781e-10
L2/3 IT,proportion,24,413,0.017511372377204997,0.9811734552145334,0.003798780941145617,True,0.05254537823996663
L4 IT,proportion,24,364,0.12645560613670478,0.25955941990792897,0.7242937614485734,True,0.2154428845292007
L5 ET,proportion,24,297,0.00010953350056689701,5.3082782614301145,0.005126518045945739,True,0.0008397568376795438
L5 IT,proportion,24,349,2.616013513705603e-06,4.737795219812062,6.417478382655444e-08,True,4.011220721015258e-05
L5/6 NP,proportion,24,266,0.019418944132161577,0.8380021583498399,0.5867710193665023,True,0.05254537823996663
L6 CT,proportion,24,310,0.02076860554453227,-1.3240528788289168,0.24639871958578818,True,0.053075325280471354
L6 IT,proportion,24,362,0.8456724747100596,1.1222797535028861,0.28472327031401123,True,0.8456724747100596
L6 IT Car3,proportion,24,210,0.00013159255394000518,-16.006065939277594,1.3531072385941457e-05,True,0.0008647510687486054
L6b,proportion,24,247,0.0026795522870731833,2.161459646356915,0.1854678983047734,True,0.012325940520536644
Lamp5,proportion,24,440,0.2470162556518385,-0.02622615385061489,0.8674949483489389,True,0.3443256896965022
Microglia-PVM,proportion,24,453,0.8326018608301106,0.10783791993290172,0.6110517428129396,True,0.8456724747100596
OPC,proportion,24,452,0.0552266387802599,-0.1475934737898881,0.18945056623549228,True,0.1104532775605198
Oligodendrocyte,proportion,24,453,1.7076820374170954e-07,-0.2407574299603975,0.16441096031109792,True,3.927668686059319e-06
Pax6,proportion,24,334,0.6122834730828292,-0.07497025846370892,0.7481607997617503,True,0.6869521893124425
Pvalb,proportion,24,390,0.0010273378581951132,0.7096547187993635,0.0778639318980355,True,0.005907192684621901
Sncg,proportion,24,351,0.006974046983267432,0.0828407598253569,0.7464321835342419,True,0.02467739701771553
Sst,proportion,24,416,0.07146258793284496,0.9882133131024035,0.006325949868628493,True,0.13149116179643475
Sst Chodl,proportion,24,247,0.693773217231213,-0.784041928809019,0.24607053145285473,True,0.7368436321074295
VLMC,proportion,24,439,1.2222633425940213e-05,-0.1633794894004158,0.6259315996815613,True,0.00011244822751864996
Vip,proportion,24,433,0.01064153814115028,-0.06702996036071664,0.699175783784782,True,0.03496505389235092
Astrocyte,density_per_mm2,24,453,0.04608238719086001,0.39363343959271546,0.07793254851669,True,0.09635408230816184
Chandelier,density_per_mm2,24,399,0.159862494928521,0.17559391597650645,0.45930232773169666,True,0.2451224922237322
Endothelial,density_per_mm2,24,447,1.2132815042586534e-05,0.00504863719215529,0.9844173615023186,True,0.00011244822751864996
L2/3 IT,density_per_mm2,24,413,0.15677190589850232,0.5538505604204714,0.030294470257756303,True,0.2451224922237322
L4 IT,density_per_mm2,24,364,0.4167114702261704,-0.14045385213338463,0.827886879399555,True,0.504440200800101
L5 ET,density_per_mm2,24,297,0.0023768950478251965,1.9905433026155388,0.010115694856303384,True,0.012148574688884337
L5 IT,density_per_mm2,24,349,0.07520415318884364,2.225964861440469,0.007331070038297323,True,0.13305350179564646
L5/6 NP,density_per_mm2,24,266,0.15698459024523048,0.6534505356739778,0.3967818517657318,True,0.2451224922237322
L6 CT,density_per_mm2,24,310,0.2816963730558939,-0.4842630843113637,0.5074235963413782,True,0.3811186223697388
L6 IT,density_per_mm2,24,362,0.682113885948497,0.004372988330439687,0.9957619105837276,True,0.7368436321074295
L6 IT Car3,density_per_mm2,24,210,0.003415241853061119,-5.379301801564646,0.013630066230987024,True,0.014281920476437407
L6b,density_per_mm2,24,247,0.23134898098294784,1.1435070263758391,0.25968398557993333,True,0.33456338379607126
Lamp5,density_per_mm2,24,440,0.2978061250325873,0.1952294951976725,0.10257743588849441,True,0.38399838116865476
Microglia-PVM,density_per_mm2,24,453,0.30052047221894723,0.4149577119579532,0.05239731488048075,True,0.38399838116865476
OPC,density_per_mm2,24,452,0.03693237278785079,0.1844948282167387,0.2557054066469229,True,0.08494445741205682
Oligodendrocyte,density_per_mm2,24,453,0.004705171024284985,0.2333139341095488,0.3346715840394864,True,0.018036488926425776
Pax6,density_per_mm2,24,334,0.7048069524505848,0.1474960103049786,0.15000591429259916,True,0.7368436321074295
Pvalb,density_per_mm2,24,390,0.37222944808945235,0.49668753848938085,0.19352817496998775,True,0.4627717462733732
Sncg,density_per_mm2,24,351,0.04533904808552076,0.3237623329188283,0.006278165963872845,True,0.09635408230816184
Sst,density_per_mm2,24,416,0.06087584994469996,0.5305377887907502,0.08765810801792315,True,0.11667871239400826
Sst Chodl,density_per_mm2,24,247,0.6070217927811972,-0.032422934308297034,0.6175301793014012,True,0.6869521893124425
VLMC,density_per_mm2,24,439,0.026022291164585314,0.2640502382201125,0.13027540632859422,True,0.06300133650373287
Vip,density_per_mm2,24,433,0.5227624833873838,0.16007970294130866,0.2192712226170288,True,0.6165916470722989
