layer,subclass,outcome,n_samples,n_scz,n_ctrl,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,converged,fdr
L1,Astrocyte,proportion,24,12,12,0.4228789235178241,0.41709122787962527,-0.019881687290460474,-0.0436799912810293,0.08472974790030911,-0.515521317641852,0.6121353352061082,True,0.8504309782763663
L1,Chandelier,proportion,13,7,6,0.0005108462887312167,0.0008671090766864144,0.7633242302812301,0.3568719792695809,0.47753987040025087,0.7473134734707451,0.4762631751750383,True,0.7597202941852418
L1,Endothelial,proportion,24,12,12,0.13041145871257037,0.1265796474511832,-0.04302518407846252,-0.035501410111978715,0.06315180148414569,-0.5621598953260482,0.5805793744447529,True,0.8350799221465625
L1,L2/3 IT,proportion,24,12,12,0.018853541118428328,0.030191562347175474,0.6793098956168948,0.5058212417096921,0.3701737113082912,1.3664429057427847,0.18775453881308307,True,0.5771046554343288
L1,Lamp5,proportion,24,12,12,0.05530226705769548,0.05256687478125579,-0.07318465742339957,-0.07907162253015726,0.09289868599627721,-0.8511597519616795,0.40528066047310246,True,0.7410713531528379
L1,Microglia-PVM,proportion,24,12,12,0.10692373367503966,0.10955448262006277,0.03506639490490964,0.02916543741373895,0.10813763775062411,0.26970662592979217,0.7902934203985957,True,0.9183680880456022
L1,OPC,proportion,24,12,12,0.05310199393728737,0.05112024493298959,-0.05487128538631155,-0.045158472204451794,0.09342888743303732,-0.48334592699520196,0.6343732766776491,True,0.850950781305451
L1,Oligodendrocyte,proportion,24,12,12,0.08665647380182577,0.07230755950145774,-0.2611610483458854,-0.26230034935420327,0.09885005831679503,-2.6535173961514738,0.01568204699513539,True,0.1937194040575548
L1,Pax6,proportion,24,12,12,0.0230823943018344,0.02261749048400744,-0.029354015850811366,0.03308129079518596,0.09221671249205193,0.3587342239947797,0.7237492591986676,True,0.8993333990042615
L1,Sncg,proportion,24,12,12,0.04545619956184196,0.05107796418625001,0.1682239543343005,0.14854898997495114,0.09524408142057456,1.5596663620387619,0.1353404603806885,True,0.5075267264275819
