region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
L1,Astrocyte,proportion,12,12,0.42865632407066956,0.43257392534316735,0.013125277277148751,0.0035070293250255118,0.9652684761689688,0.9870939172708767
L1,Endothelial,proportion,12,12,0.1376673450337674,0.13416797112438114,-0.03714608065866027,-0.02924387983812976,0.6152723700403434,0.9016555068705658
L1,L2/3 IT,proportion,12,12,0.004962981936005517,0.006932768608138393,0.4822244055538405,0.4947663015864956,0.12379649872942053,0.637147843060245
L1,L4 IT,proportion,4,3,0.00042458978131195,0.0005764936838409,0.44123515153269655,-0.31199270342395624,0.803162030072494,0.919809699704145
L1,Lamp5,proportion,12,12,0.055409412580131705,0.05413658624803697,-0.033527155701937934,-0.06554723854894645,0.5652570016076379,0.8867605095788574
L1,Microglia-PVM,proportion,12,12,0.10712165515095971,0.11213859427631458,0.06603273277326123,0.05376777662074028,0.6292047226370882,0.9016555068705658
L1,OPC,proportion,12,12,0.05332322890952887,0.0500926590039377,-0.09016494899723074,-0.060918639572903666,0.4635880911271494,0.8383449312598749
L1,Oligodendrocyte,proportion,12,12,0.08877943177338138,0.07585642382956131,-0.22695411591089962,-0.23271954886782997,0.028857418749013354,0.4357470231101016
L1,Pax6,proportion,12,12,0.022445794965279917,0.020371133949669357,-0.13991890376757402,-0.049440634103846914,0.6361778557704233,0.9016555068705658
L1,Sncg,proportion,12,12,0.04327477033530865,0.04817073057394081,0.15463064145541047,0.13843841187616146,0.14553027178585132,0.637147843060245
L1,Sst,proportion,9,6,0.0005203334465274779,0.0007043267018721167,0.4368083327394908,0.10217054152018168,0.7168183862487597,0.9016555068705658
L1,VLMC,proportion,12,12,0.04339718238615742,0.05193659943653479,0.25915017923115136,0.1787303965859186,0.27724561520245034,0.7650860729300396
L1,Vip,proportion,12,12,0.014213113923366924,0.012826724901526127,-0.1480698180395465,-0.15535942686248083,0.44767391317654787,0.8340505735396941
L2/3,Astrocyte,proportion,12,12,0.15472981582533776,0.16561571025219404,0.09808830768860914,0.06873832651830689,0.2048012042855991,0.7421808503070517
L2/3,Chandelier,proportion,12,12,0.016627959409720082,0.017450461509079453,0.06965406028790358,0.08118702109416753,0.2819481525427056,0.7650860729300396
L2/3,Endothelial,proportion,12,12,0.15817185822601884,0.14171942075447572,-0.1584554659308564,-0.12508058311144682,0.011979065598100367,0.30813132469274773
L2/3,L2/3 IT,proportion,12,12,0.301194114325309,0.3194045545273834,0.08469130651952023,0.08600622985258063,0.05617904192167385,0.5183612571288986
L2/3,L4 IT,proportion,12,12,0.0021245126511212835,0.0029036800440544997,0.4507505571154189,0.28444015143454826,0.09710943325756216,0.637147843060245
L2/3,L5 ET,proportion,12,12,0.002859356299105059,0.002458251348404317,-0.21805796848880352,-0.3891912077230064,0.11645030210837666,0.637147843060245
L2/3,L5 IT,proportion,12,12,0.01238586798810234,0.010585642560886883,-0.2265861293397508,-0.11069083413583525,0.5294247343920396,0.8852047618438768
L2/3,L5/6 NP,proportion,7,9,0.00011848551797884137,0.0002125341015213664,0.8429836081957373,0.570222446281929,0.05428027309671678,0.5183612571288986
L2/3,L6 CT,proportion,11,11,0.00033819914895082137,0.00040684852866032414,0.2666187439664256,0.44574700679787094,0.22827790029579942,0.7539242946363752
L2/3,L6 IT,proportion,12,12,0.0036873852448196915,0.003780819906494875,0.03610097849319091,-0.04163608863367163,0.8672555883599155,0.9455277533743482
L2/3,L6b,proportion,11,7,0.00023333392964512334,0.0005384687540165204,1.2064665229294929,0.4896257475164151,0.2505142347359509,0.7650860729300396
L2/3,Lamp5,proportion,12,12,0.017643974266467705,0.017729711819761823,0.006993525349460259,-0.005646991800074663,0.9296561898120242,0.9702111711150226
L2/3,Microglia-PVM,proportion,12,12,0.06850549841281696,0.06655659638939915,-0.04163812885288687,-0.013023291673419979,0.9138088219826278,0.9649309938417958
L2/3,OPC,proportion,12,12,0.03454864032715153,0.034802815987542694,0.010575109050343416,0.001333064515022131,0.9852256144150823,0.9907994379409504
L2/3,Oligodendrocyte,proportion,12,12,0.06982420200956087,0.048886818883704365,-0.5142816499360496,-0.5003773483120487,0.0012596412587360312,0.10935534304682065
L2/3,Pax6,proportion,12,12,0.009870187004301182,0.009815366404157684,-0.008035294794772363,0.033253868234307093,0.7927217241094359,0.919809699704145
L2/3,Pvalb,proportion,12,12,0.020986672478667926,0.018309133214256715,-0.19690994656469205,-0.11983696417987455,0.13503466318272428,0.637147843060245
L2/3,Sncg,proportion,12,12,0.0065198656090302174,0.008105615587510115,0.31407952938328204,0.21727098865844863,0.09542993025583646,0.637147843060245
L2/3,Sst,proportion,12,12,0.031400709773511344,0.029813626169694695,-0.07482531177518846,-0.05453654322655932,0.5055763461934373,0.862621788420441
L2/3,Sst Chodl,proportion,12,11,0.0008774014635612666,0.0009889149962583183,0.17260940432971772,0.06659877323968627,0.7716315938964522,0.9138538876734453
L2/3,VLMC,proportion,12,12,0.0384333340506142,0.049645327812153216,0.36929981611168144,0.2505395061030904,0.14341990103414223,0.637147843060245
L2/3,Vip,proportion,12,12,0.04896203153703008,0.050646161549840446,0.04878951224602149,0.0385526301294552,0.5627147928158595,0.8867605095788574
L4,Astrocyte,proportion,12,12,0.13732311856162918,0.14814180632926752,0.10940430765832079,0.06919939482180837,0.3306528984257068,0.7862769710595547
L4,Chandelier,proportion,12,12,0.01632349318530552,0.018868334350262857,0.20901724766706933,0.17331269940281757,0.1154824870879145,0.637147843060245
L4,Endothelial,proportion,12,12,0.1621480553018357,0.152626711990859,-0.08730424335622536,-0.07332032274120615,0.07435163783769792,0.637147843060245
L4,L2/3 IT,proportion,12,12,0.061576316125909754,0.05913910513911777,-0.05826314552659998,-0.04514610889991638,0.7478918741041372,0.9070817107608411
L4,L4 IT,proportion,12,12,0.10144767231785978,0.12175217979309998,0.26321183853434843,0.276187840566519,0.04567445781783767,0.5183612571288986
L4,L5 ET,proportion,12,12,0.020968785225389433,0.01964672956435835,-0.09395410645333636,-0.10120938677052016,0.562846439767888,0.8867605095788574
L4,L5 IT,proportion,12,12,0.0923156858156464,0.0903131637515523,-0.03163951861689876,-0.03449631682383614,0.6714241984851772,0.9016555068705658
L4,L5/6 NP,proportion,12,12,0.0007162546344726752,0.0014092118415108582,0.9763440290003288,0.5710611629348872,0.13439790178689645,0.637147843060245
L4,L6 CT,proportion,12,12,0.0010845765047904248,0.0013622551303402164,0.32886510154339454,0.08211080026268602,0.8381361916126528,0.9326688436877295
L4,L6 IT,proportion,12,12,0.012138237228809726,0.013050932624104165,0.10459398402888279,0.08136330922151636,0.7282746202154304,0.9016555068705658
L4,L6 IT Car3,proportion,9,6,0.0003057783512964083,0.0003331063294688167,0.12349649801122409,0.15653020910592375,0.6649021441926479,0.9016555068705658
L4,L6b,proportion,9,11,0.0003482105060391728,0.0005972110820556272,0.7782812049260533,0.4029103843923738,0.13564407939080889,0.637147843060245
L4,Lamp5,proportion,12,12,0.014209622381396133,0.013621038903531342,-0.061031470937840906,-0.06643902139903801,0.44634814905593473,0.8340505735396941
L4,Microglia-PVM,proportion,12,12,0.06334086941583904,0.061240174562202404,-0.04865827473575301,-0.018063291841366902,0.85907117746496,0.9434163476160652
L4,OPC,proportion,12,12,0.03270612047071972,0.034104802558997,0.06041427031239234,0.03006619617257711,0.7226424242613809,0.9016555068705658
L4,Oligodendrocyte,proportion,12,12,0.15734743870162896,0.1271286464791039,-0.30766453862287196,-0.33360297988192267,0.02542916427982211,0.40418987434243564
L4,Pax6,proportion,12,12,0.0013425096763363667,0.001328747192790125,-0.014865842870261353,0.11326498062151846,0.6995357705512166,0.9016555068705658
L4,Pvalb,proportion,12,12,0.03371457219826473,0.03053276661111397,-0.14301397171077868,-0.0746683225675322,0.32203406968965415,0.7862769710595547
L4,Sncg,proportion,12,12,0.0009738733642287835,0.0019551535499142667,1.0054758239517516,0.8014978071721488,0.002496046250190102,0.12563432792623513
L4,Sst,proportion,12,12,0.031284625648773705,0.03498341596209962,0.16121732748139891,0.15880262354881158,0.052597946431441944,0.5183612571288986
L4,Sst Chodl,proportion,11,11,0.0005964320265324637,0.0005653233678649182,-0.07728139531233962,-0.12219902201028399,0.6905826176519387,0.9016555068705658
L4,VLMC,proportion,12,12,0.03308641925088731,0.04332797659716218,0.38905969910429156,0.24191936165203676,0.14230269807372561,0.637147843060245
L4,Vip,proportion,12,12,0.02489891287090625,0.024165923222488315,-0.04310864134007224,-0.06500675891326269,0.4030276200059306,0.8340505735396941
L5,Astrocyte,proportion,12,12,0.12344012460078883,0.1368411161834053,0.1486903537358242,0.10534624165737794,0.13952246540191224,0.637147843060245
L5,Chandelier,proportion,12,12,0.010400254955761017,0.010756490981073015,0.04858861821266972,0.04213578971317289,0.6664454408485933,0.9016555068705658
L5,Endothelial,proportion,12,12,0.13386385889336258,0.12330675037598292,-0.11851472695066527,-0.0893372341718569,0.024055114661562144,0.40418987434243564
L5,L2/3 IT,proportion,12,12,0.0033040527142015005,0.004301739942520575,0.3806836063952729,0.17846143087268151,0.44145759454654926,0.8340505735396941
L5,L4 IT,proportion,12,12,0.08151108989219513,0.08180356830694972,0.005167418703248201,0.004145482690614322,0.9405723392367857,0.9710806030527953
L5,L5 ET,proportion,12,12,0.021871974589948256,0.01924835818753416,-0.18434807738636777,-0.16104497408069152,0.20547435130810507,0.7421808503070517
L5,L5 IT,proportion,12,12,0.14987833156256458,0.15570515452783346,0.055024881914487817,0.04053029321423224,0.6258294479701663,0.9016555068705658
L5,L5/6 NP,proportion,12,12,0.023462198772413522,0.029444279526760663,0.32764914996138317,0.28433665752295323,0.018406110908075476,0.3970461067313424
L5,L6 CT,proportion,12,12,0.005299811921935942,0.008464310080227917,0.67545131721238,0.5745320216783549,0.02423684811110442,0.40418987434243564
L5,L6 IT,proportion,12,12,0.008406922124529008,0.010952728963147694,0.3816407598126504,0.1905926191777434,0.31493699149194015,0.7845744012985594
L5,L6 IT Car3,proportion,12,12,0.004205302534913316,0.0061484407605400075,0.548010997009442,0.4538519401804537,0.015212841420580051,0.35340600838578273
L5,L6b,proportion,12,11,0.000607761189226975,0.0015304902999401819,1.3324174468274477,0.9403110165021046,0.00020811310350165208,0.03901024306689759
L5,Lamp5,proportion,12,12,0.0087655417116713,0.008087102395967658,-0.11622037403595673,-0.1400193285229786,0.2788313121865425,0.7650860729300396
L5,Microglia-PVM,proportion,12,12,0.05695354728321639,0.056648308970630605,-0.007752810986080495,0.021228425498863945,0.8065998970898584,0.919809699704145
L5,OPC,proportion,12,12,0.031142575004913024,0.03300273304494796,0.08369726515611653,0.07159287250316537,0.38840666042977917,0.8340505735396941
L5,Oligodendrocyte,proportion,12,12,0.21571088428759236,0.184622122275285,-0.22452353976836276,-0.25924256319353056,0.05664212412335647,0.5183612571288986
L5,Pax6,proportion,12,12,0.0006617135752432167,0.0005446371613978251,-0.28091145420632746,-0.2834759999385943,0.3068813061257445,0.7796143075338886
L5,Pvalb,proportion,12,12,0.0371864285709975,0.03232307460907494,-0.20221176097373564,-0.12917354923283098,0.10298400979051944,0.637147843060245
L5,Sncg,proportion,12,12,0.0006283782381447083,0.0014475463839085584,1.203904453895239,1.0704788370490856,0.0052609924997743,0.2036101770223776
L5,Sst,proportion,12,12,0.04387812561518234,0.05183946485825707,0.24054892723452148,0.16837962802945283,0.007260393939151353,0.21926389696237084
L5,Sst Chodl,proportion,11,12,0.0004903570324906272,0.0006312197471802582,0.3643097710721104,0.339928317332674,0.12937947368161087,0.637147843060245
L5,VLMC,proportion,12,12,0.025512202656255284,0.03015260228361463,0.24109505473629284,0.1562153493063645,0.21626461863251836,0.7421808503070517
L5,Vip,proportion,12,12,0.012859425358492466,0.012325300992147093,-0.0612032966319192,-0.10211279229119286,0.2022506980276454,0.7421808503070517
L6,Astrocyte,proportion,12,12,0.11731887088305276,0.13169832324159877,0.1668018863044134,0.12528061135224022,0.08575140332041813,0.637147843060245
L6,Chandelier,proportion,12,12,0.005515434824366776,0.006716294563213716,0.2841908762706466,0.24371666481955656,0.1161925056717197,0.637147843060245
L6,Endothelial,proportion,12,12,0.11598321934648875,0.11104589184296655,-0.06276006764454536,-0.04559891624650286,0.41367923488154096,0.8340505735396941
L6,L2/3 IT,proportion,12,12,0.004283911825491566,0.006891933002056817,0.6859798910641459,0.3942651398082758,0.15118215155461504,0.642257448266829
L6,L4 IT,proportion,12,12,0.011045911661941283,0.011335951505490625,0.03739299679462852,0.04821079071680989,0.7697964532771336,0.9138538876734453
L6,L5 ET,proportion,12,11,0.0014900628998804585,0.0010777652064170274,-0.46733031436931455,-0.2814685547608027,0.2814669749255532,0.7650860729300396
L6,L5 IT,proportion,12,12,0.006609071625884757,0.007280964444083041,0.13968193289182324,0.01954317059947419,0.909201668255284,0.9634347502213887
L6,L5/6 NP,proportion,12,12,0.009357004832543992,0.008114140661045583,-0.20560848622231268,-0.12614564370416037,0.2630770454104022,0.7650860729300396
L6,L6 CT,proportion,12,12,0.050206479792622966,0.047914348746421614,-0.06741581493939267,-0.06593379965967183,0.21171136600689403,0.7421808503070517
L6,L6 IT,proportion,12,12,0.1123840899458564,0.10470776777023351,-0.10206933684261835,-0.07708391412949389,0.2983225746752073,0.7766673926889017
L6,L6 IT Car3,proportion,12,12,0.032495923912638884,0.03208810684197649,-0.018220091827992186,-0.03088769697556748,0.7266826807513866,0.9016555068705658
L6,L6b,proportion,12,12,0.04134350162777068,0.04437825996076153,0.10219251723549024,0.07975115451790027,0.47869558135058377,0.8419263925575389
L6,Lamp5,proportion,12,12,0.00720628056599415,0.0081486252465789,0.17730186091583117,0.13920346495318747,0.08663448381162568,0.637147843060245
L6,Lamp5 Lhx6,proportion,6,4,0.0016944524879318832,0.013801698639062,3.025954747444601,-0.017322882576677134,0.9890637431833065,0.9907994379409504
L6,Microglia-PVM,proportion,12,12,0.06732605324906234,0.07037290119919073,0.06385509647897149,0.07345077030943337,0.44770870233696125,0.8340505735396941
L6,OPC,proportion,12,12,0.03302287093111119,0.03571923130617899,0.11323548311729316,0.08692406067358038,0.3581179294041433,0.823748561724412
L6,Oligodendrocyte,proportion,12,12,0.304360392254674,0.28434879787972717,-0.09811892172986209,-0.11969166554976807,0.1531209810437473,0.642257448266829
L6,Pax6,proportion,5,9,0.00053217460891636,0.00040988152250616666,-0.3766927235975881,-0.4533614852879171,0.21525132856212678,0.7421808503070517
L6,Pvalb,proportion,12,12,0.01538687760312541,0.012208047119538707,-0.3338680654111714,-0.23695162880151366,0.04605984871561645,0.5183612571288986
L6,Sncg,proportion,11,12,0.0009883750329625182,0.0015810903491643834,0.6777893380484726,0.6597266304005285,0.10412839284993639,0.637147843060245
L6,Sst,proportion,12,12,0.026040743039629107,0.02481921413168546,-0.06931317944810333,-0.06970149740703446,0.3883950744445152,0.8340505735396941
L6,Sst Chodl,proportion,12,11,0.0009479820592287917,0.0010707850928871,0.17573729834182072,0.09748474042592181,0.7301221557798337,0.9016555068705658
L6,VLMC,proportion,12,12,0.03245209037507105,0.04009073930071702,0.3049576107715284,0.19307687531407902,0.1939037155142546,0.7421808503070517
L6,Vip,proportion,12,12,0.0032482506323336254,0.003661889091440209,0.17292514255322702,0.15361160115095107,0.30930379349282844,0.7796143075338886
WM,Astrocyte,proportion,12,12,0.10168451896982633,0.1021932073401649,0.007199253448876948,-0.010130932880806243,0.8905074075069515,0.9502941239120117
WM,Chandelier,proportion,11,12,0.0005985615844295454,0.0004556864575927667,-0.393458193726341,-0.2630855191762522,0.3526236538165371,0.823748561724412
WM,Endothelial,proportion,12,12,0.04292262231368466,0.0404716753873825,-0.08482564593567342,-0.10137924019517797,0.33064597425839964,0.7862769710595547
WM,L2/3 IT,proportion,10,12,0.0006480968069519501,0.0007990253111421166,0.30203187868794273,0.17900411988413367,0.5784497363809104,0.8867605095788574
WM,L4 IT,proportion,7,12,0.0006864950632306954,0.0005122922660415347,-0.42228223368261686,-0.5547109718550343,0.28934516500324625,0.7665108757103541
