pool,region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
Neuronal,L1,L2/3 IT,proportion,12,12,0.032294013226748026,0.045662093517615465,0.49973026779587754,0.48451413654977266,0.08359578373067564,0.6094769492324698
Neuronal,L1,L4 IT,proportion,4,3,0.0031307734169587686,0.003486842105263158,0.1554019357254236,-0.6273500047104971,0.5757635596465263,0.8686321271084835
Neuronal,L1,Lamp5,proportion,12,12,0.3971704709832203,0.3725216744897111,-0.09243399610561258,-0.13619506314121235,0.12301369617536088,0.6094769492324698
Neuronal,L1,Pax6,proportion,12,12,0.16015195440097854,0.1464704305278163,-0.1288319614740426,-0.08394461432591349,0.5335909991679718,0.8490718088950209
Neuronal,L1,Sncg,proportion,12,12,0.3049750929765778,0.342329202508772,0.16669294322141617,0.16579141406521805,0.11360832388585995,0.6094769492324698
Neuronal,L1,Sst,proportion,9,6,0.003698418956266108,0.00455282656510463,0.29985384028443857,-0.14229961601225072,0.600532813459047,0.8727743555604817
Neuronal,L1,Vip,proportion,12,12,0.10004209530729574,0.0878281217562727,-0.18785232260519724,-0.18993886505185842,0.25504443165067625,0.7226100648435971
Neuronal,L2/3,Chandelier,proportion,12,12,0.034692306939991716,0.03537939161060379,0.0282934604969159,0.04361920884376991,0.4678655890157922,0.8225378903664734
Neuronal,L2/3,L2/3 IT,proportion,12,12,0.6329808599385711,0.6487602244138104,0.03552349428629137,0.059854147772907006,0.11664422265691893,0.6094769492324698
Neuronal,L2/3,L4 IT,proportion,12,12,0.004467275381521154,0.005925226412120639,0.4074750915534038,0.2475820210968741,0.13973684259186372,0.6193648036982395
Neuronal,L2/3,L5 ET,proportion,12,12,0.0060255884187202895,0.004967811531145508,-0.27849169055777945,-0.4276070838679724,0.08368643606164983,0.6094769492324698
Neuronal,L2/3,L5 IT,proportion,12,12,0.02625066942757952,0.021463900765230623,-0.29044192425662446,-0.15141564691379683,0.40516091445748575,0.8125630816587377
Neuronal,L2/3,L5/6 NP,proportion,7,9,0.0002514755596492341,0.0004383668606522508,0.8017205440627994,0.5333174536457448,0.08062817992882579,0.6094769492324698
Neuronal,L2/3,L6 CT,proportion,11,11,0.0007058376473687906,0.0008298471446170166,0.2335092393705753,0.4130205018856402,0.2646596343647762,0.7229332496948486
Neuronal,L2/3,L6 IT,proportion,12,12,0.007864319452192665,0.007575988667393053,-0.05388775304980212,-0.07967694738110542,0.7488092492206965,0.9130674739579849
Neuronal,L2/3,L6b,proportion,11,7,0.0004948372932526032,0.0010890362095721472,1.138025785524685,0.4483282920400935,0.28926597552087907,0.7267361058138609
Neuronal,L2/3,Lamp5,proportion,12,12,0.03734644622126109,0.03594204516162543,-0.05529846398977454,-0.0448337104369505,0.4309053032184828,0.8125630816587377
Neuronal,L2/3,Pax6,proportion,12,12,0.02063771430618084,0.02011934868811227,-0.03669959407406306,-0.0044939093462386115,0.9722848997581285,0.9827205710945177
Neuronal,L2/3,Pvalb,proportion,12,12,0.04421300916558537,0.037062868435000555,-0.2544963870878183,-0.16199877328499812,0.038871015902591004,0.5062131390480432
Neuronal,L2/3,Sncg,proportion,12,12,0.013830739206820394,0.01641124439905774,0.24680637101612227,0.18069455593018524,0.15245364458328087,0.6210613014206106
Neuronal,L2/3,Sst,proportion,12,12,0.06596200952899174,0.06023558460415302,-0.13101932978447345,-0.09669991499789626,0.1835762924912361,0.6352322502077694
Neuronal,L2/3,Sst Chodl,proportion,12,11,0.0018478659142086822,0.001977241992403248,0.0976293767049886,0.010181857223568458,0.9638176572654433,0.9818329405788161
Neuronal,L2/3,Vip,proportion,12,12,0.10252521257021123,0.10258305921170079,0.0008137659617209883,-0.0009821577468467901,0.9857100571227877,0.9857100571227877
Neuronal,L4,Chandelier,proportion,12,12,0.0393697960575775,0.04339384361100839,0.14040113946724259,0.12188843122548076,0.23794757904457947,0.7226100648435971
Neuronal,L4,L2/3 IT,proportion,12,12,0.1499543605275108,0.1368194265259017,-0.1322503868516359,-0.11339747017447593,0.47491383433122253,0.8271904584332922
Neuronal,L4,L4 IT,proportion,12,12,0.24314524829993125,0.2815274292497795,0.21145709331482712,0.2499902374022145,0.09225983343658943,0.6094769492324698
