metric,layer,ctrl_mean,ctrl_sd,scz_mean,scz_sd,log2fc,t,p,fdr
Total cells,L1,2795.0,811.4064108918315,2389.4166666666665,1137.646091184723,-0.22618983006169435,1.0054534499244931,0.3256100057771481,0.6388904816517146
Total cells,L2/3,12179.666666666666,3475.1668981067614,10477.833333333334,3765.219439055634,-0.21713423114678113,1.1505690852372126,0.2622625022075266,0.6388904816517146
Total cells,L4,5572.5,2506.056681503651,4940.0,1364.9355629146348,-0.17381366967507478,0.7678017379472253,0.45076792005688937,0.6628940000836608
Total cells,L5,6862.416666666667,1598.4363642654218,6615.916666666667,1914.329526982956,-0.052775662344902295,0.3423925858248485,0.7353050402593434,0.844428968593849
Total cells,L6,4008.3333333333335,2023.5753387297323,5076.666666666667,2363.351754426648,0.34087904782988787,-1.1894693290753644,0.24693460607209453,0.6388904816517146
Area (mm²),L1,25.42235538237172,8.930122221051214,20.559506672404485,11.538657862952352,-0.30629205497295253,1.1545323011742645,0.2606693984143462,0.6388904816517146
Area (mm²),L2/3,39.47597150128505,7.2571230003872875,36.1700811192691,11.381121112746332,-0.1261779376060743,0.8484181457064713,0.405342131438631,0.6628940000836608
Area (mm²),L4,39.9173980163477,9.05668995411068,29.58162089632253,7.7341787188093205,-0.43231657713503613,3.0063021790988964,0.006498976238161633,0.1624744059540408
Area (mm²),L5,32.67268941621521,12.176806392455356,25.94090110664958,9.372810553182527,-0.33285661828459173,1.517577334233359,0.14336074128260218,0.6388904816517146
Area (mm²),L6,20.542665527579004,14.576365224989589,19.077347534587528,9.6468565081841,-0.10676279500833095,0.2903982310922713,0.7742313608790179,0.844428968593849
Cell density (cells/mm²),L1,126.19238064421262,60.690032584644904,170.84595891417268,130.7630093534417,0.4370713189187004,-1.073002324140111,0.29489936249914933,0.6388904816517146
Cell density (cells/mm²),L2/3,314.3175384838502,104.64150279123517,293.37282728117844,67.90391786497226,-0.09948752258005007,0.5816332585281688,0.566726337875391,0.7456925498360407
Cell density (cells/mm²),L4,139.032509268813,54.59518039703816,176.151636820656,62.97930370834643,0.34139562009604635,-1.5427263870230192,0.137160085502075,0.6388904816517146
Cell density (cells/mm²),L5,240.0671326261296,105.80656211922803,270.82793315537145,84.97681757368062,0.17393864693726793,-0.7852167665748867,0.44070121945505736,0.6628940000836608
Cell density (cells/mm²),L6,286.61553618513,214.94095910159288,308.63088814388055,194.19836159904617,0.1067656417976546,-0.26327075352911966,0.7947919496495756,0.844428968593849
Fraction of cortical cells,L1,0.09445540136633628,0.03468020845000919,0.07890354744035259,0.027607359684650123,-0.2595431343721876,1.2153585634511486,0.23711158494058918,0.6388904816517146
Fraction of cortical cells,L2/3,0.3858806435944986,0.03623256923387759,0.351623005686571,0.06228784514974948,-0.13412521277103037,1.646859919871491,0.11379819240744006,0.6388904816517146
Fraction of cortical cells,L4,0.17212140162192735,0.04613293999637316,0.1761341397025109,0.052655467985378165,0.03324807713295156,-0.19856188546156192,0.844428968593849,0.844428968593849
Fraction of cortical cells,L5,0.22548535665329494,0.05726077753194282,0.23100768505254435,0.05672814906381598,0.034907101513873814,-0.2373342658268517,0.8145936837397316,0.844428968593849
Fraction of cortical cells,L6,0.12205719676394283,0.05303607054971673,0.16233162211802118,0.06621266664099255,0.4113867013907011,-1.6445458043358978,0.11427853599499858,0.6388904816517146
Fraction of cortical area,L1,0.16670635479343673,0.0630047476246052,0.148699479623432,0.08013485096367778,-0.16490950178921096,0.6119223002510435,0.5468618025696708,0.7456925498360407
Fraction of cortical area,L2/3,0.2546865129770613,0.04819498123390275,0.27229558485990374,0.0502354760676415,0.09645102681472012,-0.8762323563914897,0.39037117268193544,0.6628940000836608
Fraction of cortical area,L4,0.2531434043406046,0.04191660075031471,0.22970447795611534,0.04857563266529003,-0.14017591377609115,1.265491829933,0.21893414290677074,0.6388904816517146
Fraction of cortical area,L5,0.20205427093386563,0.052792074811506315,0.19649054797424206,0.034956426407646735,-0.04028293246922446,0.3043971162561526,0.7636860759541042,0.844428968593849
Fraction of cortical area,L6,0.12340945695503173,0.07084482087793817,0.15280990958630683,0.07437944048509576,0.3082851504163899,-0.9914980482466744,0.3322230504588916,0.6388904816517146
