sample,diagnosis,stratum,celltype,proportion,count,n_stratum,level
Br1113,Control,L2/3,Astrocyte,0.1815937940761636,1545,8508,subclass
Br1113,Control,L2/3,Chandelier,0.006582040432534086,56,8508,subclass
Br1113,Control,L2/3,Endothelial,0.12200282087447109,1038,8508,subclass
Br1113,Control,L2/3,L2/3 IT,0.27585801598495535,2347,8508,subclass
Br1113,Control,L2/3,L4 IT,0.005524212505876822,47,8508,subclass
Br1113,Control,L2/3,L5 ET,0.0010578279266572638,9,8508,subclass
Br1113,Control,L2/3,L5 IT,0.0004701457451810061,4,8508,subclass
Br1113,Control,L2/3,L5/6 NP,0.0004701457451810061,4,8508,subclass
Br1113,Control,L2/3,L6 CT,0.00011753643629525152,1,8508,subclass
Br1113,Control,L2/3,L6 IT,0.004113775270333803,35,8508,subclass
Br1113,Control,L2/3,L6 IT Car3,0.0,0,8508,subclass
Br1113,Control,L2/3,L6b,0.03913963328631876,333,8508,subclass
Br1113,Control,L2/3,Lamp5,0.0232722143864598,198,8508,subclass
Br1113,Control,L2/3,Lamp5 Lhx6,0.002233192289609779,19,8508,subclass
Br1113,Control,L2/3,Microglia-PVM,0.07510578279266572,639,8508,subclass
Br1113,Control,L2/3,OPC,0.01457451810061119,124,8508,subclass
Br1113,Control,L2/3,Oligodendrocyte,0.05077574047954866,432,8508,subclass
Br1113,Control,L2/3,Pax6,0.009167842031029619,78,8508,subclass
Br1113,Control,L2/3,Pvalb,0.009050305594734367,77,8508,subclass
Br1113,Control,L2/3,Sncg,0.02456511518570757,209,8508,subclass
Br1113,Control,L2/3,Sst,0.026445698166431594,225,8508,subclass
Br1113,Control,L2/3,Sst Chodl,0.0036436295251527973,31,8508,subclass
Br1113,Control,L2/3,VLMC,0.07545839210155147,642,8508,subclass
Br1113,Control,L2/3,Vip,0.048777621062529385,415,8508,subclass
Br1113,Control,L4,Astrocyte,0.07746017892210343,710,9166,subclass
Br1113,Control,L4,Chandelier,0.012982762382718744,119,9166,subclass
Br1113,Control,L4,Endothelial,0.14673794457778747,1345,9166,subclass
Br1113,Control,L4,L2/3 IT,0.2583460615317478,2368,9166,subclass
Br1113,Control,L4,L4 IT,0.03425703687540912,314,9166,subclass
Br1113,Control,L4,L5 ET,0.008291512109971635,76,9166,subclass
Br1113,Control,L4,L5 IT,0.010146192450360025,93,9166,subclass
Br1113,Control,L4,L5/6 NP,0.0010909884355225835,10,9166,subclass
Br1113,Control,L4,L6 CT,0.00010909884355225835,1,9166,subclass
Br1113,Control,L4,L6 IT,0.007200523674449051,66,9166,subclass
Br1113,Control,L4,L6 IT Car3,0.0,0,9166,subclass
Br1113,Control,L4,L6b,0.05662229980362208,519,9166,subclass
Br1113,Control,L4,Lamp5,0.011128082042330352,102,9166,subclass
Br1113,Control,L4,Lamp5 Lhx6,0.0018546803403883918,17,9166,subclass
Br1113,Control,L4,Microglia-PVM,0.07396901592843116,678,9166,subclass
Br1113,Control,L4,OPC,0.009382500545494218,86,9166,subclass
Br1113,Control,L4,Oligodendrocyte,0.06589570150556404,604,9166,subclass
Br1113,Control,L4,Pax6,0.002836569932358717,26,9166,subclass
Br1113,Control,L4,Pvalb,0.025201832860571677,231,9166,subclass
Br1113,Control,L4,Sncg,0.003491162993672267,32,9166,subclass
Br1113,Control,L4,Sst,0.031747763473707176,291,9166,subclass
Br1113,Control,L4,Sst Chodl,0.004036657211433559,37,9166,subclass
Br1113,Control,L4,VLMC,0.11400829151210998,1045,9166,subclass
Br1113,Control,L4,Vip,0.04320314204669431,396,9166,subclass
Br1113,Control,L5,Astrocyte,0.06398618429792322,1445,22583,subclass
Br1113,Control,L5,Chandelier,0.009343311340388788,211,22583,subclass
Br1113,Control,L5,Endothelial,0.11579506708586104,2615,22583,subclass
Br1113,Control,L5,L2/3 IT,0.10131514856307842,2288,22583,subclass
Br1113,Control,L5,L4 IT,0.17429039543019084,3936,22583,subclass
Br1113,Control,L5,L5 ET,0.025815879201169022,583,22583,subclass
Br1113,Control,L5,L5 IT,0.09440729752468671,2132,22583,subclass
Br1113,Control,L5,L5/6 NP,0.0105831820395873,239,22583,subclass
Br1113,Control,L5,L6 CT,0.0015055572775981934,34,22583,subclass
Br1113,Control,L5,L6 IT,0.005225169375193729,118,22583,subclass
Br1113,Control,L5,L6 IT Car3,0.001328432891998406,30,22583,subclass
Br1113,Control,L5,L6b,0.0459194969667449,1037,22583,subclass
Br1113,Control,L5,Lamp5,0.009520435725988576,215,22583,subclass
Br1113,Control,L5,Lamp5 Lhx6,0.002214054819997343,50,22583,subclass
Br1113,Control,L5,Microglia-PVM,0.048842049329141386,1103,22583,subclass
Br1113,Control,L5,OPC,0.008723375990789532,197,22583,subclass
Br1113,Control,L5,Oligodendrocyte,0.1355001549838374,3060,22583,subclass
Br1113,Control,L5,Pax6,0.0005313731567993624,12,22583,subclass
Br1113,Control,L5,Pvalb,0.031483859540362216,711,22583,subclass
Br1113,Control,L5,Sncg,0.0014169950847982996,32,22583,subclass
Br1113,Control,L5,Sst,0.039011645928353184,881,22583,subclass
Br1113,Control,L5,Sst Chodl,0.0010627463135987247,24,22583,subclass
Br1113,Control,L5,VLMC,0.04538812380994554,1025,22583,subclass
Br1113,Control,L5,Vip,0.02679006332196785,605,22583,subclass
Br1113,Control,L6,Astrocyte,0.07420573205954233,334,4501,subclass
Br1113,Control,L6,Chandelier,0.0037769384581204176,17,4501,subclass
Br1113,Control,L6,Endothelial,0.10397689402355033,468,4501,subclass
Br1113,Control,L6,L2/3 IT,0.007553876916240835,34,4501,subclass
Br1113,Control,L6,L4 IT,0.03243723616974006,146,4501,subclass
Br1113,Control,L6,L5 ET,0.012219506776271939,55,4501,subclass
Br1113,Control,L6,L5 IT,0.03999111308598089,180,4501,subclass
Br1113,Control,L6,L5/6 NP,0.013330371028660297,60,4501,subclass
Br1113,Control,L6,L6 CT,0.03177071761830704,143,4501,subclass
Br1113,Control,L6,L6 IT,0.07642746056431904,344,4501,subclass
Br1113,Control,L6,L6 IT Car3,0.017996000888691403,81,4501,subclass
Br1113,Control,L6,L6b,0.12663852477227283,570,4501,subclass
Br1113,Control,L6,Lamp5,0.004443457009553432,20,4501,subclass
Br1113,Control,L6,Lamp5 Lhx6,0.003110419906687403,14,4501,subclass
Br1113,Control,L6,Microglia-PVM,0.06309708953565875,284,4501,subclass
Br1113,Control,L6,OPC,0.010664296822928238,48,4501,subclass
Br1113,Control,L6,Oligodendrocyte,0.27393912463896913,1233,4501,subclass
Br1113,Control,L6,Pax6,0.00022217285047767163,1,4501,subclass
