gene,n_assigned,n_nuclear,n_cytoplasmic,nuclear_fraction
IFITM3,156313,138449,17864,0.8857
GABPB1-AS1,19031,16297,2734,0.8563
HIF3A,57169,48897,8272,0.8553
DISC1,15870,12688,3182,0.7995
NPIPA1,304503,238597,65906,0.7836
AJ009632.2,52589,40385,12204,0.7679
ITGAX,20122,15379,4743,0.7643
MOG,132496,100550,31946,0.7589
LPAR6,24041,18192,5849,0.7567
AKAP8L,34798,25765,9033,0.7404
CYBA,6317,4654,1663,0.7367
CAPN3,39145,28714,10431,0.7335
C1orf61,113244,82917,30327,0.7322
ADAM28,23811,17214,6597,0.7229
ACO1,44241,31537,12704,0.7128
CACNA1C,45393,30892,14501,0.6805
CSF1R,40658,27600,13058,0.6788
TMEM144,151018,102235,48783,0.677
AQP1,20123,13606,6517,0.6761
TF,200519,135092,65427,0.6737
SLC44A1,113456,75955,37501,0.6695
LATS1,60176,40242,19934,0.6687
LILRB4,8230,5500,2730,0.6683
MAG,78544,51824,26720,0.6598
UGT8,14496,9555,4941,0.6591
SLC14A1,18969,12494,6475,0.6587
HHIP,45716,30032,15684,0.6569
P2RY13,9366,6142,3224,0.6558
CNDP1,92806,60626,32180,0.6533
TREM2,7400,4825,2575,0.652
CYBB,24311,15752,8559,0.6479
SYTL4,4524,2923,1601,0.6461
CLDN11,93311,59750,33561,0.6403
TMEM119,11134,7123,4011,0.6398
EVI2A,36102,22856,13246,0.6331
FKBP5,29093,18399,10694,0.6324
XRRA1,34460,21719,12741,0.6303
CD53,23518,14783,8735,0.6286
ENPP2,124011,77183,46828,0.6224
HNRNPH3,120492,74879,45613,0.6214
CSMD1,177740,110288,67452,0.6205
ABCA2,244880,151682,93198,0.6194
C3,79952,49317,30635,0.6168
MOBP,45053,27769,17284,0.6164
PPM1K,49221,30287,18934,0.6153
ZBTB16,82255,50441,31814,0.6132
LST1,4984,3055,1929,0.613
PLD4,12642,7747,4895,0.6128
CLDND1,282282,172531,109751,0.6112
SYK,10044,6138,3906,0.6111
P2RY12,36515,22292,14223,0.6105
PWP2,22161,13527,8634,0.6104
OGA,305299,185823,119476,0.6087
C4A,26035,15785,10250,0.6063
ANLN,34824,20950,13874,0.6016
OLR1,7578,4541,3037,0.5992
BCL6,35540,21293,14247,0.5991
RELN,32651,19528,13123,0.5981
NOTCH1,78034,46625,31409,0.5975
ITGB2,13851,8267,5584,0.5969
CX3CR1,44537,26527,18010,0.5956
ELMSAN1,17488,10365,7123,0.5927
TNK2,152187,90177,62010,0.5925
PLP1,258011,152807,105204,0.5922
ARRDC3,26005,15366,10639,0.5909
VIP,33921,20011,13910,0.5899
COMT,31360,18436,12924,0.5879
ACY3,8627,5051,3576,0.5855
RGS10,14806,8610,6196,0.5815
PMP22,50207,29177,21030,0.5811
GJB1,28285,16432,11853,0.5809
FGFR3,173843,100619,73224,0.5788
ALCAM,79218,45740,33478,0.5774
ABCG2,75507,43442,32065,0.5753
FLT1,50981,29296,21685,0.5746
ITGAM,6644,3808,2836,0.5731
KLF2,36205,20738,15467,0.5728
CLDN5,54735,31349,23386,0.5727
SOX2-OT,86262,49295,36967,0.5715
RNASE1,180606,102102,78504,0.5653
C1QB,22750,12826,9924,0.5638
TXNIP,55374,31161,24213,0.5627
EDIL3,144518,81311,63207,0.5626
RIPOR2,45892,25675,20217,0.5595
ADCYAP1R1,84135,47024,37111,0.5589
SELPLG,12403,6922,5481,0.5581
PLEC,124436,69379,55057,0.5575
CASC3,92048,50916,41132,0.5531
ADIRF,5640,3119,2521,0.553
PECAM1,36564,20152,16412,0.5511
DCC,26330,14473,11857,0.5497
TYROBP,8538,4690,3848,0.5493
HTR2C,15367,8436,6931,0.549
SLC2A1,82959,45442,37517,0.5478
ZP3,6114,3347,2767,0.5474
ALOX5AP,9073,4967,4106,0.5474
CXCR4,8779,4781,3998,0.5446
LAPTM5,31782,17286,14496,0.5439
CORT,15560,8459,7101,0.5436
LZTS3,65377,35513,29864,0.5432
MT2A,34515,18690,15825,0.5415
SSBP1,91344,49447,41897,0.5413
CABP1,267469,144727,122742,0.5411
MRPL27,25455,13730,11725,0.5394
CXCL14,83449,44905,38544,0.5381
ERBB4,71306,38306,33000,0.5372
CD74,68238,36488,31750,0.5347
A2M,131191,70092,61099,0.5343
APOLD1,38609,20617,17992,0.534
OLFML3,12369,6604,5765,0.5339
MEPE,14743,7849,6894,0.5324
GPR34,14949,7958,6991,0.5323
SMAD1,21380,11336,10044,0.5302
CTIF,56962,30170,26792,0.5297
SESN1,66911,35265,31646,0.527
CUX2,33797,17777,16020,0.526
BAIAP3,84628,44435,40193,0.5251
CHI3L1,11202,5879,5323,0.5248
MEIS2,25320,13284,12036,0.5246
KRT17,9601,5037,4564,0.5246
MYL6,67031,35117,31914,0.5239
GAD1,115587,60466,55121,0.5231
HLA-E,109957,57398,52559,0.522
CD68,20626,10766,9860,0.522
MT1X,5239,2734,2505,0.5219
LINC02714,6657,3470,3187,0.5213
CFAP36,162971,84869,78102,0.5208
DDIT4,44548,23197,21351,0.5207
CRHBP,18539,9637,8902,0.5198
PAQR6,39907,20697,19210,0.5186
TNFSF10,16884,8753,8131,0.5184
HMGB2,37631,19504,18127,0.5183
GAD2,73113,37816,35297,0.5172
FSTL4,25774,13327,12447,0.5171
PLAAT3,88199,45605,42594,0.5171
CNP,314934,162794,152140,0.5169
HLA-B,166195,85864,80331,0.5166
ZNF483,252658,130502,122156,0.5165
SPRY2,103915,53568,50347,0.5155
KLK6,3301,1701,1600,0.5153
TRABD2A,7301,3754,3547,0.5142
RERGL,22518,11575,10943,0.514
TAGLN,34185,17563,16622,0.5138
RANBP1,50585,25914,24671,0.5123
ZNF804A,15174,7758,7416,0.5113
ITM2A,91303,46563,44740,0.51
DBNDD2,156035,79480,76555,0.5094
ADCYAP1,30068,15301,14767,0.5089
NOS1,13548,6844,6704,0.5052
NRG1,28713,14506,14207,0.5052
SLC39A8,24426,12340,12086,0.5052
NPTX2,67575,34096,33479,0.5046
FURIN,14124,7122,7002,0.5042
DACH1,11065,5556,5509,0.5021
