celltype,level,subclass,panel,topN,n_in_panel,genes_in_panel
Astrocyte,subclass,Astrocyte,Xenium_v1,10,0,
Astrocyte,subclass,Astrocyte,Xenium_v1,20,0,
Astrocyte,subclass,Astrocyte,Xenium_v1,50,3,FGFR3; APOE; PTPRZ1
Astrocyte,subclass,Astrocyte,MERFISH_180,10,1,GPC5
Astrocyte,subclass,Astrocyte,MERFISH_180,20,2,GPC5; NFIA
Astrocyte,subclass,Astrocyte,MERFISH_180,50,3,GPC5; NFIA; FBXL7
Astrocyte,subclass,Astrocyte,MERSCOPE_250,10,2,GPC5; LINC00299
Astrocyte,subclass,Astrocyte,MERSCOPE_250,20,3,GPC5; LINC00299; NFIA
Astrocyte,subclass,Astrocyte,MERSCOPE_250,50,6,GPC5; LINC00299; NFIA; GLIS3; FBXL7; ITPR2
Astrocyte,subclass,Astrocyte,MERSCOPE_4K,10,5,ADGRV1; SLC1A2; DTNA; GPC5; LINC00299
Astrocyte,subclass,Astrocyte,MERSCOPE_4K,20,8,ADGRV1; SLC1A2; DTNA; GPC5; LINC00299; CDH20; PITPNC1; NFIA
Astrocyte,subclass,Astrocyte,MERSCOPE_4K,50,17,ADGRV1; SLC1A2; DTNA; GPC5; LINC00299; CDH20; PITPNC1; NFIA; GLIS3; NHSL1; FBXL7; PREX2; MACF1; MAML2; TRPS1; PTPRZ1; ITPR2
Astrocyte,subclass,Astrocyte,Xenium_5K,10,4,SLC1A2; SLC1A3; DTNA; MSI2
Astrocyte,subclass,Astrocyte,Xenium_5K,20,4,SLC1A2; SLC1A3; DTNA; MSI2
Astrocyte,subclass,Astrocyte,Xenium_5K,50,12,SLC1A2; SLC1A3; DTNA; MSI2; BMPR1B; FGFR3; CTNND2; GRAMD2B; PARD3; MAML2; TRPS1; PTPRZ1
Chandelier,subclass,Chandelier,Xenium_v1,10,1,SDK1
Chandelier,subclass,Chandelier,Xenium_v1,20,2,SDK1; ALK
Chandelier,subclass,Chandelier,Xenium_v1,50,9,SDK1; ALK; UNC5B; MYO16; TENM1; TMEM132C; CNTNAP3B; NPNT; ANK1
Chandelier,subclass,Chandelier,MERFISH_180,10,2,CNTN5; ZNF385D
Chandelier,subclass,Chandelier,MERFISH_180,20,4,CNTN5; ZNF385D; TMEM132D; LRRC4C
Chandelier,subclass,Chandelier,MERFISH_180,50,8,CNTN5; ZNF385D; TMEM132D; LRRC4C; UNC5B; ANK1; TOX; HPSE2
Chandelier,subclass,Chandelier,MERSCOPE_250,10,6,ZNF385D; SLC9A9; SDK1; CALN1; DPP10; THSD7A
Chandelier,subclass,Chandelier,MERSCOPE_250,20,9,ZNF385D; SLC9A9; SDK1; CALN1; DPP10; THSD7A; SGCD; TMEM132D; PLCXD3
Chandelier,subclass,Chandelier,MERSCOPE_250,50,13,ZNF385D; SLC9A9; SDK1; CALN1; DPP10; THSD7A; SGCD; TMEM132D; PLCXD3; GULP1; TENM1; TOX; HPSE2
Chandelier,subclass,Chandelier,MERSCOPE_4K,10,9,RORA; CA8; ZNF385D; TRPS1; SLC9A9; SDK1; CALN1; DPP10; THSD7A
Chandelier,subclass,Chandelier,MERSCOPE_4K,20,12,RORA; CA8; ZNF385D; TRPS1; SLC9A9; SDK1; CALN1; DPP10; THSD7A; SGCD; TMEM132D; PLCXD3
Chandelier,subclass,Chandelier,MERSCOPE_4K,50,26,RORA; CA8; ZNF385D; TRPS1; SLC9A9; SDK1; CALN1; DPP10; THSD7A; SGCD; TMEM132D; PLCXD3; UNC5B; GULP1; TENM1; SRGAP1; TMEM132C; TMTC1; CNTNAP3B; NPNT; TOX; TENM4; NACC2; HPSE2; ZNF536; DLGAP2
Chandelier,subclass,Chandelier,Xenium_5K,10,1,TRPS1
Chandelier,subclass,Chandelier,Xenium_5K,20,4,TRPS1; ALK; TAFA4; RASSF8
Chandelier,subclass,Chandelier,Xenium_5K,50,15,TRPS1; ALK; TAFA4; RASSF8; DOK5; NPNT; ANK1; TOX; NACC2; TIAM1; HPSE2; GABRD; PLEKHH2; EDIL3; GRIA1
Endothelial,subclass,Endothelial,Xenium_v1,10,2,THSD4; FLT1
Endothelial,subclass,Endothelial,Xenium_v1,20,2,THSD4; FLT1
Endothelial,subclass,Endothelial,Xenium_v1,50,2,THSD4; FLT1
Endothelial,subclass,Endothelial,MERFISH_180,10,0,
Endothelial,subclass,Endothelial,MERFISH_180,20,0,
Endothelial,subclass,Endothelial,MERFISH_180,50,1,EBF1
Endothelial,subclass,Endothelial,MERSCOPE_250,10,1,COBLL1
Endothelial,subclass,Endothelial,MERSCOPE_250,20,2,COBLL1; PTPRB
Endothelial,subclass,Endothelial,MERSCOPE_250,50,4,COBLL1; PTPRB; SPTBN1; ERG
Endothelial,subclass,Endothelial,MERSCOPE_4K,10,7,ATP10A; THSD4; FLT1; SLC7A1; A2M; COBLL1; SLC7A5
Endothelial,subclass,Endothelial,MERSCOPE_4K,20,9,ATP10A; THSD4; FLT1; SLC7A1; A2M; COBLL1; SLC7A5; B2M; PTPRB
Endothelial,subclass,Endothelial,MERSCOPE_4K,50,19,ATP10A; THSD4; FLT1; SLC7A1; A2M; COBLL1; SLC7A5; B2M; PTPRB; UTRN; SPTBN1; BTNL9; PPFIBP1; ANO2; SGMS1; HLA-E; SYNE2; ERG; LINC00472
Endothelial,subclass,Endothelial,Xenium_5K,10,3,ABCB1; COBLL1; SLC7A5
Endothelial,subclass,Endothelial,Xenium_5K,20,9,ABCB1; COBLL1; SLC7A5; PTPRG; EPAS1; DOCK9; ABCG2; PRKCH; CLDN5
Endothelial,subclass,Endothelial,Xenium_5K,50,21,ABCB1; COBLL1; SLC7A5; PTPRG; EPAS1; DOCK9; ABCG2; PRKCH; CLDN5; MECOM; UTRN; SPTBN1; FLI1; IGF1R; ST6GAL1; ITGA6; EGFL7; EBF1; LEF1; ITM2A; ERG
L2/3 IT,subclass,L2/3 IT,Xenium_v1,10,2,TESPA1; CUX2
L2/3 IT,subclass,L2/3 IT,Xenium_v1,20,2,TESPA1; CUX2
L2/3 IT,subclass,L2/3 IT,Xenium_v1,50,2,TESPA1; CUX2
L2/3 IT,subclass,L2/3 IT,MERFISH_180,10,3,TAFA1; RFX3; CUX2
L2/3 IT,subclass,L2/3 IT,MERFISH_180,20,5,TAFA1; RFX3; CUX2; HS6ST3; CA10
L2/3 IT,subclass,L2/3 IT,MERFISH_180,50,9,TAFA1; RFX3; CUX2; HS6ST3; CA10; KCNIP4; CBLN2; ATRNL1; SATB2
L2/3 IT,subclass,L2/3 IT,MERSCOPE_250,10,3,TESPA1; RFX3; CUX2
L2/3 IT,subclass,L2/3 IT,MERSCOPE_250,20,4,TESPA1; RFX3; CUX2; CA10
L2/3 IT,subclass,L2/3 IT,MERSCOPE_250,50,7,TESPA1; RFX3; CUX2; CA10; KCNIP4; PTK2B; MEG3
L2/3 IT,subclass,L2/3 IT,MERSCOPE_4K,10,4,TESPA1; DGKB; RFX3; CUX2
L2/3 IT,subclass,L2/3 IT,MERSCOPE_4K,20,9,TESPA1; DGKB; RFX3; CUX2; MLIP; HS6ST3; HOPX; CA10; NECAB1
L2/3 IT,subclass,L2/3 IT,MERSCOPE_4K,50,20,TESPA1; DGKB; RFX3; CUX2; MLIP; HS6ST3; HOPX; CA10; NECAB1; KCNIP4; KIAA1211L; STXBP5L; LY86-AS1; PTK2B; ATRNL1; NLK; DLGAP2; CABP1; MEG3; EPHA4
L2/3 IT,subclass,L2/3 IT,Xenium_5K,10,2,R3HDM1; CUX2
L2/3 IT,subclass,L2/3 IT,Xenium_5K,20,4,R3HDM1; CUX2; HOPX; CA10
L2/3 IT,subclass,L2/3 IT,Xenium_5K,50,12,R3HDM1; CUX2; HOPX; CA10; CAMK2A; PTK2B; NECTIN3; SATB2; MEG3; MRTFB; RAPGEF5; EPHA4
L4 IT,subclass,L4 IT,Xenium_v1,10,4,RORB; POU6F2; TSHZ2; FSTL4
L4 IT,subclass,L4 IT,Xenium_v1,20,4,RORB; POU6F2; TSHZ2; FSTL4
L4 IT,subclass,L4 IT,Xenium_v1,50,9,RORB; POU6F2; TSHZ2; FSTL4; ANO3; OTOGL; BRINP3; LRRK1; SLC17A7
L4 IT,subclass,L4 IT,MERFISH_180,10,3,RORB; TSHZ2; FOXP2
L4 IT,subclass,L4 IT,MERFISH_180,20,4,RORB; TSHZ2; FOXP2; SATB2
L4 IT,subclass,L4 IT,MERFISH_180,50,6,RORB; TSHZ2; FOXP2; SATB2; GRM7; LRRK1
