group,rank,gene,wilcoxon_score,logfoldchange,pval_adj,round,marker_type,detection_efficiency,eff_source,frac_snrna_in_group,predicted_spatial_detection,composite_score,spatially_validated,best_spatial_r
L6b,1,ZFHX3,57.704139709472656,4.065727233886719,0.0,1,subclass_vs_all,0.4319457639579571,calibrated,0.999198717948718,0.43159965357017027,24.905086708173105,False,
L6b,2,HS3ST4,56.86726379394531,4.362026691436768,0.0,1,subclass_vs_all,0.3400344747887955,calibrated,1.0,0.3400344747887955,19.336830176850082,False,
L6b,3,LMO3,55.63984680175781,3.0617258548736572,0.0,1,subclass_vs_all,0.2860112608401351,calibrated,0.999198717948718,0.28578208515035936,15.900871436452901,False,
L6b,4,TLE4,55.474239349365234,3.659961462020874,0.0,1,subclass_vs_all,0.3112812180098561,calibrated,1.0,0.3112812180098561,17.268088792840697,False,
L6b,5,ARPP21,54.74179458618164,2.7858457565307617,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,24.729302810872284,False,
L6b,6,CELF2,54.563934326171875,2.0144200325012207,0.0,1,subclass_vs_all,0.3493646455866033,calibrated,1.0,0.3493646455866033,19.062709577673736,False,
L6b,7,LINC02232,54.36763381958008,4.206873416900635,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9927884615384616,0.44848669427293486,24.383160367184885,False,
L6b,8,FRMPD4,53.35884094238281,2.0831449031829834,0.0,1,subclass_vs_all,0.2089291176923746,calibrated,1.0,0.2089291176923746,16.72232333876969,True,0.859965816419863
L6b,9,PCSK5,53.274112701416016,3.4658021926879883,0.0,1,subclass_vs_all,0.1227072503132635,calibrated,0.9911858974358975,0.1216256960236434,6.479501037351744,False,
L6b,10,CDH10,53.180660247802734,2.366748809814453,0.0,1,subclass_vs_all,0.2985449298525992,calibrated,1.0,0.2985449298525992,15.876816483195176,False,
L6b,11,MDGA2,52.38258361816406,1.6655956506729126,0.0,1,subclass_vs_all,0.1151641052177068,calibrated,1.0,0.1151641052177068,6.032593371377571,False,
L6b,12,ARSJ,52.30341720581055,4.232736110687256,0.0,1,subclass_vs_all,0.2634069483960347,calibrated,0.9342948717948718,0.24609976108155163,12.871858478098693,False,
L6b,13,PDZRN4,52.18056106567383,3.627812623977661,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9983974358974359,0.45102051740442034,23.53450365029316,False,
L6b,14,ZFPM2,52.066532135009766,2.91131854057312,0.0,1,subclass_vs_all,0.226691004462347,calibrated,0.9983974358974359,0.22632771759622144,11.78409938126708,False,
L6b,15,DPP4,51.68611145019531,5.0940985679626465,0.0,1,subclass_vs_all,0.3851596282862475,calibrated,0.8886217948717948,0.3422612401998786,17.690152606052994,False,
L6b,16,AL136456.1,51.652976989746094,3.9916462898254395,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9511217948717948,0.4296640081533282,22.19342512646594,False,
L6b,17,PTPRD,51.62038040161133,2.2281479835510254,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,23.319221224181366,False,
L6b,18,CAMK2D,51.23090362548828,2.1628317832946777,0.0,1,subclass_vs_all,0.140935268556198,calibrated,0.999198717948718,0.14082233965511132,7.214455711186784,False,
L6b,19,KIAA1217,50.99814224243164,3.1314940452575684,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,34.55719286804433,True,0.8938940447194108
L6b,20,DIRAS2,50.553321838378906,2.7708346843719482,0.0,1,subclass_vs_all,0.5671199508977107,calibrated,0.9879807692307693,0.5603036053340363,42.487812731483366,True,0.8824407508206675
L6b,21,NFIA,50.405433654785156,3.2801566123962402,0.0,1,subclass_vs_all,0.43581143550428,calibrated,0.9983974358974359,0.4351130197422539,32.898090673427106,True,0.7397094630451333
L6b,22,LINC01122,50.3497314453125,2.3897063732147217,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9983974358974359,0.45102051740442034,22.708761927638456,False,
