gene,is_blank,n_cells_detected,frac_detected,mean_counts_all,mean_counts_detected,median_counts_detected,total_counts,in_5k,in_v1
CD22,False,803145,0.42545566657078426,3.0380472776298357,7.140690596782514,5.0,5735009.949352892,True,False
MEIS2,False,958156,0.5075707371132191,1.2918317930606673,2.5451266170463063,2.0,2438628.3388826204,True,True
TLL1,False,145026,0.07682564605406814,0.09947790516850354,1.294852829463917,1.0,187787.326445834,False,False
SV2C,False,262764,0.13919582736716976,0.35855494835471596,2.575902993190466,1.0,676854.5741026996,True,False
KIAA1217,False,684276,0.36248635264913553,1.1424250727042393,3.151636094311215,1.7074057831633551,2156588.940070901,False,False
CNTN5,False,582272,0.3084510541502514,0.8524177952796516,2.7635431418056533,1.48230562111985,1609133.7922654613,False,False
ADAMTS3,False,274554,0.1454414272387615,0.33544918663767886,2.3064211690318075,1.0,633237.1576423589,False,True
LRRC4C,False,813258,0.43081289740211653,1.2092149450456382,2.8068215978152784,2.0,2282670.1189960577,False,False
TACR1,False,772980,0.4094761483242563,1.7525929738839763,4.280085619287724,2.0,3308420.581997025,True,True
CALB1,False,224928,0.11915269617619902,0.19658652902645637,1.6498705890444207,1.0,371102.09185258346,True,False
GALNTL6,False,265713,0.14075802194064932,0.23022970370862503,1.635641795291081,1.0,434611.288352179,False,False
DCC,False,588735,0.3118747447329569,0.8613249040867511,2.7617654799982647,1.33812856573471,1625947.9998667785,False,False
NPAS3,False,842240,0.44616573671326765,0.9397198429386554,2.106212480279665,1.0,1773936.399390745,False,False
ZNF804A,False,234648,0.12430174034514488,0.20461369810443858,1.64610485369146,1.0,386255.2117089937,True,False
NTNG2,False,1082517,0.5734493669377331,1.853141350700722,3.231569267565242,2.0,3498228.668816923,True,True
NOS1,False,418470,0.22167906516242533,0.44345304796742147,2.0004281759421048,1.0,837119.1787864926,True,False
ETNPPL,False,946875,0.5015947734023263,2.4622820294241694,4.908906870624802,2.0,4648121.193122858,False,False
ATRNL1,False,1085954,0.5752700731937688,3.7873666066338423,6.583632250513646,3.0,7149521.776974296,False,False
GRM8,False,199328,0.10559142758309058,0.13923908220447542,1.31865896116337,1.0,262845.6534107722,False,False
ZMAT4,False,541383,0.28679063573214164,0.8903646141694715,3.1045804961395578,2.0,1680767.1027415222,False,False
NKAIN2,False,1014141,0.5372280661048275,1.6709938524295431,3.1103993961914265,2.0,3154383.554052969,False,False
GRIN2A,False,1124841,0.5958699580289332,4.171236503356511,7.000246357702718,3.0,7874164.113244683,False,False
PAX6,False,499851,0.2647895963880409,0.745364062460981,2.8149295615401493,1.0,1407045.3562654052,True,True
LRP1B,False,679534,0.35997433953708396,0.9862970844591062,2.7399094216755953,2.0,1861861.608948904,False,False
TOX,False,652941,0.34588704204893816,1.0714055102096836,3.097558971457782,2.0,2022523.2523826156,True,False
ASIC2,False,598171,0.316873343578448,0.8468391980090354,2.6724848118989355,2.0,1598602.9124183983,False,False
HTR2C,False,144044,0.07630544426662937,0.2447298564060351,3.2072397816188682,1.0,461983.64710350824,True,True
ROBO2,False,511011,0.27070146191534905,0.8200510839544699,3.0293559486239774,1.90986305985982,1548034.2126622875,False,False
PDZD2,False,421652,0.22336468846958435,0.4887822297967905,2.188269923709755,1.0,922688.3898720655,False,False
PEX5L,False,1319617,0.6990500225403117,3.9495711701511143,5.64991208468684,3.0,7455720.035458193,False,False
TNR,False,1126090,0.5965315996099017,4.318869620184557,7.23996787933591,3.0,8152855.429241374,True,False
CACNA2D3,False,824688,0.4368677919341177,1.9737522969336792,4.517962489739535,2.0,3725909.449738317,False,False
VIP,False,125316,0.06638452871148348,0.11249636345051592,1.6946171891863684,1.0,212362.64768007895,True,True
DCLK1,False,988327,0.5235534337820736,3.899060194650074,7.4473013508551205,3.0,7360369.002186589,True,False
GRIP1,False,472288,0.2501884539571093,0.6506434592660274,2.60061345347923,1.94395839723984,1228238.5267167985,False,False
ITGA8,False,266890,0.14138152245369967,0.3164227129542024,2.238076853768682,1.0,597320.3315023235,False,True
CD74,False,1272135,0.673897047722422,7.269912030362172,10.787867456805726,3.0,13723623.767163552,False,False
PLD5,False,343527,0.1819789810931548,0.25919710134945667,1.4243243906106609,1.0,489293.88493330847,False,True
NLGN1,False,267410,0.14165698572199717,0.1865602692349264,1.3169860157906526,1.0,352175.2304825784,False,False
LAMP5,False,457769,0.24249720166401004,1.2272901916588883,5.061048883192268,1.90401856369302,2316791.2862100415,False,True
ASTN2,False,1023227,0.5420412569812723,1.6510153864155366,3.0459219942229967,2.0,3116669.6243828144,True,False
DLX1,False,446604,0.23658268745142974,0.5580251517960942,2.358689715665084,1.0,1053400.2617748892,False,False
KCNMB2,False,186603,0.09885052356561773,0.11509003241647305,1.1642834884943771,1.0,217258.79180351624,False,False
GRID2,False,612528,0.32447877846873147,0.7068411609109057,2.178389490513385,1.1472643556917248,1334324.557845183,False,False
FGF13,False,517961,0.2743831344435563,0.5750218800864444,2.095689595690995,1.0,1085485.4786737035,True,False
GRIK3,False,518309,0.2745674829384938,1.1648182251191053,4.24237499886335,2.0,2198861.1432858636,True,False
RGS6,False,608599,0.32239744158192196,1.2092375472671852,3.750766573499359,2.0,2282712.7858651364,False,False
RBFOX3,False,1124441,0.5956580632071659,5.246350977379324,8.80765543428005,4.0,9903688.884177294,False,False
SATB2,False,1309267,0.6935672440270823,3.222826348958961,4.646739558007611,2.0,6083822.76089395,True,False
CUX2,False,522434,0.2767526482879693,1.334637208428597,4.82249119090585,2.0,2519433.3628297066,True,True
PRRT4,False,287390,0.15224113206927478,0.27804651474835723,1.826356064022414,1.0,524876.4692394016,False,False
ANK1,False,404512,0.21428499535685472,0.6062293108432387,2.829079608834339,1.0,1144396.6507287961,True,True
SLC32A1,False,478344,0.25339654155866653,1.1519122335424279,4.545887747547401,1.0,2174498.128712814,False,False
BTBD11,False,241699,0.1280369163158483,0.3178689557873598,2.482635203453539,1.0,600050.446039517,False,True
GRIP2,False,485600,0.2572403136255257,0.8770270022374431,3.4093684223778546,1.0,1655589.3059066862,False,False
GAD2,False,235808,0.1249162353282701,0.4273869585179292,3.421388399952894,1.0,806790.7558160919,True,True
CBLN2,False,498250,0.26394148736391715,1.1193636285204118,4.240953704171015,2.0,2113055.1831032084,False,False
TAFA1,False,381464,0.20207561572662178,0.5356902638703684,2.6509396591178893,1.11494495168016,1011238.0461257467,False,False
KCNIP4,False,468386,0.2481214199707691,0.7059906946825121,2.8453436013935596,1.76787791523313,1332719.1080823238,False,False
CA10,False,557759,0.2954656097352957,0.9305857336819683,3.149556845264224,2.0,1756693.6764577283,True,False
CSMD1,False,863865,0.45762130051506333,2.4805318835788164,5.420490437807246,2.91988019289032,4682571.972056355,False,False
CNTNAP5,False,719102,0.3809349753063072,1.8107091045326444,4.753328578129813,2.734598516542955,3418128.0871903044,False,False
FRMPD4,False,567082,0.3004043482936375,0.896685277864465,2.98492775806287,2.0,1692698.8028978086,False,False
HS6ST3,False,568031,0.30090706875828044,0.9908585918598346,3.2929056666853986,2.0,1870472.4987529737,False,False
SORCS1,False,569629,0.3017535885712409,1.2370715873231655,4.099608535495862,2.0,2335255.910465972,True,True
TENM2,False,758770,0.4019485847809723,1.5271893129702927,3.7994643364709964,2.0,2882919.5545840976,False,False
CLSTN2,False,831124,0.4402771796163538,3.443545577152261,7.821312883290652,2.0,6500480.84881206,False,False
ROBO1,False,1012510,0.5363640649690713,1.2804236114604952,2.387228554422879,2.0,2417092.783638709,False,False
ZNF385D,False,348542,0.18463561242106255,0.4091029864932303,2.215731738470196,1.0,772275.5715898791,False,False
COL11A1,False,484191,0.2564939141158503,0.7846027365677,3.0589526432713696,1.92357948506145,1481117.3392982078,True,False
SLC24A2,False,1228327,0.6506903268424652,3.9307606205287517,6.040908337462353,3.0,7420210.81543012,False,False
PDE4B,False,1237240,0.6554118732084955,2.1415273574167664,3.267452795649183,2.0,4042623.296888995,True,False
RBFOX1,False,865193,0.4583247913233308,2.714283004658494,5.922182382544674,2.20087067304806,5123830.742100975,False,False
GRIN3A,False,324493,0.1718959659993569,0.5785204016838856,3.365526342171695,1.0,1092089.7393503198,False,False
