supertype,rank,gene,score,logfoldchange,pval_adj
Astro_1,1,AQP4,15.8348875,7.3333817,8.584994011336536e-53
Astro_1,2,DTNA,15.754977,2.8837686,1.1050965094165694e-52
Astro_1,3,SLC1A2,15.749671,6.3215933,1.1050965094165694e-52
Astro_1,4,SLC1A3,15.547612,7.0021124,1.982629155594292e-51
Astro_1,5,GLUD1,15.512556,4.1093183,2.7399630425607006e-51
Astro_1,6,GRAMD2B,15.371035,5.5531754,2.049228663952838e-50
Astro_1,7,MSI2,15.360598,3.4127645,2.0634053612116288e-50
Astro_1,8,BMPR1B,15.340419,6.1624956,2.464265642308088e-50
Astro_1,9,GLI3,15.040652,6.88528,2.1214790030994497e-48
Astro_1,10,CTNND2,14.999982,1.7542206,3.5265375429106374e-48
Astro_2,1,SLC1A2,38.413017,6.8636303,0.0
Astro_2,2,SLC1A3,38.320824,8.149827,0.0
Astro_2,3,DTNA,37.612186,2.757527,2.1751987166183388e-306
Astro_2,4,MSI2,37.27277,3.7097015,5.442262558420637e-301
Astro_2,5,FGFR3,36.089214,7.7849774,3.2159903479497406e-282
Astro_2,6,TRPS1,35.487213,3.564655,4.6465960468337395e-273
Astro_2,7,SOX5,35.46547,2.8662453,8.939047687054252e-273
Astro_2,8,HPSE2,35.306816,6.0175943,2.216344934968789e-270
Astro_2,9,PTPRZ1,35.142075,3.896154,6.706300706255808e-268
Astro_2,10,BMPR1B,35.105778,6.1613264,2.202017900032641e-267
Astro_3,1,SLC1A2,25.625122,4.841389,3.77684215947284e-141
Astro_3,2,CTNND2,25.598804,1.9756039,3.77684215947284e-141
Astro_3,3,MSI2,25.349436,3.36802,1.459170541186611e-138
Astro_3,4,SLC1A3,24.859955,6.1046467,2.4228675351259413e-133
Astro_3,5,AQP4,24.684223,7.590929,1.2644684009018383e-131
Astro_3,6,GRAMD2B,24.613983,5.7759676,6.139055199600455e-131
Astro_3,7,KCNN3,24.507923,5.0806193,6.488583114587153e-130
Astro_3,8,DTNA,24.281145,2.4236488,1.4893191883155168e-127
Astro_3,9,TNC,23.988255,9.0086775,1.6098902395278363e-124
Astro_3,10,RFX4,23.708647,4.7574124,1.175054486442706e-121
Astro_4,1,DTNA,12.100876,2.8864167,5.0176383326454184e-30
Astro_4,2,MSI2,11.904453,3.6507246,2.693830335398145e-29
Astro_4,3,SLC1A3,11.747979,5.8723545,1.1577342919674845e-28
Astro_4,4,GRAMD2B,11.337037,5.513063,5.900076262270491e-27
Astro_4,5,PARD3,11.222053,3.490244,1.9076405831434767e-26
Astro_4,6,MAML2,11.20638,4.6372247,2.0242909478168962e-26
Astro_4,7,SLC1A2,11.06132,3.908334,8.406070842084295e-26
Astro_4,8,FGFR3,11.053827,6.8126287,8.406070842084295e-26
Astro_4,9,TRPS1,11.046102,3.2408767,8.4567632998079e-26
Astro_4,10,FMN2,11.016352,1.9148663,1.0931950488009926e-25
Astro_5,1,DTNA,15.8627205,3.0380661,5.513231758029471e-53
Astro_5,2,SLC1A2,15.752295,5.827859,1.59026876136606e-52
Astro_5,3,MSI2,15.439056,3.705901,1.4309803769667914e-50
Astro_5,4,SLC1A3,15.230774,6.401028,2.65261487138859e-49
Astro_5,5,AQP4,14.94675,7.088685,1.3088520184655615e-47
Astro_5,6,MAML2,14.702145,4.7206807,3.7485554198726364e-46
Astro_5,7,ZHX3,14.668215,2.6116903,5.208653246518099e-46
Astro_5,8,GRAMD2B,14.664717,5.4928365,5.208653246518099e-46
Astro_5,9,PTPRZ1,14.545149,3.8509574,2.5088154741944144e-45
Astro_5,10,FGFR3,14.117149,6.529793,8.937540751561634e-43
Chandelier_1,1,TRPS1,35.67344,3.7224522,4.901865327687496e-275
Chandelier_1,2,ALK,32.81193,3.524752,9.554468567121072e-233
Chandelier_1,3,TAFA4,32.19009,4.4499497,3.8878860418487624e-224
Chandelier_1,4,RASSF8,30.907444,3.2184963,9.111897179501315e-207
Chandelier_1,5,ANK1,30.596394,2.793397,1.0939729601690687e-202
Chandelier_1,6,ZNF804A,30.321133,3.0972123,3.6237380241623433e-199
Chandelier_1,7,NACC2,30.30633,3.8507056,5.047916738006349e-199
Chandelier_1,8,NPNT,30.139614,5.0900407,7.04668392423317e-197
Chandelier_1,9,GABRG3,29.942291,1.9147326,2.420142854114376e-194
Chandelier_1,10,FGF13,29.861374,2.9231687,2.5005990662270807e-193
Chandelier_2,1,ALK,24.156137,3.995034,3.09064230746455e-125
Chandelier_2,2,TRPS1,23.842562,3.4558141,2.90410796484716e-122
Chandelier_2,3,DOK5,22.829767,3.2441075,3.71651926379139e-112
Chandelier_2,4,COBLL1,22.46567,3.843061,1.0798053464774063e-108
Chandelier_2,5,TAFA4,22.25101,4.141697,1.0591220273133272e-106
Chandelier_2,6,PLEKHH2,21.997759,5.35435,2.421473871606231e-104
Chandelier_2,7,RASSF8,21.831375,3.3978753,8.016013459574193e-103
Chandelier_2,8,CDH6,21.513092,3.4029577,7.047542529527594e-100
Chandelier_2,9,ADAM12,21.284517,3.9222264,8.428309503938115e-98
