gene,round,marker_for,reason,wilcoxon_score,logfoldchange,detection_efficiency,frac_snrna_in_group,predicted_spatial_detection,composite_score,spatially_validated,best_spatial_r
SST,0,cardinal,cardinal_marker,0.0,0.0,0.4517444668705591,0.0,0.0,0.0,True,0.9563471379934811
PVALB,0,cardinal,cardinal_marker,0.0,0.0,0.4517444668705591,0.0,0.0,0.0,True,0.8758914963053779
LAMP5,0,cardinal,cardinal_marker,0.0,0.0,1.05426087945445,0.0,0.0,0.0,True,0.9437731600870068
SNCG,0,cardinal,cardinal_marker,0.0,0.0,0.4517444668705591,0.0,0.0,0.0,False,
TLE4,0,cardinal,cardinal_marker,0.0,0.0,0.3112812180098561,0.0,0.0,0.0,False,
MBP,0,cardinal,cardinal_marker,0.0,0.0,0.4871823693888008,0.0,0.0,0.0,False,0.624189232041289
FLT1,0,cardinal,cardinal_marker,0.0,0.0,1.8415515160319669,0.0,0.0,0.0,True,0.9797751801156336
RBFOX3,0,cardinal,cardinal_marker,0.0,0.0,0.345365110144427,0.0,0.0,0.0,True,0.8216218778395012
SYT1,0,cardinal,cardinal_marker,0.0,0.0,0.4517444668705591,0.0,0.0,0.0,False,
NPY,0,cardinal,cardinal_marker,0.0,0.0,0.4517444668705591,0.0,0.0,0.0,True,0.9992968344732558
STXBP6,1,Sst,subclass_marker,113.36370086669922,3.490391254425049,0.5479474110713445,0.9744568408690546,0.5339511031549595,90.79600970325433,True,0.7882730113461602
KIAA1217,1,Sst,subclass_marker,108.2804946899414,3.2751784324645996,0.4517444668705591,0.9998532002348797,0.4516781508889281,73.3619004283367,True,0.8938940447194108
GRIK1,1,Sst,subclass_marker,122.71932983398438,4.790204048156738,0.4517444668705591,0.9963300058719906,0.4500865673297834,55.234321909989504,False,
XKR4,1,Sst,subclass_marker,112.96343231201172,2.1473894119262695,0.4517444668705591,1.0,0.4517444668705591,51.03060550565822,False,
SPOCK3,1,Sst,subclass_marker,111.48189544677734,3.1136724948883057,0.4517444668705591,0.9998532002348797,0.4516781508889281,50.353936392993205,False,
NXPH1,1,Sst,subclass_marker,102.92838287353516,4.152428150177002,0.4517444668705591,0.9997064004697592,0.451611834907297,46.48367585355802,False,
WLS,1,Sst,subclass_marker,107.20103454589844,3.034424304962158,0.4517444668705591,0.9552260716382853,0.4315180924730957,46.259185938388526,False,
SYNPR,1,Sst,subclass_marker,99.34628295898438,2.9032480716705322,0.4517444668705591,0.9969172049324722,0.4503518312563075,44.74078045908591,False,
LHX6,1,Sst,subclass_marker,76.86270904541016,2.961684465408325,0.5424351107426177,0.7017028772753964,0.3806282779432931,43.88418087301627,True,0.9042693147572316
DIRAS2,1,L6b,subclass_marker,50.553321838378906,2.7708346843719482,0.5671199508977107,0.9879807692307693,0.5603036053340363,42.487812731483366,True,0.8824407508206675
SCUBE1,2,L6b_1,supertype_marker,14.255620002746582,3.2492458820343018,1.6090306382692046,0.8428571428571429,1.0,21.383430004119873,True,0.9358316939151816
VCAN,2,L6b_1,supertype_marker,18.23706817626953,4.199768543243408,0.9448111801574204,1.0,0.9448111801574204,17.23058590623255,False,
CSMD1,2,Sst_5,supertype_marker,30.46461296081543,1.4121184349060059,0.4517444668705591,1.0,0.4517444668705591,20.643330510602237,True,0.9557452650945052
DCC,2,Sst_12,supertype_marker,29.756778717041016,3.1708154678344727,0.4517444668705591,0.978,0.4418060885994068,19.72008902144095,True,0.878023230964498
KIRREL3,2,Sst_23,supertype_marker,28.94721221923828,3.611365795135498,0.4517444668705591,1.0,0.4517444668705591,19.615114427053097,True,0.8763818993538968
KCNMB2,2,L6b_6,supertype_marker,27.994935989379883,4.357071399688721,0.4517444668705591,0.992,0.4481305111355946,18.81807746119359,True,0.8321059633922201
CNTN5,2,Sst_10,supertype_marker,27.438180923461914,2.80214786529541,0.4517444668705591,0.996,0.44993748900307684,18.518199341271867,True,0.8820942545286589
RGS6,2,Sst_13,supertype_marker,25.70147705078125,1.9508377313613892,0.4517444668705591,0.994,0.44903400006933575,17.311255571703807,True,0.9474842924914936
CBLN2,2,Sst_5,supertype_marker,27.765644073486328,3.29718017578125,0.4517444668705591,0.89,0.40205257551479756,16.74487306585853,True,0.8999023300716542
ZNF536,2,Sst_2,supertype_marker,25.80093765258789,3.0816805362701416,0.6101904596754579,0.9863760217983651,0.601877238153994,15.528997096122993,False,
GPC5,2,Sst_1,supertype_marker,25.741085052490234,5.463730335235596,0.4016437551072325,0.9657794676806084,0.38789929200470363,14.977423000940732,True,0.9121630916838824
PREX2,2,Sst_10,supertype_marker,26.214210510253906,3.3560712337493896,0.6773153011075417,0.826,0.5594624387148294,14.665866141050563,False,
KCTD8,2,Sst_12,supertype_marker,32.269412994384766,2.728271722793579,0.4517444668705591,0.994,0.44903400006933575,14.490063596757993,False,
ITPR2,2,L6b_6,supertype_marker,27.343727111816406,3.1924538612365723,0.5252796817998449,1.0,0.5252796817998449,14.363104276516713,False,
THSD7B,2,Sst_5,supertype_marker,31.866411209106445,4.607240200042725,0.4517444668705591,0.976,0.44090259966566564,14.04998354411014,False,
SH3GL3,2,Sst_5,supertype_marker,30.96975326538086,1.5673736333847046,0.4517444668705591,0.998,0.450840977936818,13.962433848626269,False,
ZBTB20,2,Sst_25,supertype_marker,30.799009323120117,3.216484785079956,0.4517444668705591,1.0,0.4517444668705591,13.913282046814276,False,
RIPOR2,2,Sst_12,supertype_marker,20.997093200683594,1.2857969999313354,0.4517444668705591,0.97,0.4381921328644423,13.801141580341536,True,0.9156584905070152
TAFA2,2,Sst_4,supertype_marker,30.582246780395508,2.652963876724243,0.4517444668705591,0.9979035639412998,0.4507974134808933,13.786397747036672,False,
TMTC2,2,Sst_12,supertype_marker,30.32683753967285,1.8827431201934814,0.4517444668705591,1.0,0.4517444668705591,13.69998105622957,False,
RYR3,2,Sst_10,supertype_marker,23.995838165283203,2.6685516834259033,0.4517444668705591,0.842,0.38036884110501074,13.69090373140824,True,0.8872768736063075
LRP1B,2,Sst_20,supertype_marker,24.734094619750977,1.5394526720046997,0.3655914028136188,1.0,0.3655914028136188,13.563858524039311,True,0.8535728797846398
RALYL,2,Sst_12,supertype_marker,30.066608428955078,1.972415566444397,0.4517444668705591,0.998,0.450840977936818,13.555259147353482,False,
ANO4,2,Sst_5,supertype_marker,29.772714614868164,1.9298336505889893,0.4517444668705591,0.998,0.450840977936818,13.422759772800957,False,
CDH12,2,Sst_25,supertype_marker,29.17571258544922,2.975329637527466,0.4517444668705591,1.0,0.4517444668705591,13.179966727482418,False,
CTNNA2,2,Sst_19,supertype_marker,28.951236724853516,1.5265837907791138,0.4517444668705591,1.0,0.4517444668705591,13.078560999512302,False,
FRY,2,Sst_5,supertype_marker,29.105939865112305,1.8655258417129517,0.4517444668705591,0.994,0.44903400006933575,13.069556603408921,False,
CDH18,2,Sst_25,supertype_marker,28.98415756225586,1.902660608291626,0.4517444668705591,0.998,0.450840977936818,13.06724594004225,False,
FSTL5,2,Sst_23,supertype_marker,28.882863998413086,1.9676748514175415,0.4517444668705591,1.0,0.4517444668705591,13.047673998657984,False,
WIF1,2,Sst_1,supertype_marker,18.775209426879883,2.9718210697174072,0.8395713355931463,0.8250950570342205,0.6927261590255237,13.006078711182305,False,
NTRK3,2,Sst_23,supertype_marker,28.898488998413086,2.448788642883301,0.4517444668705591,0.9803063457330415,0.4428479675229988,12.797637117432977,False,
SPHKAP,2,Sst_9,supertype_marker,29.3983211517334,3.2935450077056885,0.4517444668705591,0.956,0.43186771032825444,12.696185643293795,False,
DOCK10,2,Sst_25,supertype_marker,28.226253509521484,3.2665531635284424,0.5060350638677086,0.882,0.446322926331319,12.598024065739292,False,
LRRC4C,2,Sst_5,supertype_marker,28.832645416259766,3.3794851303100586,0.4517444668705591,0.966,0.43638515499696007,12.582138438946908,False,0.4937777880304443
LARGE1,2,Sst_25,supertype_marker,28.011417388916016,1.489859938621521,0.4517444668705591,0.994,0.44903400006933575,12.578078797756707,False,
LRRC8B,2,Sst_5,supertype_marker,28.191207885742188,1.6778337955474854,0.4517444668705591,0.986,0.44542004433437127,12.556929066306761,False,
CACNB2,2,Sst_10,supertype_marker,27.791749954223633,1.79975426197052,0.4517444668705591,0.998,0.450840977936818,12.5296597279377,False,
CRYM,2,L6b_2,supertype_marker,20.000444412231445,3.2506113052368164,0.4517444668705591,0.9224489795918367,0.4167112225010055,12.501614462376555,True,0.8974145640497841
DOCK4,2,Sst_10,supertype_marker,27.584449768066406,2.0510289669036865,0.4517444668705591,0.99,0.4472270222018535,12.336511328848948,False,
NKAIN2,2,Sst_11,supertype_marker,29.72075653076172,2.820627212524414,0.2707043254904834,1.0,0.2707043254904834,12.068306024590097,True,0.8868816762123743
TMEM132B,2,Sst_12,supertype_marker,26.693103790283203,1.3419290781021118,0.4517444668705591,0.996,0.44993748900307684,12.010228093098537,False,
FRMD4B,2,Sst_3,supertype_marker,19.26563262939453,1.589323878288269,0.7027764340880029,0.884,0.6212543677337946,11.968858418166063,False,
GRIN2A,2,Sst_25,supertype_marker,27.2368221282959,1.548000454902649,0.2929046201506039,1.0,0.2929046201506039,11.966686559397111,True,0.9241239590745278
BRINP3,2,Sst_5,supertype_marker,34.44907760620117,4.28904914855957,0.3467517720116403,1.0,0.3467517720116403,11.945278704116772,False,
NR2F2-AS1,2,Sst_9,supertype_marker,29.18901252746582,3.7275776863098145,0.4517444668705591,0.902,0.4074735091172443,11.893749362233702,False,
DGKG,2,Sst_25,supertype_marker,24.09367561340332,2.102800130844116,0.3306493099854246,0.966,0.31940723344592015,11.543541406830881,True,0.731904010193132
PALM2-AKAP2,2,Sst_10,supertype_marker,25.450979232788086,1.289873719215393,0.4517444668705591,0.996,0.44993748900307684,11.451349688670126,False,
CNTN4,2,Sst_3,supertype_marker,24.929716110229492,1.8551709651947021,0.4517444668705591,1.0,0.4517444668705591,11.26186131345001,False,
ADGRB3,2,Sst_19,supertype_marker,24.8585147857666,0.9628817439079285,0.4517444668705591,1.0,0.4517444668705591,11.229696509090044,False,
CDH9,2,Sst_4,supertype_marker,24.829072952270508,1.3027385473251343,0.4517444668705591,1.0,0.4517444668705591,11.216396323713658,False,
