supertype,gene,frac_snrna,mean_snrna,frac_merfish,mean_merfish,n_cells_snrna,n_cells_merfish
Astro_1,CD22,0.0,0.0,0.123,0.18631937592910705,86,1000
Astro_1,MEIS2,0.9302325581395349,4.034883720930233,0.853,3.322003926308531,86,1000
Astro_1,TLL1,0.0,0.0,0.061,0.06380019824951602,86,1000
Astro_1,SV2C,0.0,0.0,0.131,0.1469619868933223,86,1000
Astro_1,KIAA1217,0.08139534883720931,0.08139534883720931,0.235,0.29953275765748844,86,1000
Astro_1,CNTN5,0.11627906976744186,0.11627906976744186,0.232,0.3106990659575637,86,1000
Astro_1,ADAMTS3,0.046511627906976744,0.046511627906976744,0.084,0.09398897115141007,86,1000
Astro_1,LRRC4C,0.8488372093023255,3.1511627906976742,0.294,0.4080435735116045,86,1000
Astro_1,TACR1,0.023255813953488372,0.023255813953488372,0.459,2.361159174253713,86,1000
Astro_1,CALB1,0.023255813953488372,0.023255813953488372,0.084,0.09389628662699966,86,1000
Astro_1,GALNTL6,0.13953488372093023,0.1511627906976744,0.063,0.0644255986872183,86,1000
Astro_1,DCC,0.05813953488372093,0.05813953488372093,0.213,0.279934650733553,86,1000
Astro_1,NPAS3,1.0,38.75581395348837,0.868,3.3659981799246337,86,1000
Astro_1,ZNF804A,0.046511627906976744,0.05813953488372093,0.071,0.07980095706483663,86,1000
Astro_1,NTNG2,0.3023255813953488,0.37209302325581395,0.87,4.521183247822461,86,1000
Astro_1,NOS1,0.011627906976744186,0.011627906976744186,0.114,0.1267260273876899,86,1000
Astro_1,ETNPPL,0.9534883720930233,5.058139534883721,0.989,19.039720168294313,86,1000
Astro_1,ATRNL1,0.16279069767441862,0.22093023255813954,0.559,1.2072720754699637,86,1000
Astro_1,GRM8,0.046511627906976744,0.046511627906976744,0.069,0.0756659398958519,86,1000
Astro_1,ZMAT4,0.03488372093023256,0.03488372093023256,0.129,0.15106372658314546,86,1000
Astro_1,NKAIN2,0.5232558139534884,1.186046511627907,0.333,0.4808352401649818,86,1000
Astro_1,GRIN2A,0.06976744186046512,0.08139534883720931,0.459,0.859756331688819,86,1000
Astro_1,PAX6,0.4883720930232558,0.686046511627907,0.887,5.0786430687632675,86,1000
Astro_1,LRP1B,1.0,20.348837209302324,0.75,2.6175606619063565,86,1000
Astro_1,TOX,0.8023255813953488,2.627906976744186,0.698,1.6266124882961208,86,1000
Astro_1,ASIC2,0.03488372093023256,0.03488372093023256,0.123,0.14298901256630156,86,1000
Astro_1,HTR2C,0.023255813953488372,0.023255813953488372,0.078,0.08157484011277426,86,1000
Astro_1,ROBO2,0.26744186046511625,0.3488372093023256,0.129,0.15542573384269803,86,1000
Astro_1,PDZD2,0.13953488372093023,0.19767441860465115,0.093,0.10328033925524203,86,1000
Astro_1,PEX5L,0.3023255813953488,0.5697674418604651,0.38,0.6055733167484139,86,1000
Astro_1,TNR,0.06976744186046512,0.12790697674418605,0.541,1.1350829798805833,86,1000
Astro_1,CACNA2D3,0.6627906976744186,2.697674418604651,0.536,1.4080988392216436,86,1000
Astro_1,VIP,0.011627906976744186,0.011627906976744186,0.032,0.03214743260779438,86,1000
Astro_1,DCLK1,0.09302325581395349,0.11627906976744186,0.27,0.4791972818892956,86,1000
Astro_1,GRIP1,0.27906976744186046,0.5,0.178,0.21606872200323043,86,1000
Astro_1,ITGA8,0.0,0.0,0.065,0.07336494592039153,86,1000
Astro_1,CD74,0.011627906976744186,0.011627906976744186,0.607,2.568826703899524,86,1000
Astro_1,PLD5,0.16279069767441862,0.38372093023255816,0.154,0.18182613749531307,86,1000
Astro_1,NLGN1,0.16279069767441862,0.16279069767441862,0.083,0.09158178089834978,86,1000
Astro_1,LAMP5,0.046511627906976744,0.046511627906976744,0.21,0.3060009640922082,86,1000
Astro_1,ASTN2,0.8604651162790697,3.5697674418604652,0.816,3.1050650144556924,86,1000
Astro_1,DLX1,0.0,0.0,0.232,0.3073343195386416,86,1000
Astro_1,KCNMB2,0.2441860465116279,0.4186046511627907,0.084,0.09406463470689297,86,1000
Astro_1,GRID2,0.3488372093023256,2.0,0.131,0.14925356386226682,86,1000
Astro_1,FGF13,0.023255813953488372,0.023255813953488372,0.199,0.23470499933333716,86,1000
Astro_1,GRIK3,0.0,0.0,0.113,0.14374954640238388,86,1000
