supertype,subclass,top5_in_panel,top5_genes,top10_in_panel,top10_genes,top20_in_panel,top20_genes,median_depth_merfish,median_depth_xenium,n_cells_xenium,depth_range_subclass,min_separation,layer_distinct,crumblr_logFC,crumblr_fdr,density_logFC,density_fdr,confidence
L2/3 IT_8,L2/3 IT,0,,0,,0,,0.2376476756150348,0.2739491279543445,8357.0,0.2646337545583066,0.03217617475433071,False,-0.541960260304806,0.0316731053649876,-0.4432242011195653,0.1103984559054764,LOW
L5/6 NP_3,L5/6 NP,1,SEMA5A,2,SEMA5A; SDK1,2,SEMA5A; SDK1,0.6493233446271096,0.6088391849784247,889.0,0.010373739005344107,0.0032089046895887874,False,0.69955359651544,0.0377935279300325,0.713017991149808,0.0673499155689643,MEDIUM
Pvalb_13,Pvalb,1,TRHDE,1,TRHDE,2,TRHDE; SEMA5A,0.737596137206345,0.5899299508519411,684.0,0.5611991434268891,0.017566635029693245,False,-0.692623846857569,0.0377935279300325,-0.6693315031575773,0.1324573175423395,LOW
Pvalb_6,Pvalb,1,CDH12,1,CDH12,1,CDH12,0.4648362327305633,0.4641101885457724,4593.0,0.5611991434268891,0.06946579826412647,False,-0.402614844281943,0.0377935279300325,-0.3627601319048669,0.280937600869409,LOW
Pax6_3,Pax6,0,,0,,0,,0.3622663670812098,0.2733624822722711,520.0,0.2373642036290275,0.09681271156582338,False,-0.569959948904849,0.0377935279300325,-0.4985781006590234,0.1161916104054095,LOW
Pericyte_1,VLMC,1,PLCE1,1,PLCE1,1,PLCE1,0.4547152827416209,0.347080670211644,3808.0,0.07893698754956746,0.07893698754956746,False,0.712501161329008,0.0452940393941944,0.7839578519698124,0.1161916104054095,LOW
Sst_3,Sst,0,,0,,0,,0.4864761323883867,0.4617151877131984,2353.0,0.6219978107039386,0.056544927645603926,False,-0.585755928302898,0.0452940393941944,-0.5919143586832575,0.1628453281675495,LOW
L6b_5,L6b,0,,0,,0,,0.7760798410529812,0.8484824778454348,901.0,0.09709823755042613,0.020207319932420975,False,0.831672165727397,0.0567636536050627,0.8580841062411716,0.2051945644322635,LOW
Sst_25,Sst,0,,1,CDH12,2,CDH12; ADRA1A,0.3149984942734564,0.2175351752011032,1414.0,0.6219978107039386,0.007776216104419698,False,-0.686349389429451,0.0569016071456585,-0.8895234023674164,0.1814254860493496,LOW
Vip_12,Vip,1,TRPC6,1,TRPC6,1,TRPC6,0.3641501441348502,0.2661766839592413,1799.0,0.38363344324376525,0.033716312506185286,False,-0.402371720165354,0.0603911013185578,-0.3818706769491626,0.309943936840126,LOW
Oligo_4,Oligodendrocyte,1,OPALIN,1,OPALIN,3,OPALIN; CNDP1; OLIG1,0.6571002843362944,0.5802858474237376,74768.0,0.04868738075866763,0.020497197113980126,False,-0.538421385577205,0.0763315354001121,-0.384487359514725,0.1324573175423395,LOW
L4 IT_4,L4 IT,0,,1,PLCH1,2,PLCH1; OTOGL,0.4834835610456175,0.5524121404194949,2345.0,0.09175606527784874,0.014102934376420628,False,-0.353532888993894,0.0763315354001121,-0.2878992264529282,0.309943936840126,LOW
L6b_4,L6b,1,TRPC6,2,TRPC6; HS3ST4,2,TRPC6; HS3ST4,0.8417112705960776,0.8612484404198568,176.0,0.09709823755042613,0.007959295225262841,False,0.901464805807637,0.0763315354001121,1.249827290805511,0.1161916104054095,MEDIUM
L2/3 IT_10,L2/3 IT,0,,1,CTNNA3,1,CTNNA3,0.3143280968447043,0.3440816363166145,6868.0,0.2646337545583066,0.0049881607048752885,False,-0.396750338097442,0.0812884396953819,-0.2734592583541916,0.309943936840126,LOW
Vip_15,Vip,0,,2,THSD7B; SDK1,3,THSD7B; SDK1; CXCL14,0.3275256449176629,0.3495456477628225,1563.0,0.38363344324376525,0.001989002350996083,False,-0.339044157839365,0.0857045447108454,-0.2669613074570822,0.309943936840126,MEDIUM
Sst_5,Sst,2,BRINP3; THSD7B,2,BRINP3; THSD7B,3,BRINP3; THSD7B; SPON1,0.7402868500823627,0.6608517592102084,1437.0,0.6219978107039386,0.011319449441588358,False,0.437140369301383,0.0929368331947075,0.512526163988515,0.2123427932909053,MEDIUM
Micro-PVM_2,Microglia-PVM,1,P2RY12,2,P2RY12; HS3ST4,2,P2RY12; HS3ST4,0.3480599966398361,0.4294777281931263,4704.0,0.1735881034713871,0.12279193764850771,True,-0.632469738170106,0.0929368331947075,-0.6938623381594898,0.2571361304575083,HIGH
Vip_23,Vip,0,,0,,1,SDK1,0.4537236510991982,0.5141323394138873,2306.0,0.38363344324376525,0.018667936843876298,False,-0.281291462280914,0.0929368331947075,-0.1764460597995449,0.4375861487663041,LOW
L6 CT_4,L6 CT,0,,0,,1,CDH12,0.8101052167736797,0.7814466787687024,3209.0,0.05793215867367285,0.0009022185728229104,False,0.420575545006374,0.095317782982263,0.5496411227200412,0.2188539142798153,LOW
Pvalb_10,Pvalb,0,,0,,0,,0.7623353584562067,0.6547665206560943,1475.0,0.5611991434268891,0.014658902610333535,False,-0.37726852152787,0.106534606914688,-0.3013812894710634,0.309943936840126,LOW
L6b_2,L6b,0,,1,CRYM,2,CRYM; ANO3,0.8496705658213405,0.8403054779202914,314.0,0.09709823755042613,0.0031368991978469873,False,0.581973631329709,0.118214096131337,0.8556514714293091,0.0673499155689643,LOW
L5 IT_1,L5 IT,1,TSHZ2,1,TSHZ2,1,TSHZ2,0.5985808781787054,0.5623710708245842,2119.0,0.10588196586141585,0.00501343102691032,False,0.29095052444344,0.124488352399186,0.4249380823030745,0.1324573175423395,LOW
Sst_2,Sst,0,,1,BTBD11,1,BTBD11,0.3863598456999736,0.3192887752225759,1309.0,0.6219978107039386,0.07136135142651723,False,-0.331763936609745,0.124488352399186,-0.2805018702916784,0.4835799973222009,LOW
L6b_1,L6b,0,,2,VCAN; SORCS1,3,VCAN; SORCS1; THSD7B,0.8528074650191875,0.8223409284562715,42.0,0.09709823755042613,0.0031368991978469873,False,0.682212353508847,0.124488352399186,1.031672508410431,0.3928465943510079,MEDIUM
L2/3 IT_2,L2/3 IT,1,SEMA5A,1,SEMA5A,1,SEMA5A,0.3070953317036796,0.2637581110157481,12671.0,0.2646337545583066,0.007232765141024722,False,-0.278186686944651,0.130630704514244,-0.2115596857129235,0.4835799973222009,LOW
Vip_13,Vip,0,,2,RYR3; MYO16,4,RYR3; MYO16; BTBD11; TSHZ2,0.2287665274291329,0.2193440192478996,1702.0,0.38363344324376525,0.011216050586800697,False,-0.351849071039111,0.137572057094714,-0.399350483470456,0.3928465943510079,MEDIUM
L6 IT Car3_1,L6 IT Car3,0,,3,CUX2; CTNNA3; SPON1,3,CUX2; CTNNA3; SPON1,0.6064449027542703,0.7644180546735561,2101.0,0.13845111702619428,0.083789740684592,False,0.453922916927654,0.137572057094714,0.6136347479177401,0.3928465943510079,HIGH
Sst_11,Sst,0,,0,,4,CUX2; HTR2C; NXPH2; CDH12,0.2093355729669632,0.2353662209634718,3139.0,0.6219978107039386,0.026620813354273104,False,0.282496970883592,0.172785602244495,0.4054772269477623,0.1324573175423395,LOW
Vip_11,Vip,1,RYR3,1,RYR3,1,RYR3,0.2152201626820961,0.2582343862743472,972.0,0.38363344324376525,0.002330314160236102,False,-0.244576419217735,0.172785602244495,-0.1619737670389681,0.606651980162091,LOW
L5 IT_6,L5 IT,0,,0,,0,,0.5816066167713898,0.5079118215721218,17422.0,0.10588196586141585,0.011960830380405296,False,-0.27212817261492,0.192904519209482,-0.1677252192110298,0.4835799973222009,LOW
Lamp5_5,Lamp5,0,,2,PLD5; RELN,3,PLD5; RELN; CXCL14,0.0798591258134633,0.0920938661261901,2187.0,0.3854888231913217,0.014995602484074597,False,-0.28592961779537,0.213463140753146,-0.2234585963569302,0.4431636547438612,MEDIUM
Lamp5_2,Lamp5,0,,0,,1,NTNG1,0.4115490646238177,0.4492126763522222,3873.0,0.3854888231913217,0.04698541326189348,False,-0.22896541348668,0.213463140753146,-0.173059697813523,0.6012314593874274,LOW
Pvalb_15,Pvalb,1,SULF1,1,SULF1,2,SULF1; FGFR2,0.5343020309946898,0.5262797483316135,6071.0,0.5611991434268891,0.06946579826412647,False,-0.278729064536414,0.241228900479076,-0.1986013196408985,0.4835799973222009,LOW
L5 ET_2,L5 ET,0,,0,,1,CEMIP2,0.6079532602390725,0.5799486964700766,2488.0,0.03932754421322315,0.03932754421322315,False,-0.316287547707737,0.252232432766359,-0.2800851441842918,0.3928465943510079,LOW
Vip_2,Vip,1,HTR2C,3,HTR2C; TSHZ2; DCN,4,HTR2C; TSHZ2; DCN; NXPH2,0.3304338316286649,0.3760657902096463,1432.0,0.38363344324376525,0.0009191843600059313,False,-0.25439645331803,0.260365127150377,-0.1334211240194625,0.606651980162091,HIGH
Astro_2,Astrocyte,0,,0,,2,ARHGAP24; WIF1,0.4672809712117832,0.4588484340401191,81968.0,0.40498745306664385,0.09754911706855418,False,-0.229636325476723,0.266411342068613,-0.1412507419093344,0.4367998758158614,LOW
L6 CT_1,L6 CT,0,,1,SAMD5,3,SAMD5; SORCS1; RYR3,0.8567227492559728,0.85457483349619,325.0,0.05793215867367285,0.045715313909470146,False,0.620663024851103,0.267394771603414,1.0611064350567267,0.195741197130863,LOW
Oligo_2_1-SEAAD,Oligodendrocyte,0,,0,,0,,0.622164329964317,0.5968016332591702,19177.0,0.0,0.0,False,0.376849195238846,0.279926805418506,0.5648066304187388,0.1324573175423395,LOW
L4 IT_1,L4 IT,0,,0,,1,HS3ST4,0.5611366919470456,0.5613789995584944,12267.0,0.09175606527784874,0.03747523854879631,False,0.260312833170207,0.317690438602864,0.3235078190097398,0.2472090748017662,LOW
Pax6_2,Pax6,0,,1,SPHKAP,4,SPHKAP; ANGPT1; EYA4; HTR2A,0.2371871199288186,0.1764800663172818,2099.0,0.2373642036290275,0.028266535586567804,False,-0.200711860324109,0.317690438602864,-0.1398231727733286,0.7861236591863822,LOW
Sst_23,Sst,0,,1,TMEM132C,3,TMEM132C; NXPH2; HTR2C,0.1827147596126901,0.1964237744903318,253.0,0.6219978107039386,0.026620813354273104,False,-0.322722669102751,0.317690438602864,-0.1277097721194326,0.7655696255285502,LOW
L5/6 NP_2,L5/6 NP,1,CDH12,1,CDH12,1,CDH12,0.6536719668016047,0.6283291165675782,1168.0,0.010373739005344107,0.0011397174849062663,False,0.21302548187084,0.328401064918428,0.3044357807378811,0.2571361304575083,LOW
Vip_19,Vip,0,,0,,0,,0.547784619532303,0.5088970450237826,2076.0,0.38363344324376525,0.09406096843310474,False,-0.212608782260273,0.339979611386048,-0.1192171209380254,0.7655696255285502,LOW
Pvalb_5,Pvalb,1,CDH12,1,CDH12,2,CDH12; SYNPR,0.2904107513478899,0.2658206810261244,844.0,0.5611991434268891,0.07461563370823882,False,-0.268648871232526,0.373207336750964,-0.2684751578404707,0.8274176710394193,LOW
Astro_3,Astrocyte,1,VCAN,1,VCAN,1,VCAN,0.6149476097798571,0.8670163067247831,270.0,0.40498745306664385,0.14766663856807388,True,0.70433983697753,0.373207336750964,1.1295183720263706,0.606651980162091,MEDIUM
Sst_4,Sst,2,THSD7B; BRINP3,3,THSD7B; BRINP3; NDST4,3,THSD7B; BRINP3; NDST4,0.7289674006407744,0.726067166325894,644.0,0.6219978107039386,0.0013699373221528477,False,0.247480406899653,0.373207336750964,0.3647597274683191,0.4287509793869548,HIGH
OPC_2_1-SEAAD,OPC,0,,0,,0,,0.5043371946650136,0.4001026372606087,22779.0,0.015526826928131399,0.015526826928131399,False,-0.175633464884473,0.373207336750964,-0.05042768048821,0.6012314593874274,LOW
VLMC_1,VLMC,1,TMEM132C,1,TMEM132C,2,TMEM132C; CEMIP,0.4544878851785364,0.3999533540754449,371.0,0.0,0.0,False,0.604991229475123,0.373207336750964,0.155578406733996,0.7317032934501584,LOW
Sncg_5,Sncg,2,TSHZ2; THSD7B,3,TSHZ2; THSD7B; NTNG1,3,TSHZ2; THSD7B; NTNG1,0.0801271190726906,0.0865598984427666,841.0,0.11442495530025559,0.027140954206896703,False,-0.251837016531456,0.413449682513988,-0.1490094723814384,0.7655696255285502,HIGH
