panel,supertype,subclass,n_cells_snrnaseq,n_markers_in_panel,n_markers_proposed,expected_detected_per_cell,meets_threshold
xenium_v1,L6b_1,L6b,140,5,1,4.443681305570295,True
xenium_v1,L6b_2,L6b,245,4,2,3.7511243805567296,True
xenium_v1,L6b_3,L6b,48,4,0,4.918862011802134,True
xenium_v1,L6b_4,L6b,205,4,2,3.1794826237523464,True
xenium_v1,L6b_5,L6b,110,2,0,3.1979249268481107,True
xenium_v1,L6b_6,L6b,500,8,2,5.5870642428800705,True
xenium_v1,Sst_1,Sst,263,2,3,3.4059825561245076,True
xenium_v1,Sst_10,Sst,500,5,3,3.1505459889442933,True
xenium_v1,Sst_11,Sst,377,5,0,5.832500457601963,True
xenium_v1,Sst_12,Sst,500,3,5,3.6732602273484956,True
xenium_v1,Sst_13,Sst,500,3,2,4.5018868163868655,True
xenium_v1,Sst_19,Sst,500,3,2,3.945629293778569,True
xenium_v1,Sst_2,Sst,367,3,1,3.867890082383237,True
xenium_v1,Sst_20,Sst,392,3,2,4.547352456202567,True
xenium_v1,Sst_22,Sst,234,3,1,4.494617813236166,True
xenium_v1,Sst_23,Sst,457,6,5,4.855953484821814,True
xenium_v1,Sst_25,Sst,500,6,5,7.667354511621779,True
xenium_v1,Sst_3,Sst,500,1,3,3.9249620749219853,True
xenium_v1,Sst_4,Sst,477,5,4,3.3470600173219065,True
xenium_v1,Sst_5,Sst,500,4,4,4.971768405070852,True
xenium_v1,Sst_7,Sst,245,7,1,3.7137379792836316,True
xenium_v1,Sst_9,Sst,500,5,1,3.4636967003859156,True
xenium_5k,L6b_1,L6b,140,7,2,5.867456671618224,True
xenium_5k,L6b_2,L6b,245,15,1,7.4533508448135795,True
xenium_5k,L6b_3,L6b,48,19,0,9.287313463831886,True
xenium_5k,L6b_4,L6b,205,15,0,5.66495035330597,True
xenium_5k,L6b_5,L6b,110,23,0,9.25707686632359,True
xenium_5k,L6b_6,L6b,500,14,2,7.551037341101409,True
xenium_5k,Sst_1,Sst,263,15,2,7.731805934303946,True
xenium_5k,Sst_10,Sst,500,14,6,8.291377904395546,True
xenium_5k,Sst_11,Sst,377,17,1,10.144628392430905,True
xenium_5k,Sst_12,Sst,500,13,6,8.148238547187225,True
xenium_5k,Sst_13,Sst,500,19,1,9.05324716633654,True
xenium_5k,Sst_19,Sst,500,12,2,6.011533752444684,True
xenium_5k,Sst_2,Sst,367,19,1,7.88142728602605,True
xenium_5k,Sst_20,Sst,392,15,1,8.4475278706643,True
xenium_5k,Sst_22,Sst,234,15,0,7.991804599818423,True
xenium_5k,Sst_23,Sst,457,20,3,8.575268838212194,True
xenium_5k,Sst_25,Sst,500,21,7,11.172494480417368,True
xenium_5k,Sst_3,Sst,500,16,2,7.920825299767617,True
xenium_5k,Sst_4,Sst,477,14,2,6.954755479838555,True
xenium_5k,Sst_5,Sst,500,13,9,8.418614239141645,True
xenium_5k,Sst_7,Sst,245,13,0,6.306517754835947,True
xenium_5k,Sst_9,Sst,500,13,2,6.480289509778182,True
