supertype,n_markers,markers,n_in_MERSCOPE_250,pct_MERSCOPE_250,missing_MERSCOPE_250,n_in_MERSCOPE_4K,pct_MERSCOPE_4K,missing_MERSCOPE_4K,n_in_Xenium_5K,pct_Xenium_5K,missing_Xenium_5K,n_in_Xenium_v1,pct_Xenium_v1,missing_Xenium_v1
Astro_1,10,"AQP4, GPM6A, ADGRV1, OBI1-AS1, DTNA, SLC1A2, GPC5, LINC00499, GLIS3, SLC1A3",2,20.0,"ADGRV1, AQP4, DTNA, GPM6A, LINC00499, OBI1-AS1, SLC1A2, SLC1A3",6,60.0,"GPM6A, LINC00499, OBI1-AS1, SLC1A3",4,40.0,"ADGRV1, GLIS3, GPC5, GPM6A, LINC00499, OBI1-AS1",1,10.0,"ADGRV1, DTNA, GLIS3, GPC5, GPM6A, LINC00499, OBI1-AS1, SLC1A2, SLC1A3"
Astro_2,10,"SLC1A2, GPM6A, SLC1A3, GPC5, ADGRV1, LINC00299, PREX2, COL5A3, OBI1-AS1, DTNA",2,20.0,"ADGRV1, COL5A3, DTNA, GPM6A, OBI1-AS1, PREX2, SLC1A2, SLC1A3",6,60.0,"COL5A3, GPM6A, OBI1-AS1, SLC1A3",3,30.0,"ADGRV1, COL5A3, GPC5, GPM6A, LINC00299, OBI1-AS1, PREX2",0,0.0,"ADGRV1, COL5A3, DTNA, GPC5, GPM6A, LINC00299, OBI1-AS1, PREX2, SLC1A2, SLC1A3"
Astro_3,10,"LINC00609, ADGRV1, OBI1-AS1, NKAIN3, SLC1A2, GLIS3, CTNND2, GPM6A, GFAP, AC012405.1",1,10.0,"AC012405.1, ADGRV1, CTNND2, GFAP, GPM6A, LINC00609, NKAIN3, OBI1-AS1, SLC1A2",4,40.0,"AC012405.1, CTNND2, GPM6A, LINC00609, NKAIN3, OBI1-AS1",2,20.0,"AC012405.1, ADGRV1, GFAP, GLIS3, GPM6A, LINC00609, NKAIN3, OBI1-AS1",0,0.0,"AC012405.1, ADGRV1, CTNND2, GFAP, GLIS3, GPM6A, LINC00609, NKAIN3, OBI1-AS1, SLC1A2"
Astro_4,10,"ADGRV1, DCLK2, DPP10, DTNA, AHCYL2, MIR99AHG, SLC38A1, WDR49, MSI2, ARHGEF4",1,10.0,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DTNA, MIR99AHG, MSI2, SLC38A1, WDR49",7,70.0,"DCLK2, MIR99AHG, MSI2",2,20.0,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DPP10, MIR99AHG, SLC38A1, WDR49",0,0.0,"ADGRV1, AHCYL2, ARHGEF4, DCLK2, DPP10, DTNA, MIR99AHG, MSI2, SLC38A1, WDR49"
Astro_5,10,"ADGRV1, LINC00299, DTNA, ZNRF3, SLC1A2, OBI1-AS1, DPP10, TNIK, ARHGEF4, AHCYL2",2,20.0,"ADGRV1, AHCYL2, ARHGEF4, DTNA, OBI1-AS1, SLC1A2, TNIK, ZNRF3",7,70.0,"OBI1-AS1, TNIK, ZNRF3",2,20.0,"ADGRV1, AHCYL2, ARHGEF4, DPP10, LINC00299, OBI1-AS1, TNIK, ZNRF3",0,0.0,"ADGRV1, AHCYL2, ARHGEF4, DPP10, DTNA, LINC00299, OBI1-AS1, SLC1A2, TNIK, ZNRF3"
Chandelier_1,10,"CNTN5, CA8, RORA, TRPS1, ZNF385D, SLC9A9, DPP10, SDK1, CALN1, TMEM132D",6,60.0,"CA8, CNTN5, RORA, TRPS1",9,90.0,CNTN5,1,10.0,"CA8, CALN1, CNTN5, DPP10, RORA, SDK1, SLC9A9, TMEM132D, ZNF385D",1,10.0,"CA8, CALN1, CNTN5, DPP10, RORA, SLC9A9, TMEM132D, TRPS1, ZNF385D"
Chandelier_2,10,"RORA, GALNTL6, AC046195.2, ALK, ZNF385D, CA8, AC046195.1, TRPS1, COL12A1, THSD7A",3,30.0,"AC046195.1, AC046195.2, ALK, CA8, COL12A1, RORA, TRPS1",7,70.0,"AC046195.1, AC046195.2, ALK",2,20.0,"AC046195.1, AC046195.2, CA8, COL12A1, GALNTL6, RORA, THSD7A, ZNF385D",2,20.0,"AC046195.1, AC046195.2, CA8, GALNTL6, RORA, THSD7A, TRPS1, ZNF385D"
Endo_2,10,"ABCB1, ATP10A, THSD4, FLT1, SLC7A1, A2M, COBLL1, ESYT2, ST6GALNAC3, SLC7A5",1,10.0,"A2M, ABCB1, ATP10A, ESYT2, FLT1, SLC7A1, SLC7A5, ST6GALNAC3, THSD4",7,70.0,"ABCB1, ESYT2, ST6GALNAC3",3,30.0,"A2M, ATP10A, ESYT2, FLT1, SLC7A1, ST6GALNAC3, THSD4",2,20.0,"A2M, ABCB1, ATP10A, COBLL1, ESYT2, SLC7A1, SLC7A5, ST6GALNAC3"
L2/3 IT_1,10,"CBLN2, DGKB, LINC02306, LINC01250, AC021613.1, LINC01378, TESPA1, LRRTM4, PDZD2, AC011287.1",2,20.0,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4",4,40.0,"AC011287.1, AC021613.1, CBLN2, LINC01250, LINC02306, LRRTM4",0,0.0,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4, PDZD2, TESPA1",1,10.0,"AC011287.1, AC021613.1, CBLN2, DGKB, LINC01250, LINC01378, LINC02306, LRRTM4, PDZD2"
L2/3 IT_10,10,"LINC00507, PDZD2, TESPA1, ENC1, AL157944.1, LINC01331, HOPX, AC013287.1, AC011287.1, AC008696.2",2,20.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, HOPX, LINC00507, LINC01331",3,30.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, LINC00507, LINC01331",1,10.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, LINC00507, LINC01331, PDZD2, TESPA1",1,10.0,"AC008696.2, AC011287.1, AC013287.1, AL157944.1, ENC1, HOPX, LINC00507, LINC01331, PDZD2"
L2/3 IT_12,10,"LINC02822, AJ009632.2, LINC00507, AC011287.1, HS6ST3, LRRTM4, LINC01378, RFX3, DGKB, TESPA1",2,20.0,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4",5,50.0,"AC011287.1, AJ009632.2, LINC00507, LINC02822, LRRTM4",0,0.0,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4, RFX3, TESPA1",1,10.0,"AC011287.1, AJ009632.2, DGKB, HS6ST3, LINC00507, LINC01378, LINC02822, LRRTM4, RFX3"
L2/3 IT_13,10,"AJ009632.2, GLIS3, TESPA1, CA10, COL5A2, FSTL4, ATRNL1, ENC1, LINC02296, NECAB1",5,50.0,"AJ009632.2, ATRNL1, ENC1, LINC02296, NECAB1",7,70.0,"AJ009632.2, ENC1, LINC02296",2,20.0,"AJ009632.2, ATRNL1, ENC1, FSTL4, GLIS3, LINC02296, NECAB1, TESPA1",2,20.0,"AJ009632.2, ATRNL1, CA10, COL5A2, ENC1, GLIS3, LINC02296, NECAB1"
L2/3 IT_2,10,"CBLN2, DGKB, ACVR1C, MOXD1, ADGRV1, TESPA1, CSMD1, PSD3, SLIT3, KCNQ5",3,30.0,"ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, PSD3",6,60.0,"CBLN2, CSMD1, MOXD1, PSD3",2,20.0,"ACVR1C, ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, TESPA1",2,20.0,"ACVR1C, ADGRV1, CBLN2, CSMD1, DGKB, KCNQ5, MOXD1, PSD3"
L2/3 IT_3,10,"COL5A2, NTNG1, ARL15, IQCJ-SCHIP1, COBLL1, AJ009632.2, RORB, SLC38A11, LINC02296, CA10",5,50.0,"AJ009632.2, ARL15, IQCJ-SCHIP1, LINC02296, RORB",7,70.0,"AJ009632.2, IQCJ-SCHIP1, LINC02296",4,40.0,"AJ009632.2, ARL15, IQCJ-SCHIP1, LINC02296, NTNG1, SLC38A11",2,20.0,"AJ009632.2, ARL15, CA10, COBLL1, COL5A2, IQCJ-SCHIP1, LINC02296, SLC38A11"
L2/3 IT_5,10,"COL5A2, LINC02296, AJ009632.2, IQCJ-SCHIP1, NTNG1, AP000829.1, R3HDM1, GLIS3, CA10, TAFA1",4,40.0,"AJ009632.2, AP000829.1, IQCJ-SCHIP1, LINC02296, R3HDM1, TAFA1",4,40.0,"AJ009632.2, AP000829.1, IQCJ-SCHIP1, LINC02296, R3HDM1, TAFA1",3,30.0,"AJ009632.2, AP000829.1, GLIS3, IQCJ-SCHIP1, LINC02296, NTNG1, TAFA1",1,10.0,"AJ009632.2, AP000829.1, CA10, COL5A2, GLIS3, IQCJ-SCHIP1, LINC02296, R3HDM1, TAFA1"
L2/3 IT_6,10,"LINC01331, AC011287.1, PDZD2, LINC00507, LINC02306, ENC1, ADAMTS3, LRRTM4, AC008574.1, DGKB",2,20.0,"AC008574.1, AC011287.1, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4",3,30.0,"AC008574.1, AC011287.1, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4",0,0.0,"AC008574.1, AC011287.1, ADAMTS3, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4, PDZD2",1,10.0,"AC008574.1, AC011287.1, DGKB, ENC1, LINC00507, LINC01331, LINC02306, LRRTM4, PDZD2"
L2/3 IT_7,10,"CBLN2, PDZD2, LINC01331, ENC1, SERPINE2, AC011287.1, R3HDM1, CCBE1, NECTIN3, ITPR2",4,40.0,"AC011287.1, CBLN2, ENC1, LINC01331, NECTIN3, R3HDM1",4,40.0,"AC011287.1, CBLN2, ENC1, LINC01331, NECTIN3, R3HDM1",3,30.0,"AC011287.1, CBLN2, ENC1, ITPR2, LINC01331, PDZD2, SERPINE2",0,0.0,"AC011287.1, CBLN2, CCBE1, ENC1, ITPR2, LINC01331, NECTIN3, PDZD2, R3HDM1, SERPINE2"
L2/3 IT_8,10,"LINC02822, LINC01331, CBLN2, TESPA1, LINC00507, ENC1, PDZD2, LINC01378, AC011287.1, NECTIN3",2,20.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, NECTIN3",3,30.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC02822, NECTIN3",1,10.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, PDZD2, TESPA1",1,10.0,"AC011287.1, CBLN2, ENC1, LINC00507, LINC01331, LINC01378, LINC02822, NECTIN3, PDZD2"
