rank,gene,spatial_panels,n_spatial_panels,top10_for_n_supertypes,top10_for_supertypes
1,RGS6,MERFISH_180,1,8,L5 ET_1; L5 IT_5; L6b_3; L6b_5; Sst_13; Vip_1; Vip_12; Vip_18
2,SNTG1,MERSCOPE_4K,1,10,L2/3 IT_13; L2/3 IT_5; L4 IT_3; L6 IT Car3_3; L6 IT_2; Lamp5_6; Pvalb_15; Pvalb_6; Sncg_8; Vip_18
3,LINGO2,MERSCOPE_250; MERSCOPE_4K,2,9,Chandelier_2; L6 CT_2; Pvalb_14; Pvalb_8; Sst_11; Sst_20; Sst_22; Vip_11; Vip_13
4,DPP6,MERSCOPE_250; MERSCOPE_4K,2,7,Astro_4; Astro_5; Pvalb_13; Sncg_3; Vip_5; Vip_6; Vip_9
5,SLIT2,MERSCOPE_250; MERSCOPE_4K,2,8,L5/6 NP_6; Lamp5_2; Pvalb_1; Sst_4; Sst_5; Sst_7; Vip_19; Vip_23
6,EPHA6,MERSCOPE_250; MERSCOPE_4K,2,9,Astro_1; L2/3 IT_7; L4 IT_1; L5 ET_1; L5 IT_6; Lamp5_6; Pvalb_14; Pvalb_2; Sst Chodl_2
7,NCAM2,MERSCOPE_250; MERSCOPE_4K,2,8,L2/3 IT_8; L4 IT_4; L6 CT_2; L6b_1; Lamp5_5; Pvalb_5; Sst_25; Vip_14
8,ROBO2,MERFISH_180; MERSCOPE_4K,2,8,L5/6 NP_1; L6 CT_3; L6 IT Car3_2; Pvalb_3; Pvalb_6; Pvalb_8; Sst Chodl_2; Vip_12
9,LRP1B,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,8,Astro_2; L6 IT Car3_3; L6 IT_2; Lamp5_3; Pvalb_10; Pvalb_13; Sst_20; Vip_4
10,PCDH7,MERSCOPE_250; MERSCOPE_4K,2,8,L2/3 IT_1; L2/3 IT_2; L5 IT_2; Lamp5_4; Oligo_3; Sst_10; Sst_9; Vip_11
11,SGCZ,MERSCOPE_250; MERSCOPE_4K,2,8,L5/6 NP_2; L6 CT_1; Pvalb_13; Pvalb_3; Sncg_1; Sst_25; Vip_1; Vip_18
12,PCDH9,MERSCOPE_250; MERSCOPE_4K,2,6,Chandelier_1; Oligo_2; Sncg_3; Sncg_6; Sst_3; Vip_6
13,NLGN1,MERFISH_180; MERSCOPE_4K,2,8,L5 IT_5; L5 IT_6; Oligo_2_1-SEAAD; Oligo_3; Pvalb_2; Pvalb_6; Sst_2; Sst_20
14,KCNIP4,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,8,L6b_4; L6b_5; Pvalb_7; Sncg_8; Sst_13; Sst_5; Vip_11; Vip_13
15,SGCD,MERSCOPE_250; MERSCOPE_4K,2,7,Astro_2; L4 IT_3; L5 IT_3; L5/6 NP_3; Lamp5_1; Sst_4; Vip_21
16,ROBO1,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,7,L2/3 IT_6; L5 IT_7; L6 CT_1; L6 IT_2; Pvalb_9; Sncg_6; Sst_3
17,DPP10,MERSCOPE_250; MERSCOPE_4K,2,7,Astro_1; Astro_4; Astro_5; Chandelier_1; L6b_2; Pvalb_15; Pvalb_2
18,SOX2-OT,MERSCOPE_4K,1,7,Lamp5_1; Pvalb_5; Sst Chodl_1; Sst_23; Sst_25; Vip_2; Vip_23
19,GPC5,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,6,L5/6 NP_3; Pericyte_1; Pvalb_10; Pvalb_13; Pvalb_7; Sst_1
20,GALNTL6,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,7,Chandelier_2; L6 IT Car3_3; L6b_6; Lamp5_5; Pvalb_1; Pvalb_9; Sst_13
21,MGAT4C,MERSCOPE_250; MERSCOPE_4K,2,6,Astro_1; L4 IT_4; L6 IT Car3_1; Pvalb_10; Sst_19; Vip_6
22,CALN1,MERSCOPE_250; MERSCOPE_4K,2,5,L2/3 IT_2; L5 IT_3; L5/6 NP_2; Pvalb_15; Sncg_2
23,DCC,MERFISH_180,1,6,L2/3 IT_5; L5 IT_1; L6 IT_2; L6b_1; Sst_12; Vip_9
24,PDE4D,MERSCOPE_4K,1,5,L5 IT_3; L6 IT Car3_3; Lamp5_1; Vip_14; Vip_19
25,NRG3,MERSCOPE_4K,1,4,Sncg_2; Sst_11; Sst_22; Vip_16
26,GRID2,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,5,L2/3 IT_7; L4 IT_1; L5 IT_5; Pax6_2; Pvalb_5
27,KCNQ5,MERSCOPE_4K,1,4,L5/6 NP_2; Pax6_4; Vip_4; Vip_5
28,SEMA6D,MERFISH_180; MERSCOPE_4K,2,7,L5 IT_1; L6 IT Car3_1; Pvalb_10; Pvalb_6; Sst_2; Vip_12; Vip_18
29,LUZP2,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,5,Chandelier_1; L5/6 NP_1; Lamp5_2; Pvalb_14; Sst_23
30,CNR1,MERSCOPE_4K,1,4,Pax6_3; Sncg_6; Vip_21; Vip_4
31,MCTP1,MERSCOPE_4K,1,4,L2/3 IT_12; L5 IT_7; Pax6_2; Sncg_1
32,INPP4B,MERSCOPE_250; MERSCOPE_4K,2,6,Chandelier_2; L4 IT_2; L5 ET_1; L6b_4; Lamp5_5; Pvalb_14
33,TENM2,MERFISH_180; MERSCOPE_4K,2,3,L6 CT_4; L6 IT Car3_2; L6 IT_1
34,NKAIN2,MERFISH_180; MERSCOPE_4K,2,4,Sst Chodl_2; Sst_11; Sst_22; Vip_15
35,PRKG1,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,5,L4 IT_4; L5 IT_2; L5/6 NP_6; Pvalb_1; Vip_2
36,CADM2,MERSCOPE_4K,1,4,Lamp5_4; Oligo_4; Sst_19; Vip_4
37,CDH13,MERSCOPE_250; MERSCOPE_4K,2,6,L5/6 NP_2; L6b_1; Lamp5_2; Pvalb_6; Sncg_3; Vip_1
38,CCBE1,MERSCOPE_250; MERSCOPE_4K,2,4,L2/3 IT_7; L2/3 IT_8; L5 IT_7; L6 CT_4
39,PTPRT,MERSCOPE_4K,1,8,L2/3 IT_3; L2/3 IT_5; L5 ET_1; L5/6 NP_6; L6 IT Car3_1; Lamp5_3; Pvalb_5; Sst_9
40,TENM3,MERSCOPE_250; MERSCOPE_4K,2,4,L2/3 IT_12; L6b_5; Pax6_2; Vip_12
41,SPOCK1,MERSCOPE_250; MERSCOPE_4K,2,4,Sst_2; Sst_3; Vip_5; Vip_6
42,ERBB4,MERSCOPE_250; MERSCOPE_4K,2,3,Oligo_3; Sst_1; Sst_7
43,THSD7A,MERSCOPE_250; MERSCOPE_4K,2,4,L2/3 IT_6; Pvalb_8; Sst_11; Sst_23
44,PCDH15,MERSCOPE_250; MERSCOPE_4K,2,6,L6 CT_2; Pvalb_10; Pvalb_12; Pvalb_13; Sst_19; Vip_1
45,ASTN2,MERFISH_180,1,5,L4 IT_1; L6 CT_3; L6b_6; Sst_13; Vip_4
46,PLCB1,MERFISH_180; MERSCOPE_4K,2,4,Chandelier_1; L5 ET_2; Sst Chodl_1; Sst_5
47,C8orf34,MERSCOPE_250; MERSCOPE_4K,2,3,L6 IT_1; Sst_10; Vip_23
48,NRG1,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,7,L2/3 IT_13; L6 IT Car3_1; L6 IT_2; L6b_2; Lamp5_3; Sncg_1; Vip_13
49,GPC6,MERSCOPE_250; MERSCOPE_4K,2,3,Astro_3; L5/6 NP_4; Sst_5
50,SLC8A1,MERSCOPE_4K,1,3,Pvalb_8; Sncg_4; Sncg_5
51,SYNDIG1,MERSCOPE_4K,1,2,Micro-PVM_2_3-SEAAD; Sst_22
52,PDE4B,MERFISH_180,1,5,L4 IT_1; L5 ET_1; L6b_2; Lamp5_6; Pvalb_13
53,SRGAP1,MERSCOPE_4K,1,3,L6 CT_1; Sncg_2; Vip_16
54,RBFOX1,MERFISH_180,1,3,Oligo_1; Vip_1; Vip_18
55,SORCS3,MERFISH_180; MERSCOPE_4K,2,4,L2/3 IT_2; L5 IT_2; L6 CT_3; Vip_21
56,PLXNA4,MERSCOPE_4K,1,2,Pax6_3; Pax6_4
57,CHRM3,MERSCOPE_4K,1,5,Chandelier_1; Lamp5_5; Pvalb_9; Sst Chodl_2; Sst_12
58,PRKD1,MERSCOPE_4K,1,3,L2/3 IT_8; L5 IT_3; L5/6 NP_6
59,TRPM3,MERSCOPE_250; MERSCOPE_4K,2,3,Pvalb_7; Sst_10; Vip_9
60,LRRC4C,MERFISH_180,1,5,L2/3 IT_3; L4 IT_4; L5/6 NP_4; Sst_7; Vip_13
61,WDR49,MERSCOPE_4K,1,2,Astro_4; Astro_5
62,NOVA1,MERSCOPE_4K,1,2,L6b_5; OPC_2
63,KIRREL3,MERFISH_180,1,5,Pvalb_3; Pvalb_5; Sst_23; Vip_2; Vip_23
64,GRM8,MERFISH_180,1,3,Pericyte_1; Vip_14; Vip_18
65,KAZN,MERFISH_180; MERSCOPE_4K,2,2,L2/3 IT_13; OPC_1
66,SLC1A2,MERSCOPE_4K,1,2,Astro_2; L6 CT_4
67,RPS6KA2,MERSCOPE_4K,1,2,L2/3 IT_6; L5 IT_1
68,MAN1A1,MERSCOPE_4K,1,2,Micro-PVM_1; Sst_22
69,CSMD3,MERSCOPE_4K,1,2,Pvalb_7; Sst_1
70,TOX,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,4,L4 IT_2; L5 IT_3; L6b_1; Sst Chodl_1
71,RASGRF2,MERSCOPE_4K,1,3,L5/6 NP_2; Oligo_1; Sst Chodl_2
72,NELL2,MERSCOPE_4K,1,4,Sncg_5; Sst_2; Vip_12; Vip_19
73,NECAB1,MERSCOPE_4K,1,3,L4 IT_3; Lamp5_1; Pax6_3
74,MALAT1,MERSCOPE_250; MERSCOPE_4K,2,2,L6 CT_2; OPC_2
75,ADAMTSL3,MERSCOPE_4K,1,3,Astro_3; L6b_5; Sst_13
76,NCKAP5,MERSCOPE_250; MERSCOPE_4K,2,2,Sncg_4; Vip_9
77,GLIS3,MERSCOPE_250; MERSCOPE_4K,2,1,L2/3 IT_10
78,SH3RF3,MERSCOPE_4K,1,1,OPC_1
79,STXBP6,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,2,L2/3 IT_6; L5/6 NP_1
80,FRAS1,MERSCOPE_250; MERSCOPE_4K,2,3,L6b_4; Lamp5_4; Sst_19
81,IL1RAPL1,MERSCOPE_4K,1,2,Pax6_1; Pvalb_15
82,EXOC6B,MERSCOPE_4K,1,1,Oligo_2
83,COL21A1,MERSCOPE_250; MERSCOPE_4K,2,2,L6b_3; Lamp5_6
84,ITPR2,MERSCOPE_250; MERSCOPE_4K,2,4,L2/3 IT_7; L2/3 IT_8; L6b_6; Sst_11
85,ZNF804A,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,4,L2/3 IT_1; L2/3 IT_2; Pvalb_2; Sst_23
86,BICC1,MERSCOPE_4K,1,1,VLMC_1
87,UTRN,MERSCOPE_4K,1,3,L5 ET_1; L6 CT_4; Pvalb_1
88,GRM7,MERFISH_180,1,2,L5 IT_6; Sst_20
89,TCERG1L,MERSCOPE_4K,1,1,L5 ET_2
90,IPCEF1,MERSCOPE_4K,1,1,Micro-PVM_2_3-SEAAD
91,SOX5,MERSCOPE_4K,1,3,Pax6_2; Sncg_1; Vip_15
92,UNC13C,MERSCOPE_4K,1,3,Lamp5_2; Pvalb_9; Sst_3
93,IL1RAPL2,MERSCOPE_250; MERSCOPE_4K,2,2,L4 IT_2; Vip_11
94,SORBS2,MERSCOPE_250; MERSCOPE_4K,2,1,L6 IT_1
95,APBB1IP,MERSCOPE_4K,1,1,Micro-PVM_2
96,MRC1,MERSCOPE_4K,1,1,Micro-PVM_1
97,SYT10,MERSCOPE_250; MERSCOPE_4K,2,1,L2/3 IT_12
98,SLC25A13,MERSCOPE_4K,1,1,Oligo_1
99,NDST3,MERSCOPE_250; MERSCOPE_4K,2,2,Pvalb_3; Vip_9
100,BCAS1,MERSCOPE_4K,1,1,OPC_1
101,PDE1A,MERSCOPE_250; MERSCOPE_4K,2,3,L2/3 IT_6; L5/6 NP_4; L6 IT Car3_3
102,FLRT2,MERSCOPE_4K,1,2,Pvalb_10; VLMC_1
103,CLSTN2,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,4,L6 CT_1; Lamp5_3; Vip_4; Vip_5
104,TAFA1,MERFISH_180,1,2,L5 IT_5; L5 IT_6
105,TIMP3,MERSCOPE_4K,1,1,L2/3 IT_10
106,GARNL3,MERSCOPE_4K,1,1,L5 ET_2
107,GRIP1,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,2,Sncg_6; Vip_14
108,PLXDC2,MERSCOPE_4K,1,1,Oligo_2
109,ADAMTS19,MERSCOPE_250; MERSCOPE_4K,2,3,L6 CT_2; L6 IT Car3_2; Pvalb_8
110,PTPRO,MERSCOPE_4K,1,2,L4 IT_2; Vip_2
111,KCNC2,MERSCOPE_4K,1,3,L5 IT_2; L6 CT_4; Sst_7
112,ARHGEF4,MERSCOPE_4K,1,1,Astro_5
113,MMP16,MERSCOPE_4K,1,1,Pax6_3
114,HPSE2,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,1,Astro_2
115,AFF3,MERSCOPE_4K,1,1,Pax6_1
116,SEL1L3,MERSCOPE_4K,1,1,Sst_12
117,EPB41L4A,MERSCOPE_4K,1,1,Sst_1
118,GNG2,MERSCOPE_4K,1,1,Pax6_4
119,DLC1,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,1,Pericyte_1
120,ARHGAP18,MERSCOPE_4K,1,1,Vip_16
121,SLC38A1,MERSCOPE_4K,1,1,Astro_4
122,CBLN2,MERFISH_180,1,1,L2/3 IT_1
123,HTR4,MERSCOPE_250; MERSCOPE_4K,2,2,L6 CT_3; L6b_2
124,RASGRF1,MERSCOPE_4K,1,1,Oligo_1
125,GRM1,MERSCOPE_4K,1,2,L6 IT Car3_3; Vip_19
126,CNTN5,MERFISH_180,1,3,Pvalb_3; Sst_10; Vip_21
127,LINC01378,MERSCOPE_4K,1,1,L6 IT_1
128,PRKCA,MERSCOPE_4K,1,1,Sncg_3
129,IL1RAP,MERSCOPE_4K,1,1,L6b_3
130,COLEC12,MERSCOPE_4K,1,1,Micro-PVM_1
131,MDGA2,MERSCOPE_4K,1,2,Chandelier_1; Oligo_3
132,SORL1,MERSCOPE_250; MERSCOPE_4K,2,1,Micro-PVM_2
133,GFAP,MERSCOPE_4K,1,1,Astro_3
134,COBLL1,MERSCOPE_250; MERSCOPE_4K,2,3,L2/3 IT_3; L5 IT_1; Pvalb_1
135,PEX5L,MERFISH_180; MERSCOPE_4K,2,3,L6 IT Car3_3; Vip_14; Vip_15
136,TNS3,MERSCOPE_4K,1,1,OPC_1
137,PRKCB,MERSCOPE_250; MERSCOPE_4K,2,1,Lamp5_4
138,DAB1,MERSCOPE_4K,1,1,L5 IT_6
139,MBP,MERSCOPE_4K,1,1,Vip_23
140,COL24A1,MERSCOPE_250; MERSCOPE_4K,2,3,L5 IT_7; L5/6 NP_3; Sst_22
141,RYR2,MERSCOPE_4K,1,4,L6b_6; Pvalb_10; Sst_19; Sst_3
142,NPAS3,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,3,L5 IT_3; Sst_13; Vip_5
143,PTPRM,MERSCOPE_250; MERSCOPE_4K,2,1,Pax6_1
144,CBLN4,MERSCOPE_4K,1,1,Sst_25
145,MAML3,MERSCOPE_4K,1,1,Sst_1
146,SFMBT2,MERSCOPE_250; MERSCOPE_4K,2,2,Pvalb_15; Sncg_2
147,LIMCH1,MERSCOPE_4K,1,1,Pax6_4
148,DSCAM,MERSCOPE_250; MERSCOPE_4K,2,1,Lamp5_1
149,ST6GAL2,MERSCOPE_4K,1,1,Pvalb_7
150,PCDH11X,MERSCOPE_250; MERSCOPE_4K,2,1,L5/6 NP_4
151,DCLK1,MERFISH_180; MERSCOPE_4K,2,1,Astro_4
152,RASGEF1B,MERSCOPE_4K,1,1,Vip_16
153,TLL1,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,1,L4 IT_1
154,GABRG1,MERSCOPE_4K,1,1,L4 IT_2
155,GREB1L,MERSCOPE_250; MERSCOPE_4K,2,1,L2/3 IT_1
156,ZMAT4,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,2,L6 IT Car3_1; Vip_6
157,ADGRV1,MERSCOPE_4K,1,1,Astro_5
158,NFIA,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,1,L6 IT Car3_2
159,UNC5D,MERSCOPE_4K,1,2,L2/3 IT_5; L5/6 NP_1
160,SLC38A11,MERSCOPE_250; MERSCOPE_4K,2,2,L4 IT_3; Pericyte_1
161,ETNPPL,MERFISH_180; MERSCOPE_4K,2,1,Astro_1
162,TMEM132D,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,1,Vip_19
163,ARHGAP6,MERSCOPE_4K,1,2,Pax6_3; Sst_20
164,F13A1,MERSCOPE_4K,1,1,Micro-PVM_1
165,HS6ST3,MERFISH_180; MERSCOPE_4K,2,6,Chandelier_2; L4 IT_3; L6 CT_3; L6b_1; Lamp5_6; Vip_12
166,VAV3,MERSCOPE_250; MERSCOPE_4K,2,1,Pvalb_12
167,FBXL7,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3,2,Lamp5_2; Sncg_6
168,PKN2-AS1,MERSCOPE_4K,1,1,L2/3 IT_8
169,CNTNAP2,MERSCOPE_4K,1,4,L2/3 IT_5; L5/6 NP_6; Lamp5_6; Pax6_2
170,ESRRG,MERSCOPE_250; MERSCOPE_4K,2,2,L5 IT_3; L6b_3
171,MPPED2,MERSCOPE_4K,1,2,Sst Chodl_1; Sst_12
172,BMPER,MERSCOPE_4K,1,1,OPC_1
