rank,gene,spatial_validated,spatial_panels,top10_for_n_supertypes
1,CNR1,True,MERSCOPE_4K,4
2,GRIK1,False,none,3
3,FGF12,True,MERFISH_180; MERSCOPE_4K,0
4,KIF26B,True,MERSCOPE_4K,0
5,ADARB2,True,MERSCOPE_250; MERSCOPE_4K,0
6,FSTL5,False,none,5
7,DPP10,True,MERSCOPE_250; MERSCOPE_4K,7
8,SLIT2,True,MERSCOPE_250; MERSCOPE_4K,8
9,SOX6,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,0
10,SORCS3,True,MERFISH_180; MERSCOPE_4K,4
11,INPP4B,True,MERSCOPE_250; MERSCOPE_4K,6
12,KCNC2,True,MERSCOPE_4K,3
13,ERBB4,True,MERSCOPE_250; MERSCOPE_4K,3
14,AC011287.1,False,none,1
15,ADAMTSL1,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,4
16,ADGRV1,True,MERSCOPE_4K,1
17,NPAS3,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,3
18,DLGAP1,False,none,1
19,PCDH15,True,MERSCOPE_250; MERSCOPE_4K,6
20,THSD7A,True,MERSCOPE_250; MERSCOPE_4K,4
21,ZFHX3,True,MERSCOPE_4K,0
22,AC068587.4,False,none,0
23,SHISA8,False,none,0
24,TAFA1,True,MERFISH_180,2
25,ENC1,False,none,0
26,CNTN5,True,MERFISH_180,3
27,RBFOX1,True,MERFISH_180,3
28,CTNNA2,False,none,4
29,TLE4,True,MERSCOPE_250; MERSCOPE_4K,0
30,SOX2-OT,True,MERSCOPE_4K,7
31,SPOCK3,False,none,3
32,RNF220,False,none,1
33,CBLN2,True,MERFISH_180,1
34,GRIK2,False,none,6
35,IL1RAPL2,True,MERSCOPE_250; MERSCOPE_4K,2
36,ROBO2,True,MERFISH_180; MERSCOPE_4K,8
37,SGCZ,True,MERSCOPE_250; MERSCOPE_4K,8
38,PDZD2,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,1
39,CNTNAP4,False,none,3
40,COL5A2,True,MERSCOPE_250; MERSCOPE_4K,3
41,QKI,False,none,0
42,NRXN3,True,MERSCOPE_4K,3
43,DLX6-AS1,True,MERSCOPE_4K,0
44,AL589740.1,False,none,3
45,TRPM3,True,MERSCOPE_250; MERSCOPE_4K,3
46,TLL1,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,1
47,FGF13,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,0
48,GPC5,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,6
49,LRP1B,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,8
50,GRIN3A,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,1
51,AJ009632.2,False,none,0
52,CDH9,False,none,1
53,ASIC2,True,MERFISH_180; MERSCOPE_4K,0
54,AC109466.1,False,none,3
55,LINC01331,False,none,1
56,FRMPD4,True,MERFISH_180; MERSCOPE_4K,0
57,PRELID2,False,none,1
58,GPC6,True,MERSCOPE_250; MERSCOPE_4K,3
59,SLC44A1,False,none,0
60,CCBE1,True,MERSCOPE_250; MERSCOPE_4K,4
61,RASGRF2,True,MERSCOPE_4K,3
62,COBLL1,True,MERSCOPE_250; MERSCOPE_4K,3
63,SEMA3E,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,0
64,OBI1-AS1,False,none,0
65,ROBO1,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,7
66,GLIS3,True,MERSCOPE_250; MERSCOPE_4K,1
67,COL24A1,True,MERSCOPE_250; MERSCOPE_4K,3
68,SIK3,False,none,2
69,PHACTR1,True,MERSCOPE_250; MERSCOPE_4K,0
70,FGF14,False,none,0
71,AC008415.1,False,none,1
72,CASC15,True,MERSCOPE_4K,0
73,CALN1,True,MERSCOPE_250; MERSCOPE_4K,5
74,LRRC4C,True,MERFISH_180,5
75,LINC00507,False,none,0
76,ADAMTS17,True,MERSCOPE_250; MERSCOPE_4K,1
77,ZNF385D,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,4
78,SLC9A9,True,MERSCOPE_250; MERSCOPE_4K,1
79,RBMS3,True,MERSCOPE_4K,3
80,KCNT2,False,none,1
81,PLP1,False,none,1
82,SORCS2,True,MERSCOPE_250; MERSCOPE_4K,0
83,DGKB,True,MERSCOPE_4K,1
84,SLC1A2,True,MERSCOPE_4K,2
85,MBP,True,MERSCOPE_4K,1
86,DTNA,True,MERSCOPE_4K,0
87,GPM6A,False,none,0
88,LRRTM4,False,none,4
89,EPHA6,True,MERSCOPE_250; MERSCOPE_4K,9
90,PCSK5,True,MERSCOPE_4K,1
91,CADPS2,False,none,2
92,PDE3A,True,MERSCOPE_250; MERSCOPE_4K,0
93,CPNE4,False,none,1
94,DOCK8,True,MERSCOPE_4K,0
95,FOXP2,True,MERFISH_180,0
96,CTNND2,False,none,2
97,GRID2,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,5
98,CA10,True,MERFISH_180; MERSCOPE_250; MERSCOPE_4K,1
99,ITPR2,True,MERSCOPE_250; MERSCOPE_4K,4
100,RORA,True,MERSCOPE_4K,3
