n_addon,total_genes,total_coverage,mean_coverage,median_coverage,types_ge5,types_ge3,types_all10,gene_added,mean_eff_weighted
0,266,226,1.765625,2.0,2,28,0,,
1,267,238,1.859375,2.0,2,31,0,CNR1,0.6392883543203347
2,268,249,1.9453125,2.0,2,34,0,GRIK1,0.6736402460932353
3,269,257,2.0078125,2.0,3,40,0,FGF12,0.6858887184587332
4,270,264,2.0625,2.0,3,43,0,KIF26B,0.6942276270151733
5,271,271,2.1171875,2.0,4,46,0,ADARB2,0.7119655443144633
6,272,278,2.171875,2.0,6,48,0,FSTL5,0.7338258390790364
7,273,285,2.2265625,2.0,7,48,0,DPP10,0.7397990598945395
8,274,292,2.28125,2.0,8,52,0,SLIT2,0.7533493749851592
9,275,299,2.3359375,2.0,9,55,0,SOX6,0.7694456860372703
10,276,306,2.390625,2.0,10,55,0,SORCS3,0.7801195039663618
11,277,313,2.4453125,2.0,12,55,0,INPP4B,0.7872177533895753
12,278,319,2.4921875,2.0,13,55,0,KCNC2,0.7992556674035645
13,279,325,2.5390625,2.0,16,55,0,ERBB4,0.8089031467222996
14,280,331,2.5859375,2.0,16,55,0,AC011287.1,0.8276405422347909
15,281,337,2.6328125,2.0,16,56,0,ADAMTSL1,0.8321776704124277
16,282,343,2.6796875,2.0,16,57,0,ADGRV1,0.8533457931627982
17,283,349,2.7265625,2.0,18,60,0,NPAS3,0.8612441779380331
18,284,355,2.7734375,2.0,20,61,0,DLGAP1,0.8799815734505243
19,285,361,2.8203125,2.0,20,63,0,PCDH15,0.8860527873946551
20,286,367,2.8671875,3.0,20,65,0,THSD7A,0.8971615961863587
21,287,372,2.90625,3.0,20,67,0,ZFHX3,0.9140344775909663
22,288,377,2.9453125,3.0,22,68,0,AC068587.4,0.9296489738513758
23,289,382,2.984375,3.0,24,69,0,SHISA8,0.9452634701117851
24,290,387,3.0234375,3.0,24,69,0,TAFA1,0.9608779663721945
25,291,392,3.0625,3.0,24,73,0,ENC1,0.9764924626326038
26,292,397,3.1015625,3.0,24,74,0,CNTN5,0.9921069588930131
27,293,402,3.140625,3.0,26,74,0,RBFOX1,1.0077214551534226
28,294,407,3.1796875,3.0,26,76,0,CTNNA2,1.0233359514138318
29,295,412,3.21875,3.0,27,78,0,TLE4,1.0354953739923418
30,296,417,3.2578125,3.0,27,78,0,SOX2-OT,1.04831003275536
31,297,422,3.296875,3.0,29,78,0,SPOCK3,1.0639245290157695
32,298,427,3.3359375,3.0,29,82,0,RNF220,1.0795390252761787
33,299,432,3.375,3.0,29,85,0,CBLN2,1.095153521536588
34,300,437,3.4140625,3.0,32,85,0,GRIK2,1.1107680177969974
35,301,442,3.453125,3.0,34,87,0,IL1RAPL2,1.1173816394203522
36,302,447,3.4921875,3.0,35,88,0,ROBO2,1.1202026286273004
37,303,452,3.53125,3.0,36,88,0,SGCZ,1.1231887029867305
38,304,457,3.5703125,3.0,37,88,0,PDZD2,1.137848311036168
39,305,462,3.609375,3.5,38,88,0,CNTNAP4,1.1534628072965771
40,306,467,3.6484375,4.0,39,90,0,COL5A2,1.1679815605231454
41,307,471,3.6796875,4.0,40,90,0,QKI,1.1804731575314729
42,308,475,3.7109375,4.0,41,90,0,NRXN3,1.1878415121264139
43,309,479,3.7421875,4.0,41,92,0,DLX6-AS1,1.191880243648174
44,310,483,3.7734375,4.0,42,93,0,AL589740.1,1.2043718406565014
45,311,487,3.8046875,4.0,42,95,0,TRPM3,1.207620444000326
46,312,491,3.8359375,4.0,44,95,0,TLL1,1.2127773498179144
47,313,495,3.8671875,4.0,46,96,0,FGF13,1.2256829724668217
48,314,499,3.8984375,4.0,46,98,0,GPC5,1.2382343398139226
49,315,503,3.9296875,4.0,46,99,0,LRP1B,1.2496590711518483
50,316,507,3.9609375,4.0,49,99,0,GRIN3A,1.2569282523686045
51,317,511,3.9921875,4.0,50,100,0,AJ009632.2,1.269419849376932
52,318,515,4.0234375,4.0,50,101,0,CDH9,1.2819114463852597
53,319,519,4.0546875,4.0,51,101,0,ASIC2,1.2858989781546444
54,320,523,4.0859375,4.0,52,102,0,AC109466.1,1.2983905751629718
55,321,527,4.1171875,4.0,55,102,0,LINC01331,1.3108821721712993
56,322,531,4.1484375,4.0,56,104,0,FRMPD4,1.317411207099186
57,323,535,4.1796875,4.0,56,104,0,PRELID2,1.3299028041075134
58,324,539,4.2109375,4.0,56,104,0,GPC6,1.3321667155736379
59,325,543,4.2421875,4.0,58,104,0,SLC44A1,1.3446583125819653
60,326,547,4.2734375,4.0,59,104,0,CCBE1,1.3503920657079944
61,327,551,4.3046875,4.0,60,104,0,RASGRF2,1.360176136878883
62,328,555,4.3359375,4.0,62,105,0,COBLL1,1.376569442448524
63,329,559,4.3671875,4.0,63,105,0,SEMA3E,1.382667466354573
64,330,563,4.3984375,4.0,63,107,0,OBI1-AS1,1.3951590633629007
65,331,567,4.4296875,4.5,64,108,0,ROBO1,1.4037804281659363
66,332,571,4.4609375,5.0,66,109,0,GLIS3,1.4116828233987024
67,333,575,4.4921875,5.0,67,110,0,COL24A1,1.4179450927176824
68,334,579,4.5234375,5.0,67,111,0,SIK3,1.43043668972601
69,335,583,4.5546875,5.0,69,111,0,PHACTR1,1.443767265989066
70,336,587,4.5859375,5.0,71,112,0,FGF14,1.4562588629973934
71,337,591,4.6171875,5.0,72,112,0,AC008415.1,1.4687504600057208
72,338,595,4.6484375,5.0,72,112,0,CASC15,1.4732022183980784
73,339,599,4.6796875,5.0,73,112,0,CALN1,1.48101734065576
74,340,603,4.7109375,5.0,73,112,0,LRRC4C,1.4935089376640875
75,341,607,4.7421875,5.0,73,112,0,LINC00507,1.506000534672415
76,342,611,4.7734375,5.0,74,112,0,ADAMTS17,1.5150982805894055
77,343,615,4.8046875,5.0,75,113,0,ZNF385D,1.5178899929636183
78,344,619,4.8359375,5.0,75,113,0,SLC9A9,1.5292920427276258
79,345,623,4.8671875,5.0,75,113,1,RBMS3,1.5322822894540256
80,346,627,4.8984375,5.0,75,115,1,KCNT2,1.544773886462353
81,347,631,4.9296875,5.0,75,115,1,PLP1,1.5572654834706805
82,348,635,4.9609375,5.0,75,115,1,SORCS2,1.5692320391925387
83,349,639,4.9921875,5.0,78,115,1,DGKB,1.5752580526463955
84,350,643,5.0234375,5.0,78,115,1,SLC1A2,1.595097382007153
85,351,647,5.0546875,5.0,79,115,1,MBP,1.6103218310505532
86,352,651,5.0859375,5.0,81,116,1,DTNA,1.6182224908908096
87,353,654,5.109375,5.0,82,116,1,GPM6A,1.6275911886470553
88,354,657,5.1328125,5.0,82,116,1,LRRTM4,1.636959886403301
89,355,660,5.15625,5.0,82,116,1,EPHA6,1.6435205023118988
90,356,663,5.1796875,5.0,82,116,1,PCSK5,1.646396453491116
91,357,666,5.203125,5.0,82,116,1,CADPS2,1.6557651512473615
92,358,669,5.2265625,5.0,82,116,1,PDE3A,1.6598075393843517
93,359,672,5.25,5.0,83,116,1,CPNE4,1.6691762371405972
94,360,675,5.2734375,5.0,83,116,1,DOCK8,1.686252498856039
95,361,678,5.296875,5.0,85,116,1,FOXP2,1.6956211966122847
96,362,681,5.3203125,5.0,85,116,1,CTNND2,1.7049898943685302
97,363,684,5.34375,5.0,86,116,1,GRID2,1.7091408185979127
98,364,687,5.3671875,6.0,86,116,1,CA10,1.719172040977333
99,365,690,5.390625,6.0,86,118,1,ITPR2,1.731483283519517
100,366,693,5.4140625,6.0,88,118,1,RORA,1.7354352938122823
101,367,696,5.4375,6.0,88,118,1,HS3ST5,1.738634063466968
