rank,gene,selection_category,target_group,selection_reason,wilcoxon_score,log2_fold_change,merscope_detection_efficiency,predicted_spatial_detection_rate,dropout_adjusted_score,spatially_validated_r_gt_0.7,best_cross_platform_pearson_r
1,FEZF2,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.4517,0.0000,0.0000,True,0.9672
2,TLE4,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.3113,0.0000,0.0000,False,
3,MBP,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.4872,0.0000,0.0000,False,0.6242
4,CSF1R,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.4517,0.0000,0.0000,True,0.9973
5,RBFOX3,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.3454,0.0000,0.0000,True,0.8216
6,SYT1,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.4517,0.0000,0.0000,False,
7,NPY,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.4517,0.0000,0.0000,True,0.9993
8,NOS1,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.3495,0.0000,0.0000,True,0.9636
9,CALB1,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.5947,0.0000,0.0000,True,0.9372
10,SATB2,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.4517,0.0000,0.0000,True,0.9883
11,BCL11B,1_Cardinal,cardinal,cardinal_marker,0.0000,0.0000,0.4517,0.0000,0.0000,False,
12,STXBP6,2_Subclass_Round1,Sst,subclass_marker,113.3637,3.4904,0.5479,0.5340,90.7960,True,0.7883
13,KIAA1217,2_Subclass_Round1,Sst,subclass_marker,108.2805,3.2752,0.4517,0.4517,73.3619,True,0.8939
14,ASTN2,2_Subclass_Round1,Sst,subclass_marker,84.0991,1.8724,0.4517,0.4450,56.1420,True,0.9129
15,GRIK1,2_Subclass_Round1,Sst,subclass_marker,122.7193,4.7902,0.4517,0.4501,55.2343,False,
16,GRIK3,2_Subclass_Round1,Sst,subclass_marker,102.1175,2.8926,0.3695,0.3520,53.9183,True,0.9192
17,XKR4,2_Subclass_Round1,Sst,subclass_marker,112.9634,2.1474,0.4517,0.4517,51.0306,False,
18,SPOCK3,2_Subclass_Round1,Sst,subclass_marker,111.4819,3.1137,0.4517,0.4517,50.3539,False,
19,NXPH1,2_Subclass_Round1,Sst,subclass_marker,102.9284,4.1524,0.4517,0.4516,46.4837,False,
20,WLS,2_Subclass_Round1,Sst,subclass_marker,107.2010,3.0344,0.4517,0.4315,46.2592,False,
21,RUNX1T1,2_Subclass_Round1,Sst,subclass_marker,96.4699,1.7829,0.4517,0.4456,42.9848,False,
22,SPOCK1,3_Supertype_Round2,Sst_3,supertype_marker,21.4328,1.4015,0.6421,0.6215,13.3209,False,
23,DCC,3_Supertype_Round2,Sst_12,supertype_marker,29.7568,3.1708,0.4517,0.4418,19.7201,True,0.8780
24,GPC5,3_Supertype_Round2,Sst_1,supertype_marker,25.7411,5.4637,0.4016,0.3879,14.9774,True,0.9122
25,RGS6,3_Supertype_Round2,Sst_13,supertype_marker,25.7015,1.9508,0.4517,0.4490,17.3113,True,0.9475
