group,rank,gene,wilcoxon_score,logfoldchange,pval_adj,subclass,source
Astro_3,1,KAZN,207.96785,3.5568233,0.0,Astrocyte,MERFISH_spatial
Astro_3,2,ID3,187.54478,3.7288601,0.0,Astrocyte,MERFISH_spatial
Astro_3,3,DCLK1,176.82562,3.368958,0.0,Astrocyte,MERFISH_spatial
Astro_3,4,L3MBTL4,137.56186,3.1805518,0.0,Astrocyte,MERFISH_spatial
Astro_3,5,LAMA4,121.61057,2.1143072,0.0,Astrocyte,MERFISH_spatial
Astro_3,6,CACNA2D3,117.43472,1.9078547,0.0,Astrocyte,MERFISH_spatial
Astro_3,7,MOG,99.509186,2.1496246,0.0,Astrocyte,MERFISH_spatial
Astro_3,8,CD74,73.15534,1.2116531,0.0,Astrocyte,MERFISH_spatial
Astro_3,9,SNTB1,70.46195,1.169614,0.0,Astrocyte,MERFISH_spatial
Astro_3,10,UNC5B,65.65563,1.0174007,0.0,Astrocyte,MERFISH_spatial
Astro_3,11,PRRX1,59.849766,1.9662684,0.0,Astrocyte,MERFISH_spatial
Astro_3,12,PRKG1,50.807327,0.77598506,0.0,Astrocyte,MERFISH_spatial
Astro_3,13,TMEM255A,42.672302,1.2554027,0.0,Astrocyte,MERFISH_spatial
Astro_3,14,ASTN2,39.210056,0.4234083,0.0,Astrocyte,MERFISH_spatial
Astro_3,15,PEX5L,39.207794,0.7381916,0.0,Astrocyte,MERFISH_spatial
Astro_3,16,SLC24A2,37.562153,0.7919996,5.353605310151536e-308,Astrocyte,MERFISH_spatial
Astro_3,17,ROBO2,32.877823,1.0095507,2.414738568191142e-236,Astrocyte,MERFISH_spatial
Astro_3,18,GRID2,32.492188,1.0866562,7.069971705266639e-231,Astrocyte,MERFISH_spatial
Astro_3,19,TNR,30.3216,0.5074952,2.895669827164313e-201,Astrocyte,MERFISH_spatial
Astro_3,20,CD22,29.064957,1.0110028,4.5965545496504904e-185,Astrocyte,MERFISH_spatial
Astro_3,21,GRIP1,26.82605,0.7357084,7.048348394372469e-158,Astrocyte,MERFISH_spatial
Astro_3,22,SORCS3,20.412447,0.6678334,4.8610481830306136e-92,Astrocyte,MERFISH_spatial
Astro_3,23,SULF1,19.781967,0.5367594,1.5327007997224624e-86,Astrocyte,MERFISH_spatial
Astro_3,24,ADAMTS3,18.848019,0.8171216,1.0766750716254601e-78,Astrocyte,MERFISH_spatial
Astro_3,25,GRIK3,18.377897,0.6491301,6.835626926881965e-75,Astrocyte,MERFISH_spatial
Astro_3,26,CLSTN2,17.640915,0.39510772,4.058791897939555e-69,Astrocyte,MERFISH_spatial
Astro_3,27,HTR2A,16.847916,0.46560135,3.556741777290145e-63,Astrocyte,MERFISH_spatial
Astro_3,28,NOS1,15.385112,0.55668443,6.393708420119776e-53,Astrocyte,MERFISH_spatial
Astro_3,29,SATB2,14.91346,0.20902993,8.219651669735992e-50,Astrocyte,MERFISH_spatial
Astro_3,30,TSHZ2,14.571599,0.89204496,1.2564840053802137e-47,Astrocyte,MERFISH_spatial
Astro_3,31,FBXL7,13.015462,0.17946705,2.90138437655799e-38,Astrocyte,MERFISH_spatial
Astro_3,32,NPY,12.133384,0.48974583,2.0081056733182886e-33,Astrocyte,MERFISH_spatial
Astro_3,33,SEMA3E,11.907949,0.7249763,3.026001800247475e-32,Astrocyte,MERFISH_spatial
Astro_3,34,ITGB8,11.004021,0.21416609,1.0120596740814567e-27,Astrocyte,MERFISH_spatial
Astro_3,35,CTSS,9.830733,0.38699,2.2301714320313334e-22,Astrocyte,MERFISH_spatial
Astro_3,36,GRIN3A,9.576094,0.43842167,2.667829579101152e-21,Astrocyte,MERFISH_spatial
Astro_3,37,DLC1,9.519652,0.42452884,4.5328514458677226e-21,Astrocyte,MERFISH_spatial
Astro_3,38,NKAIN2,7.4266825,0.15271926,2.745747745734801e-13,Astrocyte,MERFISH_spatial
Astro_3,39,NDNF,7.037116,0.33048388,4.710220881795432e-12,Astrocyte,MERFISH_spatial
Astro_3,40,SORCS1,6.2877393,0.17498651,7.530140407398188e-10,Astrocyte,MERFISH_spatial
Astro_3,41,PALMD,6.271207,0.25316277,8.26755434980221e-10,Astrocyte,MERFISH_spatial
Astro_3,42,RGS12,5.9796224,0.020326072,5.095954612221315e-09,Astrocyte,MERFISH_spatial
Astro_3,43,SLIT3,5.6864257,0.20262195,2.8476428223295438e-08,Astrocyte,MERFISH_spatial
Astro_3,44,TMEM132D,5.5791874,0.13027006,5.1780997796077716e-08,Astrocyte,MERFISH_spatial
Astro_3,45,ASIC2,5.4118476,0.16878636,1.3055798429725456e-07,Astrocyte,MERFISH_spatial
Astro_3,46,CDH6,5.2158685,0.23542213,3.7423238826174643e-07,Astrocyte,MERFISH_spatial
Astro_3,47,HCN1,5.0653067,0.15639064,8.154864663680657e-07,Astrocyte,MERFISH_spatial
Astro_3,48,KIAA1217,4.9970484,0.113849476,1.1514942372114064e-06,Astrocyte,MERFISH_spatial
Astro_3,49,GRIN2A,4.6255603,0.061967038,7.309311482481318e-06,Astrocyte,MERFISH_spatial
Astro_3,50,EYA4,4.3061557,0.26166147,3.180949305112512e-05,Astrocyte,MERFISH_spatial
Astro_1,1,GPC5,157.5942,1.6185912,0.0,Astrocyte,MERFISH_spatial
Astro_1,2,ETNPPL,143.12024,1.196586,0.0,Astrocyte,MERFISH_spatial
Astro_1,3,EGFR,129.46628,1.767574,0.0,Astrocyte,MERFISH_spatial
Astro_1,4,LRP1B,123.704185,1.8349165,0.0,Astrocyte,MERFISH_spatial
Astro_1,5,RORB,123.441475,1.8198175,0.0,Astrocyte,MERFISH_spatial
Astro_1,6,HPSE2,120.60478,2.7067502,0.0,Astrocyte,MERFISH_spatial
Astro_1,7,RYR3,110.681,0.85616696,0.0,Astrocyte,MERFISH_spatial
Astro_1,8,DGKG,105.71606,1.4007355,0.0,Astrocyte,MERFISH_spatial
Astro_1,9,CACHD1,94.65438,1.2166322,0.0,Astrocyte,MERFISH_spatial
Astro_1,10,TOX,75.75671,1.2996337,0.0,Astrocyte,MERFISH_spatial
Astro_1,11,PLCB1,71.812645,1.4212595,0.0,Astrocyte,MERFISH_spatial
Astro_1,12,NPAS3,69.08595,0.9718919,0.0,Astrocyte,MERFISH_spatial
Astro_1,13,SLC14A1,66.883865,0.9161137,0.0,Astrocyte,MERFISH_spatial
Astro_1,14,ROBO1,61.809986,1.1911509,0.0,Astrocyte,MERFISH_spatial
Astro_1,15,NTNG2,52.40597,0.7416553,0.0,Astrocyte,MERFISH_spatial
Astro_1,16,NFIA,48.2051,0.7796242,0.0,Astrocyte,MERFISH_spatial
Astro_1,17,FEZF2,45.97847,0.89267397,0.0,Astrocyte,MERFISH_spatial
Astro_1,18,TENM2,43.260593,0.8631468,0.0,Astrocyte,MERFISH_spatial
Astro_1,19,CUX2,39.761246,1.0044553,0.0,Astrocyte,MERFISH_spatial
Astro_1,20,MEIS2,36.974937,0.54497206,1.6813098164958337e-298,Astrocyte,MERFISH_spatial
Astro_1,21,STXBP6,35.61884,0.76113385,4.0269707403178763e-277,Astrocyte,MERFISH_spatial
Astro_1,22,DACH1,34.11602,0.89302444,2.2601457602266418e-254,Astrocyte,MERFISH_spatial
Astro_1,23,ATRNL1,32.287754,0.7105736,5.344081214785159e-228,Astrocyte,MERFISH_spatial
Astro_1,24,COL11A1,31.559082,0.6573489,6.54745183958228e-218,Astrocyte,MERFISH_spatial
Astro_1,25,SOX6,30.81947,0.6391226,6.634349562955425e-208,Astrocyte,MERFISH_spatial
Astro_1,26,TACR1,29.211905,0.6138447,5.867877919636691e-187,Astrocyte,MERFISH_spatial
Astro_1,27,RFX3,27.312935,0.54603,1.191208353713489e-163,Astrocyte,MERFISH_spatial
Astro_1,28,PDE4B,26.888918,0.58464175,1.158257410795021e-158,Astrocyte,MERFISH_spatial
Astro_1,29,RBFOX3,24.501057,0.60001504,5.287328184168575e-132,Astrocyte,MERFISH_spatial
Astro_1,30,PAX6,23.247923,0.5011172,5.374916947857189e-119,Astrocyte,MERFISH_spatial
Astro_1,31,TAFA1,22.713173,0.63848126,1.1492068835798965e-113,Astrocyte,MERFISH_spatial
Astro_1,32,RBFOX1,17.274157,0.39162457,2.3670347613127498e-66,Astrocyte,MERFISH_spatial
Astro_1,33,LAMP5,16.503513,0.44161102,1.0931097056865342e-60,Astrocyte,MERFISH_spatial
Astro_1,34,SEMA6D,14.074346,0.4365097,1.6382513387434962e-44,Astrocyte,MERFISH_spatial
Astro_1,35,DCC,13.286645,0.334102,8.16520649357499e-40,Astrocyte,MERFISH_spatial
Astro_1,36,LRRK1,12.741837,0.37765068,1.00495016730512e-36,Astrocyte,MERFISH_spatial
Astro_1,37,FRMPD4,12.510135,0.31902745,1.877505386394553e-35,Astrocyte,MERFISH_spatial
Astro_1,38,ITGB8,11.910511,0.36137727,2.845537090221721e-32,Astrocyte,MERFISH_spatial
Astro_1,39,CNTNAP5,11.642096,0.29218975,6.763513907163584e-31,Astrocyte,MERFISH_spatial
Astro_1,40,ANK1,11.468686,0.36165288,5.016568695138517e-30,Astrocyte,MERFISH_spatial
Astro_1,41,NKAIN2,10.535155,0.23650138,1.4871255874259108e-25,Astrocyte,MERFISH_spatial
Astro_1,42,PRRT4,9.597387,0.21821563,1.9679148084066962e-21,Astrocyte,MERFISH_spatial
Astro_1,43,CARTPT,9.589706,0.3276078,2.092164362926161e-21,Astrocyte,MERFISH_spatial
Astro_1,44,PLD5,9.323385,0.27482414,2.5354523606102136e-20,Astrocyte,MERFISH_spatial
Astro_1,45,GRM7,9.2989,0.26437008,3.153492063873361e-20,Astrocyte,MERFISH_spatial
Astro_1,46,KCNIP4,8.886993,0.3118425,1.378200016155466e-18,Astrocyte,MERFISH_spatial
Astro_1,47,CNTN5,8.835712,0.20195864,2.15701583385347e-18,Astrocyte,MERFISH_spatial
Astro_1,48,LUZP2,8.436788,0.18857327,6.907282567580669e-17,Astrocyte,MERFISH_spatial
Astro_1,49,ZMAT4,7.3346515,0.22471063,4.599301134387438e-13,Astrocyte,MERFISH_spatial
Astro_1,50,SLC32A1,7.189927,0.15205863,1.3259859922375784e-12,Astrocyte,MERFISH_spatial
Astro_5,1,NPAS3,26.633919,0.473545,4.12291980575359e-155,Astrocyte,MERFISH_spatial
Astro_5,2,ID3,21.916063,1.2706451,1.9331968155744622e-105,Astrocyte,MERFISH_spatial
Astro_5,3,TAFA1,21.591982,1.7893043,2.136530498165486e-102,Astrocyte,MERFISH_spatial
Astro_5,4,SNTB1,20.002283,0.6747341,4.7346704416992837e-88,Astrocyte,MERFISH_spatial
Astro_5,5,PDE4B,19.60938,0.13141944,1.1021808258655004e-84,Astrocyte,MERFISH_spatial
Astro_5,6,LRRC4C,18.65999,1.361091,8.570559029953258e-77,Astrocyte,MERFISH_spatial
Astro_5,7,TACR1,15.178852,1.0768173,3.5154273871345476e-51,Astrocyte,MERFISH_spatial
Astro_5,8,CD74,14.473302,0.44435716,1.1912368026305161e-46,Astrocyte,MERFISH_spatial
Astro_5,9,DCN,10.097198,1.2287278,2.8421638009968417e-23,Astrocyte,MERFISH_spatial
Astro_5,10,CUX2,10.0901575,0.8672864,2.97105228023062e-23,Astrocyte,MERFISH_spatial
Astro_5,11,GRIN2A,9.208194,0.44770133,1.4924652379509533e-19,Astrocyte,MERFISH_spatial
Astro_5,12,UNC5B,8.535788,-0.0053115613,5.827156217579185e-17,Astrocyte,MERFISH_spatial
Astro_5,13,NFIA,7.759925,-0.33355546,3.121700901784547e-14,Astrocyte,MERFISH_spatial
Astro_5,14,DLC1,7.642412,1.2617738,7.674818386054856e-14,Astrocyte,MERFISH_spatial
Astro_5,15,GRIP2,7.637514,0.8963144,7.816085585243341e-14,Astrocyte,MERFISH_spatial
Astro_5,16,ITGB8,7.168842,-0.25979394,2.4753258660639284e-12,Astrocyte,MERFISH_spatial
Astro_5,17,RGS12,7.114908,-0.3811994,3.536445260172854e-12,Astrocyte,MERFISH_spatial
Astro_5,18,LAMP5,6.186901,0.63486445,1.8719548459110653e-09,Astrocyte,MERFISH_spatial
Astro_5,19,RFX3,5.6860933,-0.5824199,3.7735658947486765e-08,Astrocyte,MERFISH_spatial
Astro_5,20,RBFOX3,5.5169806,0.13270916,9.699572433932315e-08,Astrocyte,MERFISH_spatial
Astro_5,21,PALMD,4.9982977,0.79488015,1.4872781789985614e-06,Astrocyte,MERFISH_spatial
Astro_5,22,HS3ST2,4.2197013,0.4897852,5.7185392683298715e-05,Astrocyte,MERFISH_spatial
Astro_5,23,EBF1,2.8491356,0.8976748,0.008394544584687066,Astrocyte,MERFISH_spatial
Astro_5,24,SLC32A1,2.2835414,0.3022228,0.03803517312920964,Astrocyte,MERFISH_spatial
Astro_5,25,SATB2,1.991094,-0.4645134,0.0746848148467138,Astrocyte,MERFISH_spatial
Astro_5,26,NOSTRIN,1.8194509,0.50286627,0.10720758374579467,Astrocyte,MERFISH_spatial
Astro_5,27,VIP,1.7007662,0.7512934,0.1334803504443014,Astrocyte,MERFISH_spatial
Astro_5,28,CTSS,1.1844403,0.35436407,0.3197217144828599,Astrocyte,MERFISH_spatial
Astro_5,29,ZNF804A,1.1551799,0.4143102,0.3282574741305228,Astrocyte,MERFISH_spatial
Astro_5,30,LHX6,1.0041667,0.3298374,0.4025083901610105,Astrocyte,MERFISH_spatial
Astro_5,31,PDGFD,0.93708766,0.42410573,0.4358918256867511,Astrocyte,MERFISH_spatial
Astro_5,32,ITGA8,0.65121496,0.31470427,0.5855196305760183,Astrocyte,MERFISH_spatial
Astro_5,33,Blank-4,0.59758186,0.3628172,0.6074933400935222,Astrocyte,MERFISH_spatial
Astro_5,34,LRRK1,0.42353427,0.16879754,0.7198987472718927,Astrocyte,MERFISH_spatial
Astro_5,35,FOXP2,0.40891722,0.19891334,0.7270300311445018,Astrocyte,MERFISH_spatial
Astro_5,36,ANK1,0.38827324,0.18158129,0.7388617077540109,Astrocyte,MERFISH_spatial
Astro_5,37,Blank-19,0.36932236,0.31148186,0.7493552194098966,Astrocyte,MERFISH_spatial
Astro_5,38,DLX1,0.12459742,0.068998456,0.9213159554944811,Astrocyte,MERFISH_spatial
Astro_5,39,SLIT3,0.103731595,0.16523804,0.9283472593983472,Astrocyte,MERFISH_spatial
Astro_5,40,SV2C,0.10291266,0.13993704,0.9283472593983472,Astrocyte,MERFISH_spatial
Astro_5,41,Blank-36,0.04829111,0.161029,0.9668556601361632,Astrocyte,MERFISH_spatial
Astro_5,42,ZNF385D,-0.0018429232,0.19527796,0.9985295608292574,Astrocyte,MERFISH_spatial
Astro_5,43,Blank-9,-0.1419754,0.15490268,0.912445128625897,Astrocyte,MERFISH_spatial
Astro_5,44,SCUBE1,-0.15927818,0.12183091,0.9035686597527419,Astrocyte,MERFISH_spatial
Astro_5,45,Blank-2,-0.2747873,0.011767922,0.8151811294286576,Astrocyte,MERFISH_spatial
Astro_5,46,ASIC2,-0.3380247,0.093330905,0.7695466449611501,Astrocyte,MERFISH_spatial
Astro_5,47,Blank-37,-0.43974262,-0.14664221,0.7115103778524162,Astrocyte,MERFISH_spatial
Astro_5,48,NXPH2,-0.5022703,-0.06427563,0.6673851660300453,Astrocyte,MERFISH_spatial
Astro_5,49,Blank-11,-0.5683406,0.06062899,0.6216040688406855,Astrocyte,MERFISH_spatial
Astro_5,50,Blank-33,-0.5748603,-0.17349003,0.6205453869253641,Astrocyte,MERFISH_spatial
Astro_4,1,ID3,89.57511,3.6773825,0.0,Astrocyte,MERFISH_spatial
Astro_4,2,DCLK1,83.3103,3.148884,0.0,Astrocyte,MERFISH_spatial
Astro_4,3,KAZN,73.7744,2.3970337,0.0,Astrocyte,MERFISH_spatial
Astro_4,4,SNTB1,54.484623,1.5424083,0.0,Astrocyte,MERFISH_spatial
Astro_4,5,UNC5B,53.08409,1.3684942,0.0,Astrocyte,MERFISH_spatial
Astro_4,6,CD74,43.483475,1.2932109,0.0,Astrocyte,MERFISH_spatial
Astro_4,7,RGS12,42.68126,0.5115897,0.0,Astrocyte,MERFISH_spatial
Astro_4,8,MOG,30.58812,1.4056855,1.2679896050767787e-204,Astrocyte,MERFISH_spatial
Astro_4,9,RGS6,23.855358,1.2223924,5.173269904229369e-125,Astrocyte,MERFISH_spatial
Astro_4,10,SEMA6D,18.885609,0.05572382,7.703952680403088e-79,Astrocyte,MERFISH_spatial
Astro_4,11,PALMD,9.7615795,1.0563658,5.80843838933247e-22,Astrocyte,MERFISH_spatial
