subclass,diagnosis,n_cells,cell_area_median,cell_area_mean,cell_area_std,nucleus_area_median,nucleus_area_mean,nucleus_area_std,nc_ratio_median
Pvalb,Control,11656,228.5,219.3,76.2,59.7,57.3,30.3,0.255
Pvalb,SCZ,8994,225.1,215.4,67.5,56.4,54.2,26.7,0.246
L5 IT,Control,25673,224.7,221.6,77.0,58.1,58.2,32.5,0.255
Pax6,Control,2780,224.3,218.1,68.7,57.0,55.4,26.0,0.248
L5 IT,SCZ,22893,221.0,216.0,68.1,56.0,55.1,27.8,0.25
Pax6,SCZ,2173,220.7,214.4,61.2,55.1,53.1,22.5,0.246
Lamp5,Control,7999,210.5,204.8,66.8,48.9,46.6,25.5,0.228
Vip,Control,13391,207.2,201.4,59.9,50.1,46.3,22.1,0.231
Lamp5,SCZ,7202,206.7,200.8,61.7,48.5,45.0,23.1,0.226
L6 IT,Control,11837,204.4,210.6,87.0,47.4,53.8,36.3,0.24
L5/6 NP,Control,3198,203.4,202.7,70.4,50.1,49.5,27.5,0.242
Vip,SCZ,11116,203.2,197.4,55.4,48.6,45.0,19.9,0.229
Sst,Control,15090,201.6,197.0,59.4,48.5,45.8,21.6,0.231
L6 IT,SCZ,12806,201.3,204.8,78.3,46.7,51.0,31.7,0.238
L5/6 NP,SCZ,3572,199.1,195.8,62.8,47.2,46.3,23.6,0.237
L2/3 IT,Control,60861,198.3,199.6,76.3,44.1,46.4,30.4,0.222
Sst,SCZ,14013,194.8,191.2,56.2,46.4,43.7,19.7,0.228
L2/3 IT,SCZ,52295,194.0,193.7,70.5,43.1,43.8,27.0,0.22
Astrocyte,Control,85106,192.1,189.1,63.9,41.8,40.5,22.4,0.212
L6 IT Car3,Control,2815,190.0,196.5,80.1,42.7,47.7,32.5,0.229
L6 CT,Control,5284,187.3,192.4,76.9,43.7,46.5,30.2,0.232
Astrocyte,SCZ,86264,186.9,185.3,64.5,39.6,39.1,22.4,0.207
L6b,SCZ,6274,186.3,192.5,73.4,45.5,49.9,29.2,0.252
L6 IT Car3,SCZ,3346,185.6,189.3,71.0,42.0,44.5,27.3,0.228
L6b,Control,4996,184.6,196.3,82.3,45.3,51.4,33.5,0.251
Sncg,Control,3017,184.0,184.7,64.8,37.2,37.3,23.6,0.201
L6 CT,SCZ,6496,182.9,185.2,69.5,42.5,43.3,25.8,0.228
L4 IT,Control,18928,181.1,184.0,65.8,39.6,40.7,25.4,0.216
Microglia-PVM,Control,40792,180.4,180.0,62.8,40.8,39.8,21.0,0.219
L4 IT,SCZ,17531,179.2,181.3,62.3,40.1,39.7,23.3,0.218
Sncg,SCZ,3076,179.0,178.7,63.2,35.5,35.5,22.4,0.195
OPC,Control,19728,177.5,177.7,60.7,41.9,41.1,20.7,0.227
OPC,SCZ,21085,177.3,177.3,60.4,40.8,40.6,21.1,0.224
Microglia-PVM,SCZ,40193,177.1,177.6,63.1,38.8,38.5,21.0,0.214
Endothelial,SCZ,64282,170.4,171.5,60.5,36.0,36.0,19.0,0.205
Endothelial,Control,77588,167.3,167.9,59.8,35.7,35.3,18.1,0.206
Oligodendrocyte,Control,139352,166.4,165.0,49.2,38.1,35.7,15.0,0.214
Oligodendrocyte,SCZ,165309,165.3,163.2,48.2,36.9,34.9,14.2,0.21
Chandelier,SCZ,5496,164.3,170.4,62.8,30.3,33.7,23.0,0.188
Chandelier,Control,6039,164.2,172.3,65.3,28.2,33.9,24.2,0.177
Sst Chodl,Control,409,162.9,174.6,78.3,32.7,39.0,30.7,0.2
Sst Chodl,SCZ,465,162.3,171.2,72.3,33.7,38.8,28.9,0.207
Lamp5 Lhx6,Control,799,157.7,158.1,53.3,28.5,29.0,16.8,0.184
L5 ET,SCZ,3640,154.2,167.5,73.6,29.5,36.4,29.5,0.193
L5 ET,Control,4705,153.6,166.8,73.8,27.9,35.2,29.2,0.186
Lamp5 Lhx6,SCZ,1738,153.5,150.0,49.3,29.4,27.1,13.2,0.18
VLMC,SCZ,53225,125.4,131.9,60.3,26.9,29.2,18.8,0.21
VLMC,Control,45992,122.2,128.6,59.3,26.6,28.5,17.9,0.214
