supertype,diagnosis,n_cells,cell_area_median,cell_area_mean,cell_area_std,nucleus_area_median,nucleus_area_mean,nucleus_area_std,nc_ratio_median
L5/6 NP_6,Control,470,255.3,248.0,61.6,70.5,67.7,24.6,0.273
L6 IT Car3_3,Control,872,254.1,246.4,73.3,72.0,70.6,30.3,0.283
L2/3 IT_8,Control,5325,249.8,239.4,78.4,66.4,64.4,32.6,0.264
Pvalb_5,Control,505,248.1,239.4,59.9,68.1,65.5,24.0,0.272
Vip_6,Control,275,247.3,242.4,55.6,66.0,65.0,22.6,0.264
L6 IT Car3_3,SCZ,862,245.3,240.2,58.4,68.4,66.4,22.2,0.273
Pvalb_13,SCZ,247,243.2,233.1,60.0,65.6,63.0,24.6,0.265
Vip_6,SCZ,219,243.1,238.7,50.5,63.2,62.2,19.3,0.258
Pvalb_13,Control,526,242.3,238.2,65.7,67.7,66.0,27.3,0.269
Pvalb_8,Control,67,241.4,227.7,63.6,62.4,57.9,23.2,0.255
L5 IT_3,Control,269,239.9,232.3,84.4,63.4,64.4,36.5,0.269
L2/3 IT_8,SCZ,3172,239.5,230.8,71.0,62.4,60.2,28.1,0.257
Pvalb_12,Control,789,238.9,228.8,65.6,60.8,58.3,26.3,0.253
L5 IT_6,Control,10092,238.7,234.3,76.7,65.2,64.7,32.7,0.271
Vip_5,Control,340,238.1,232.1,56.6,61.1,60.9,22.3,0.256
Pvalb_15,Control,3564,238.0,227.1,78.7,64.8,61.5,31.5,0.263
L5/6 NP_6,SCZ,540,237.9,228.7,55.2,62.1,58.5,21.1,0.254
Pvalb_15,SCZ,2599,236.9,226.6,68.5,61.8,59.7,27.3,0.256
Pvalb_10,Control,994,236.6,232.9,74.9,68.4,66.1,30.5,0.279
L5 IT_1,Control,899,236.2,229.2,62.2,63.3,60.8,24.5,0.265
Pvalb_10,SCZ,660,235.9,231.2,72.5,64.4,63.5,29.7,0.269
Sst_12,SCZ,330,235.7,227.6,57.9,58.7,57.0,22.7,0.249
Vip_11,Control,553,234.9,226.7,50.1,59.8,56.6,17.7,0.248
Pvalb_5,SCZ,355,234.7,229.5,56.8,63.2,61.1,21.8,0.266
L5 IT_6,SCZ,7617,234.6,228.8,65.3,63.8,61.6,26.9,0.265
