subclass,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
Astrocyte,cell,-0.02192,0.01281,0.0870,-0.04703,0.00318,-2.17,86248,83309,12,11,True,0.5638
Astrocyte,nucleus,-0.03964,0.0224,0.0768,-0.08354,0.00426,-3.89,86248,83309,12,11,True,0.5727
Chandelier,cell,0.00171,0.02342,0.9418,-0.0442,0.04762,0.17,7368,6468,12,11,True,0.9567
Chandelier,nucleus,0.03433,0.05405,0.5253,-0.07161,0.14028,3.49,7368,6468,12,11,True,0.8707
Endothelial,cell,0.02046,0.01338,0.1262,-0.00576,0.04669,2.07,78767,62197,12,11,True,0.5638
Endothelial,nucleus,0.0055,0.01814,0.7619,-0.03006,0.04105,0.55,78767,62197,12,11,True,0.8707
L2/3 IT,cell,-0.02878,0.0207,0.1645,-0.06936,0.0118,-2.84,69562,57292,12,11,True,0.5638
L2/3 IT,nucleus,-0.04505,0.04148,0.2775,-0.12636,0.03626,-4.41,69562,57292,12,11,True,0.8707
L4 IT,cell,-0.0022,0.01864,0.9061,-0.03873,0.03433,-0.22,22176,19497,12,11,True,0.9567
L4 IT,nucleus,0.01909,0.04077,0.6396,-0.06083,0.09901,1.93,22176,19497,12,11,True,0.8707
L5 ET,cell,0.0221,0.02055,0.2821,-0.01818,0.06239,2.24,6115,4499,12,11,True,0.6376
L5 ET,nucleus,0.06804,0.0363,0.0608,-0.0031,0.13918,7.04,6115,4499,12,11,True,0.5727
L5 IT,cell,-0.01259,0.01629,0.4399,-0.04452,0.01935,-1.25,32202,27688,12,11,True,0.7541
L5 IT,nucleus,-0.02052,0.02703,0.4478,-0.0735,0.03246,-2.03,32202,27688,12,11,True,0.8707
L5/6 NP,cell,-0.01998,0.01735,0.2497,-0.05399,0.01404,-1.98,3508,3873,12,11,True,0.6376
L5/6 NP,nucleus,-0.02193,0.03284,0.5043,-0.08631,0.04244,-2.17,3508,3873,12,11,True,0.8707
L6 CT,cell,-0.01778,0.02294,0.4385,-0.06275,0.02719,-1.76,6013,7193,12,11,True,0.7541
L6 CT,nucleus,-0.01309,0.03943,0.7399,-0.09039,0.0642,-1.3,6013,7193,12,11,True,0.8707
L6 IT,cell,0.00725,0.02061,0.7249,-0.03314,0.04764,0.73,15104,15686,12,11,True,0.9567
L6 IT,nucleus,0.02094,0.0372,0.5736,-0.05198,0.09385,2.12,15104,15686,12,11,True,0.8707
L6 IT Car3,cell,-0.00654,0.02601,0.8014,-0.05752,0.04444,-0.65,3083,3544,12,11,True,0.9567
L6 IT Car3,nucleus,0.00459,0.04476,0.9183,-0.08314,0.09232,0.46,3083,3544,12,11,True,0.9183
L6b,cell,0.00511,0.021,0.8077,-0.03605,0.04628,0.51,7473,9188,12,11,True,0.9567
L6b,nucleus,0.02172,0.03201,0.4974,-0.04102,0.08446,2.2,7473,9188,12,11,True,0.8707
Lamp5,cell,-0.00553,0.01745,0.7512,-0.03974,0.02867,-0.55,8701,7635,12,11,True,0.9567
Lamp5,nucleus,-0.0056,0.03596,0.8762,-0.07609,0.06488,-0.56,8701,7635,12,11,True,0.9143
