celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
Astrocyte,cell,-0.02369,0.01225,0.0533,-0.0477,0.00033,-2.34,85106,86264,12,12,True,0.3904
Astrocyte,nucleus,-0.0462,0.02228,0.0381,-0.08987,-0.00253,-4.52,85106,86264,12,12,True,0.4574
Chandelier,cell,-0.0096,0.02321,0.6793,-0.0551,0.0359,-0.96,6039,5496,12,12,True,0.7871
Chandelier,nucleus,0.01516,0.05449,0.7808,-0.09164,0.12196,1.53,6039,5496,12,12,True,0.8173
Endothelial,cell,0.02135,0.01289,0.0976,-0.00391,0.04661,2.16,77588,64282,12,12,True,0.3904
Endothelial,nucleus,0.00884,0.0177,0.6175,-0.02585,0.04352,0.89,77588,64282,12,12,True,0.8173
L2/3 IT,cell,-0.03108,0.02362,0.1881,-0.07737,0.01521,-3.06,60861,52295,12,12,True,0.5017
L2/3 IT,nucleus,-0.04988,0.04705,0.2891,-0.1421,0.04235,-4.87,60861,52295,12,12,True,0.7037
L4 IT,cell,-0.00756,0.01886,0.6887,-0.04453,0.02942,-0.75,18928,17531,12,12,True,0.7871
L4 IT,nucleus,0.00928,0.04018,0.8173,-0.06947,0.08804,0.93,18928,17531,12,12,True,0.8173
L5 ET,cell,0.0126,0.02011,0.5311,-0.02682,0.05201,1.27,4705,3640,12,12,True,0.7418
L5 ET,nucleus,0.05276,0.03766,0.1612,-0.02105,0.12657,5.42,4705,3640,12,12,True,0.6447
L5 IT,cell,-0.02257,0.02054,0.2719,-0.06282,0.01769,-2.23,25673,22893,12,12,True,0.5933
L5 IT,nucleus,-0.0395,0.03393,0.2443,-0.106,0.027,-3.87,25673,22893,12,12,True,0.7037
L5/6 NP,cell,-0.02951,0.02028,0.1457,-0.06926,0.01024,-2.91,3198,3572,12,12,True,0.4370
L5/6 NP,nucleus,-0.03858,0.0367,0.2932,-0.11051,0.03336,-3.78,3198,3572,12,12,True,0.7037
L6 CT,cell,-0.02492,0.02425,0.3042,-0.07246,0.02262,-2.46,5284,6496,12,12,True,0.6085
L6 CT,nucleus,-0.02728,0.04046,0.5002,-0.10658,0.05203,-2.69,5284,6496,12,12,True,0.8173
L6 IT,cell,-0.01464,0.0251,0.5596,-0.06383,0.03455,-1.45,11837,12806,12,12,True,0.7418
L6 IT,nucleus,-0.01866,0.04515,0.6794,-0.10716,0.06984,-1.85,11837,12806,12,12,True,0.8173
L6 IT Car3,cell,-0.01552,0.02859,0.5872,-0.07156,0.04052,-1.54,2815,3346,12,12,True,0.7418
L6 IT Car3,nucleus,-0.01297,0.04972,0.7942,-0.11042,0.08448,-1.29,2815,3346,12,12,True,0.8173
L6b,cell,-0.00164,0.02598,0.9496,-0.05256,0.04927,-0.16,4996,6274,12,12,True,0.9496
