celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
Astro_2,cell,-0.02466,0.0178,0.1660,-0.05955,0.01024,-2.44,49724,38041,12,12,True,0.6871
Astro_2,nucleus,-0.04147,0.03192,0.1939,-0.10404,0.0211,-4.06,49724,38041,12,12,True,0.9697
Astro_3,cell,0.00383,0.02005,0.8483,-0.03546,0.04313,0.38,6415,11165,12,12,True,0.9485
Astro_3,nucleus,0.03563,0.03902,0.3612,-0.04085,0.11211,3.63,6415,11165,12,12,True,0.9817
Astro_4,cell,-0.04095,0.01961,0.0368,-0.07939,-0.00251,-4.01,6065,6738,12,12,True,0.6520
Astro_4,nucleus,-0.05877,0.0368,0.1103,-0.1309,0.01336,-5.71,6065,6738,12,12,True,0.6964
Astro_5,cell,-0.04411,0.01904,0.0205,-0.08142,-0.0068,-4.32,22350,20667,12,12,True,0.4916
Astro_5,nucleus,-0.09255,0.03728,0.0130,-0.16561,-0.01949,-8.84,22350,20667,12,12,True,0.3129
Astro_6-SEAAD,cell,0.02397,0.03312,0.4693,-0.04095,0.08889,2.43,454,9465,12,12,True,0.8955
Astro_6-SEAAD,nucleus,0.0381,0.05918,0.5197,-0.07789,0.15408,3.88,454,9465,12,12,True,0.9817
Chandelier_1,cell,-0.02351,0.02786,0.3988,-0.07812,0.0311,-2.32,2409,1931,12,12,True,0.8955
Chandelier_1,nucleus,-0.00735,0.06508,0.9101,-0.13491,0.12021,-0.73,2409,1931,12,12,True,0.9817
Chandelier_2,cell,-0.00409,0.02121,0.8471,-0.04567,0.03749,-0.41,3630,3565,12,12,True,0.9485
Chandelier_2,nucleus,0.02353,0.05242,0.6536,-0.07922,0.12627,2.38,3630,3565,12,12,True,0.9817
Endo_1,cell,0.07298,0.02579,0.0047,0.02242,0.12353,7.57,17033,14510,12,12,True,0.2800
Endo_1,nucleus,0.0257,0.02238,0.2507,-0.01815,0.06956,2.6,17033,14510,12,12,True,0.9817
Endo_2,cell,0.00781,0.01077,0.4684,-0.01329,0.02891,0.78,54513,42669,12,12,True,0.8955
Endo_2,nucleus,-0.00575,0.01754,0.7429,-0.04014,0.02863,-0.57,54513,42669,12,12,True,0.9817
Endo_3,cell,0.01833,0.01822,0.3146,-0.01739,0.05404,1.85,6042,7103,12,12,True,0.8955
Endo_3,nucleus,0.00066,0.02803,0.9813,-0.05428,0.0556,0.07,6042,7103,12,12,True,0.9850
L2/3 IT_1,cell,-0.02019,0.02337,0.3876,-0.066,0.02561,-2.0,17781,15719,12,12,True,0.8955
L2/3 IT_1,nucleus,-0.01325,0.0532,0.8033,-0.11753,0.09103,-1.32,17781,15719,12,12,True,0.9817
L2/3 IT_10,cell,-0.00594,0.03218,0.8537,-0.06902,0.05715,-0.59,4109,2882,12,12,True,0.9485
