celltype,merfish_prop,xenium_prop
Astrocyte,0.13187554927870235,0.11707072985540773
Chandelier,0.0035512515417228684,0.014286595866652707
Endothelial,0.05486217786306771,0.16411018128414373
L2/3 IT,0.13410217251962311,0.21094691221840126
L4 IT,0.07994664995654388,0.04722975166898599
L5 ET,0.004880607054113206,0.002534588459222105
L5 IT,0.07388429347638056,0.01786504643989818
L5/6 NP,0.009770387520067213,0.005115196312277648
L6 CT,0.00936301826132646,0.002533318824483779
L6 IT,0.03678253773194726,0.01459284133510124
L6 IT Car3,0.02841026499962487,0.0007846750226539962
L6b,0.01452072688347652,0.0203374620373569
Lamp5,0.016495218695661774,0.013353853500183829
Lamp5 Lhx6,0.011180076577208873,0.002402672195315005
Microglia-PVM,0.10390523299587441,0.041048960688032606
OPC,0.03996703116965988,0.006408587369922444
Oligodendrocyte,0.11904112744426572,0.1312240180165844
Pax6,0.002597395655711489,0.006136151623622149
Pvalb,0.026027615301964773,0.03829701301611443
Sncg,0.006059978523011771,0.007990304923186241
Sst,0.020845377099418635,0.021357381686754506
Sst Chodl,0.002724776299792295,0.004905204836620256
VLMC,0.04584430650612539,0.059288233453918954
Vip,0.023362226644708942,0.050180319365159924
