,pearson_r,spearman_rho,mean_sn,mean_mer,mean_both,var_sn,var_mer,log2fc_mer_vs_sn,abs_log2fc,det_rate_sn,det_rate_mer,det_ratio,entropy_sn,entropy_mer,max_over_mean_sn,cv_sn,cv_mer,top_ct_sn,top_ct_mer,same_top_ct,biotype,r_quintile,r_bin
A2M,0.9266605607699604,0.3956521739130434,0.25125557454166664,0.61008778125,0.43067167789583327,0.40057160646490847,1.6033432695538026,1.2764934830171923,1.2764934830171923,0.10881772430321346,0.18532186267497888,1.6875405482205574,2.496908849676665,2.882606745613268,10.27797454727418,2.465940946865082,2.0317919092327177,Endothelial,Endothelial,True,protein_coding,Q5 (best),>0.9
A2M-AS1,0.448065273640168,0.5382608695652172,0.02001486029166667,0.09653796187500001,0.05827641108333334,4.22509992180877e-05,0.0038006904378713904,2.2145539611717644,2.2145539611717644,0.05201634341566428,0.035588255644993655,0.6712695246816796,4.508096160541954,4.2742313256625,1.4925779927845984,0.3179246679132589,0.6251603427115502,OPC,L5 IT,False,antisense,Q2,0.3-0.5
AAK1,0.7095840303081786,0.5617391304347825,1.30442811375,0.7891788460833333,1.0468034799166666,0.11730120446060599,0.1959082800606371,-0.724271885199512,0.724271885199512,0.946082751288416,0.15669903360471626,0.16545442665019727,4.533385866791177,4.31384628234432,1.512423627798401,0.25703329434234545,0.5490466645856074,Sst,L4 IT,False,protein_coding,Q3,0.7-0.9
AATBC,0.1460430255392566,0.3205044650674097,0.0013740210449999998,0.0261616800875,0.01376785056625,9.92917751758528e-07,0.00036556393592299943,3.5161680911214943,3.5161680911214943,0.0038600758905486103,0.007472841755656484,1.5375977503126892,4.221408661366754,4.233761261020373,3.2611339661103957,0.709939843011866,0.7154418467452223,Sst Chodl,L2/3 IT,False,protein_coding,Q1 (worst),0-0.3
ABCA12,0.5902704469335731,0.657391304347826,0.024692552783333335,0.017403504670833334,0.021048028727083334,0.0010152823332870565,0.00016186493484543943,-0.4813697098971711,0.4813697098971711,0.05171045060924332,0.004405286343612334,0.08357519794831392,3.644651704263383,4.159609690492405,5.195165162776774,1.2632395694027967,0.7156455438901321,L6b,L5/6 NP,False,protein_coding,Q2,0.5-0.7
ABCA3,0.6967229226138443,0.5739130434782608,0.4715833837499999,0.26094552625,0.36626445499999993,0.029839216544677954,0.007627012727533319,-0.8513020818537251,0.8513020818537251,0.7182654421245092,0.08381576216067065,0.11652966659026784,4.46558919902441,4.494669679206407,1.528610559319776,0.35858614960130974,0.3276315203693492,L5/6 NP,L6 IT Car3,False,protein_coding,Q3,0.5-0.7
ABCA5,0.5885297303975676,0.6356521739130434,0.7768932764583333,0.179163758875,0.47802851766666665,0.11159144551130255,0.019556794436412676,-2.1102634046230797,2.1102634046230797,0.8711390137149952,0.04248448924049218,0.048712978748105415,4.416759294519974,4.163106105425859,1.5595795931244394,0.4209324294187323,0.7641119068505071,Sst Chodl,L2/3 IT,False,protein_coding,Q2,0.5-0.7
ABCA6,0.3495364667614922,0.5608695652173912,0.3021253604583333,0.07246764374999999,0.18729650210416665,0.06752723286648556,0.0013425802023742473,-2.0447336473076176,2.0447336473076176,0.5021303249011044,0.020434993196023602,0.04061570568230073,4.159355520295844,4.392644722119464,4.407798133793731,0.8419970935185976,0.49497615290748065,VLMC,L2/3 IT,False,protein_coding,Q1 (worst),0.3-0.5
ABCB10,0.5878803744562902,0.6356521739130434,0.2370362954166667,0.1733758573333333,0.205206076375,0.0025709926762775307,0.004725027397857154,-0.44898126018934015,0.44898126018934015,0.4523571953993531,0.05032636021865104,0.11100818676610961,4.552510471916511,4.470152663101954,1.5154751696087383,0.20940828780664775,0.38812519976672105,Lamp5 Lhx6,L4 IT,False,protein_coding,Q2,0.5-0.7
ABCB4,0.7904601543268654,0.4408695652173913,0.01244273372375,0.06782777620833334,0.04013525496604167,0.00045075177877132135,0.0022938969315886596,2.3561643425100263,2.3561643425100263,0.017450456290102393,0.021011601356182255,1.1388120177523071,3.305139410710513,4.3199732396657655,7.570329968582762,1.670364357993609,0.6912540181484171,Microglia-PVM,Microglia-PVM,True,protein_coding,Q4,0.7-0.9
ABCC12,0.5410813161870465,0.5843478260869565,0.029574147520833333,0.024535956612500003,0.02705505206666667,0.002536128567106536,0.0002664504150745423,-0.25978216815317096,0.25978216815317096,0.12591858881455664,0.006757847637059727,0.05324553085705796,3.1830907139589004,4.248428977857722,5.975176456921274,1.6669850127871086,0.6512736430725976,L5 ET,L6 IT Car3,False,protein_coding,Q2,0.5-0.7
ABCC3,0.9881106369721238,0.4834782608695652,0.030571790279166667,0.11448518672083334,0.0725284885,0.005659416100280997,0.06616692292076001,1.8709998329456294,1.8709998329456294,0.08062460397808166,0.024586571949165904,0.30121520657874234,2.823809185380374,2.9182220522121467,12.103995108594166,2.408924776271826,2.1995278714094804,L6 IT Car3,L6 IT Car3,True,protein_coding,Q5 (best),>0.9
ABCC9,0.66891441262851,0.7799999999999999,0.09946272040833333,0.10164512175,0.10055392107916666,0.023936262731894465,0.03531539988289672,0.031004817344334912,0.031004817344334912,0.14493492494705965,0.03489632585280317,0.23912251207490187,3.18907399573674,3.3969657243244935,4.982009017707133,1.5227413293856908,1.8098968361829952,L5/6 NP,VLMC,False,protein_coding,Q3,0.5-0.7
ABCD1,0.7911319436500435,0.7130434782608696,0.011777110854166667,0.09337816170833335,0.052577636281250006,0.00013993258034616804,0.0018542490730165293,2.8848914184354917,2.8848914184354917,0.021907751469377113,0.03717969416703178,1.6230180520656194,4.170543126463522,4.443264118196436,5.400216299866032,0.9832839617551694,0.45143685584346244,Endothelial,Endothelial,True,protein_coding,Q4,0.7-0.9
ABCD3,0.53635162190767,0.5391304347826086,0.30589308541666665,0.43202998541666665,0.36896153541666665,0.004941684184366965,0.018368857223182558,0.4967307877546705,0.4967307877546705,0.47765890038750464,0.1835920381945037,0.38355504942219676,4.55008056669136,4.513170471733135,1.4981580226822306,0.22497078852096683,0.30710400200260707,Astrocyte,Endothelial,False,protein_coding,Q2,0.5-0.7
ABCG4,0.8813129956834018,0.7982608695652172,0.04510122659583334,0.49387171720833334,0.26948647190208336,0.0008310387020223681,0.10781653139547097,3.4241775505397194,3.4241775505397194,0.1167345214598702,0.08596074451646116,0.7301235308945547,4.261815981772484,4.194648506105528,2.454138575695091,0.6257207665039554,0.6508588569840412,Pvalb,Pvalb,True,protein_coding,Q4,0.7-0.9
ABHD15,0.822879002080299,0.4635790498804054,0.008512958187083332,0.03495625775,0.021734607968541667,0.00021511549508684374,0.0011082367479718297,1.9182769339483392,1.9182769339483392,0.007006401899448784,0.014346011024748131,1.791817498661391,3.4184011883042014,4.1178564824953,8.064928605449044,1.686606012013834,0.9322870198129974,Microglia-PVM,Microglia-PVM,True,protein_coding,Q4,0.7-0.9
