,spearman_rho_with_r,p_value
entropy_sn,-0.4243400674876643,4.010512585634148e-145
abs_log2fc,-0.10395883134728467,1.9568036743664777e-09
det_rate_sn,0.14644245259734134,2.3172046246518566e-17
mean_sn,0.2500450474480529,1.8484180458438025e-48
mean_both,0.2918943705017167,3.7266650134106803e-66
det_rate_mer,0.2955022276493056,7.879179985126947e-68
mean_mer,0.3077048790302202,1.1219421316968294e-73
cv_sn,0.41226775518803493,2.6816362827159607e-136
var_sn,0.5567088834605284,2.3258534066042806e-269
cv_mer,0.5917080890459715,1.386757304633e-312
var_mer,0.595768730062337,5.99946e-318
