subclass,n_corr,agree_rate,top1_harmony,top1_frac,top2_harmony,top2_frac
Astrocyte,177684,0.7829798968956124,Astrocyte,0.7829798968956124,Sst,0.13617995992886248
Chandelier,14066,0.06661453149438362,Pvalb,0.6015213991184416,Sst,0.20602872174036685
Endothelial,145968,0.0,OPC,0.810910610544777,Sst,0.10188534473309219
L2/3 IT,127483,0.7886777060470808,L2/3 IT,0.7886777060470808,L4 IT,0.08231685793399904
L4 IT,40620,0.6669620876415558,L4 IT,0.6669620876415558,L5 IT,0.2189807976366322
L5 ET,9602,0.034055405123932514,L2/3 IT,0.3947094355342637,L5 IT,0.3846073734638617
L5 IT,54186,0.6114494518879415,L5 IT,0.6114494518879415,L2/3 IT,0.31871701177425904
L5/6 NP,7211,0.7433088337262516,L5/6 NP,0.7433088337262516,L5 IT,0.14228262376924145
L6 CT,12897,0.5807552143909436,L6 CT,0.5807552143909436,L5 IT,0.2889819337830503
L6 IT,28039,0.5292984771211526,L6 IT,0.5292984771211526,L5 IT,0.2926281251114519
L6 IT Car3,6257,0.8411379255234138,L6 IT Car3,0.8411379255234138,L5 IT,0.10404347131213042
L6b,14072,0.716529277998863,L6b,0.716529277998863,L5 IT,0.13338544627629334
Lamp5,16667,0.6441471170576588,Lamp5,0.6441471170576588,Lamp5 Lhx6,0.2272754544909102
Lamp5 Lhx6,2820,0.0035460992907801418,Sst,0.9411347517730496,Pvalb,0.042198581560283686
Microglia-PVM,81152,0.798969834384858,Microglia-PVM,0.798969834384858,Sst,0.11174093059936908
OPC,44881,0.45411198502707156,OPC,0.45411198502707156,Sst,0.14643167487355452
Oligodendrocyte,283460,0.8111585408876032,Oligodendrocyte,0.8111585408876032,Pvalb,0.09216115148521838
Pax6,6677,0.19050471768758426,Vip,0.4227946682641905,Pax6,0.19050471768758426
Pvalb,21904,0.9863038714390066,Pvalb,0.9863038714390066,Sst,0.007989408327246166
Sncg,6730,0.3433878157503715,Sncg,0.3433878157503715,Vip,0.3047548291233284
Sst,31188,0.9380210337309222,Sst,0.9380210337309222,Pvalb,0.03805951006797486
Sst Chodl,963,0.284527518172378,Sst,0.6915887850467289,Sst Chodl,0.284527518172378
VLMC,96456,0.0013477647839429377,Sst,0.5695342954300406,OPC,0.2954715103259517
Vip,24951,0.9742695683539738,Vip,0.9742695683539738,Sst,0.015229850506993707
