subclass,median_depth_merfish,n_cells_merfish,median_depth_xenium,n_cells_xenium
Astrocyte,0.47839053765180706,42140,0.34873326323524,134950
Chandelier,0.44386985003708357,1103,0.39805987059625236,10935
Endothelial,0.4613033455906679,18010,0.4137065100959768,115909
L2/3 IT,0.25547941737177554,44283,0.23506853536633063,110861
L4 IT,0.519592505463137,24573,0.5510854353346454,35285
L5 ET,0.6001120682467247,1501,0.5535600309226892,8187
L5 IT,0.619486385850357,23636,0.5699118359234299,47802
L5/6 NP,0.6547257133013646,3321,0.6278838258490035,6320
L6 CT,0.807204643000429,4615,0.7862303316782406,6998
L6 IT,0.8060051183284286,17117,0.7873788297084318,15463
L6 IT Car3,0.7203510179600437,10006,0.7887993644987891,5673
L6b,0.7926280582555653,6299,0.8014115840184155,5434
Lamp5,0.38953665105342666,4779,0.27065427000882336,13705
Lamp5 Lhx6,0.49194299710269573,3736,0.7981176364287305,106
Microglia-PVM,0.47641823616145523,35591,0.3857848276482224,54996
OPC,0.52478932122381,12759,0.4001003688752539,28408
Oligodendrocyte,0.6678586777649257,47522,0.5765818627997376,108645
Pax6,0.1888748256728372,806,0.15982397445301902,4751
Pvalb,0.472090297276219,8343,0.5258524694135696,19670
Sncg,0.1312764780083764,1829,0.11402477392150104,5680
Sst,0.54263347578508,6974,0.525989958865304,27096
Sst Chodl,0.448586290612211,698,0.39738703642532003,541
VLMC,0.4545731415556765,14553,0.384301726825999,30297
Vip,0.2819848319109259,7401,0.28295840607091205,23708
