supertype,median_depth_merfish,n_cells_merfish,median_depth_xenium,n_cells_xenium
Astro_1,0.44923757849522605,26232,0.8091340289074248,52
Astro_2,0.4672809712117832,993,0.48824771316225274,67993
Astro_3,0.6149476097798571,12360,0.7579030999884961,770
Astro_4,0.2099601567132132,1325,0.20625944008495067,15027
Astro_5,0.28162760578621837,1129,0.182729075011495,13334
Astro_6-SEAAD,0.36973185414322907,101,0.42756899510328905,15593
Chandelier_1,0.47858645116981247,830,0.5151698259175347,4625
Chandelier_2,0.2696888056838348,273,0.3906942597335682,3781
Endo_1,0.4707315952012463,992,0.45789021350120557,30119
Endo_2,0.45815866304330227,13401,0.491564176276493,87625
Endo_3,0.47114829948023024,3617,0.46034626143874624,2485
L2/3 IT_1,0.1826441573313118,16394,0.2712533516495616,28638
L2/3 IT_2,0.3070953317036796,4507,0.3586677004401583,27590
L2/3 IT_3,0.4472779118896184,1280,0.484821912808652,4102
L2/3 IT_5,0.41733956157314667,1091,0.48719032521267946,4811
L2/3 IT_6,0.19837543828206783,6804,0.27670208365827925,602
L2/3 IT_7,0.20547150086070412,166,0.30141122082636584,21986
L2/3 IT_8,0.2376476756150348,94,0.3723343973223834,653
L2/3 IT_10,0.3143280968447043,5560,0.4513034670734765,802
L2/3 IT_12,0.31931625754957965,1117,0.41328724422694285,37334
L2/3 IT_13,0.41901355718761535,7270,0.4967094167015523,6131
L4 IT_1,0.5611366919470456,4745,0.541796819820318,41911
L4 IT_2,0.5236614533982493,14416,0.5305454628588356,16512
L4 IT_3,0.46938062666919694,3145,0.5059884520748048,3408
L4 IT_4,0.4834835610456175,2267,0.517120838538028,7624
L5 ET_1,0.5686257160258493,474,0.5368870749746433,693
L5 ET_2,0.6079532602390725,1027,0.5573728749694574,12381
L5 IT_1,0.5985808781787054,6071,0.6139921173364002,1272
L5 IT_2,0.6151413888295247,4430,0.585268283125153,7210
L5 IT_3,0.6874885826328057,2794,0.6501355050899179,1190
L5 IT_5,0.5935674471517951,2264,0.570162196724717,3914
