gene,n_total_transcripts,n_nuclear,pct_nuclear
GABPB1-AS1,34919,26230,75.12
HIF3A,60186,44422,73.81
MOG,296581,203397,68.58
IFITM3,254209,167705,65.97
CAPN3,76957,50696,65.88
DISC1,28367,18134,63.93
LPAR6,51451,31993,62.18
TF,345168,209448,60.68
TMEM144,254659,149436,58.68
CYBA,10001,5839,58.38
CNDP1,145029,83123,57.31
KLF2,74447,42408,56.96
HHIP,71746,40490,56.44
AKAP8L,54936,30847,56.15
CLDN11,182029,99874,54.87
AJ009632.2,84868,46286,54.54
ENPP2,244457,133077,54.44
SLC44A1,226821,122123,53.84
MAG,146181,78129,53.45
EVI2A,72308,38319,52.99
CSF1R,65768,34704,52.77
NPIPA1,663750,346340,52.18
ITGAX,46978,24180,51.47
APOLD1,36873,18833,51.08
UGT8,19738,9929,50.3
ANLN,69571,34149,49.09
VIP,73606,35684,48.48
TREM2,13937,6755,48.47
CYBB,53414,25838,48.37
RERGL,45017,21672,48.14
GJB1,51553,24674,47.86
ACO1,92480,43933,47.51
OLR1,19862,9403,47.34
ABCG2,160570,75873,47.25
NOTCH1,197074,92663,47.02
CLDN5,77698,36436,46.89
CSMD1,353060,164864,46.7
RNASE1,316113,147113,46.54
ABCA2,529705,246444,46.52
PWP2,38782,17949,46.28
TXNIP,156016,71854,46.06
TNFSF10,44057,20224,45.9
LATS1,153436,69761,45.47
EDIL3,273800,124339,45.41
ALCAM,156916,70908,45.19
PLP1,549220,247475,45.06
RELN,80934,35784,44.21
CD53,48500,21365,44.05
GAD1,200225,87861,43.88
LILRB4,17527,7682,43.83
ARRDC3,58119,25369,43.65
ADAM28,57069,24803,43.46
FLT1,98333,42230,42.95
SLC2A1,136543,58568,42.89
CACNA1C,106556,45514,42.71
SLC14A1,45334,19354,42.69
C4A,78376,33236,42.41
XRRA1,131737,55622,42.22
CX3CR1,91380,38391,42.01
P2RY12,64287,26799,41.69
A2M,278923,116139,41.64
PMP22,128583,53176,41.36
CLDND1,633786,261325,41.23
HLA-B,276131,113836,41.23
C3,169632,68317,40.27
GAD2,145043,58386,40.25
PECAM1,81995,32878,40.1
TAGLN,78401,31378,40.02
SOX2-OT,197733,78755,39.83
ELMSAN1,37409,14865,39.74
LST1,11553,4557,39.44
CHI3L1,36909,14540,39.39
HLA-E,236193,92924,39.34
OLFML3,28008,10967,39.16
SELPLG,20571,8051,39.14
CNP,677176,263643,38.93
ITGB2,22870,8872,38.79
TMEM119,22869,8840,38.65
OGA,760650,292847,38.5
BCL6,88769,33941,38.24
HNRNPH3,328045,125406,38.23
MOBP,191066,72549,37.97
ITM2A,189249,71688,37.88
FGFR3,441037,166897,37.84
RIPOR2,100252,37779,37.68
SYK,24241,9133,37.68
SST,243038,91000,37.44
HTR2C,22197,8244,37.14
SESN1,140856,52162,37.03
CALB2,93563,34402,36.77
DBNDD2,442704,162250,36.65
C1orf61,488132,178401,36.55
CXCR4,17550,6405,36.5
AQP1,88588,32057,36.19
DDIT4,86099,31151,36.18
ZBTB16,147037,52587,35.76
RGS10,36934,13191,35.72
CRHBP,40331,14394,35.69
DCC,67316,23956,35.59
SLC32A1,75993,26682,35.11
C1QL2,40428,14145,34.99
ZNF483,532854,186444,34.99
ZNF804A,32700,11418,34.92
ALOX5AP,20697,7222,34.89
KRT17,24922,8611,34.55
C1QB,37528,12774,34.04
LAPTM5,72833,24742,33.97
SYTL4,22517,7643,33.94
KLK6,5297,1797,33.92
HMGB2,99177,33598,33.88
PPM1K,138022,46591,33.76
ERBB4,177122,59643,33.67
FSTL4,55964,18743,33.49
GALNT16,99884,33436,33.47
SSBP1,232096,77636,33.45
SERPING1,82643,27594,33.39
DACH1,29468,9784,33.2
TYROBP,22689,7477,32.95
NOS1,38624,12680,32.83
MEIS2,91446,29952,32.75
SLC39A8,70632,22881,32.39
ADCYAP1R1,196073,63270,32.27
CORT,48685,15474,31.78
PSMA7,451223,143077,31.71
SPRY2,232552,73707,31.69
KCNK1,483458,153202,31.69
RASGRF2,559156,177177,31.69
LY86,9651,3047,31.57
GNAL,155130,48966,31.56
CFAP36,418450,131881,31.52
CASC3,277483,87249,31.44
BLCAP,232309,73008,31.43
ITGAM,16860,5295,31.41
ATP2B4,426722,133903,31.38
LAMP5,115797,36278,31.33
BAIAP3,150591,47150,31.31
FKBP5,39188,12263,31.29
PLD4,28895,9010,31.18
ARPC1B,54785,16953,30.94
FSCN1,316845,97921,30.91
NXPH4,11364,3510,30.89
ADIRF,10143,3132,30.88
NRXN1,1102472,339465,30.79
CD74,140846,43214,30.68
SV2A,653175,199822,30.59
CTIF,142896,43646,30.54
PLAAT3,275418,83829,30.44
ADCYAP1,93891,28519,30.37
IGSF6,28359,8601,30.33
NPTX2,155054,46821,30.2
CAPZB,233275,70060,30.03
PLEC,315849,94081,29.79
GABBR2,469095,139229,29.68
AK5,1283605,378951,29.52
GRIN2A,92542,27273,29.47
SMAD1,76996,22681,29.46
CYP46A1,288494,84748,29.38
OSBPL1A,886857,260256,29.35
GADD45G,14020,4106,29.29
MYL6,222374,64953,29.21
CD68,53460,15560,29.11
CD52,3028,879,29.03
CHST1,373123,108085,28.97
ZP3,23718,6866,28.95
COMT,80571,23185,28.78
RANBP1,140290,40279,28.71
LZTS3,198926,56593,28.45
GJA1,741038,209609,28.29
TIMP1,16897,4781,28.29
CXCL14,354537,100260,28.28
MRPL27,78760,22126,28.09
NR4A2,74347,20841,28.03
THEMIS,7659,2138,27.91
SVBP,44210,12302,27.83
FILIP1,52355,14560,27.81
NUDT14,5509,1527,27.72
TNK2,497485,137922,27.72
ACTA2,164896,45487,27.59
SYT2,304511,83639,27.47
HLA-DPA1,36648,10021,27.34
FABP3,228409,61826,27.07
SCG3,793068,214511,27.05
BDNF,37122,10016,26.98
HSPA8,3147648,845575,26.86
VAMP1,416095,111672,26.84
CALB1,104105,27847,26.75
TSC22D3,216869,57990,26.74
CCK,563047,150250,26.69
CRYM,242640,64618,26.63
ISLR,37633,10007,26.59
GATD3B,174720,45993,26.32
RASD1,70511,18531,26.28
NRG1,81543,21425,26.27
AKT1,198681,51549,25.95
TRABD2A,15629,4049,25.91
AIF1,21168,5459,25.79
RTF2,404336,103964,25.71
P2RY13,42216,10853,25.71
PFN1,79213,20316,25.65
VGF,496470,127225,25.63
LINC02714,19990,5109,25.56
EPAS1,235916,60234,25.53
NPTX1,516869,131769,25.49
MRPL57,189105,48097,25.43
MAP2K1,260581,65929,25.3
RORB,247236,62321,25.21
FURIN,36668,9218,25.14
TTC9B,369842,92579,25.03
