sample_id,status,n_cells,n_basic_qc,n_wc_doublets,n_wc_doublets_all,n_resolved,n_persistent,n_insufficient,n_nuclear_only,n_glut_gaba_wc,n_glut_gaba_resolved,n_gaba_gaba_wc,n_gaba_gaba_resolved,resolution_rate,n_old_corr_qc_pass,n_hybrid_qc_pass,net_rescued,median_nuclear_fraction,n_high_umi_classified,n_high_umi_margin_pass,n_high_umi_total,n_high_umi_rescued,elapsed_sec
Br1113,success,57508,57021,699,706,529,167,3,82,586,428,113,101,75.7,55082,56206,1124,0.461,730,720,781,705,114.5
Br1139,success,59962,59320,385,386,283,102,0,61,338,244,47,39,73.5,57499,58571,1072,0.444,893,883,958,867,114.1
Br2039,success,45898,45200,166,167,123,43,0,27,148,107,18,16,74.1,42222,44675,2453,0.525,2447,2416,2611,2390,57.6
Br2421,success,67472,66554,413,419,319,93,1,58,354,267,59,52,77.2,63316,65742,2426,0.481,2247,2220,2446,2198,126.6
Br2719,success,61222,60227,275,283,213,60,2,95,215,160,60,53,77.5,58581,59489,908,0.514,808,801,947,796,125.0
Br5314,success,48542,47935,249,249,193,56,0,94,193,144,56,49,77.5,46394,47304,910,0.53,855,840,927,829,89.4
Br5373,success,66560,65289,517,526,404,111,2,90,432,325,85,79,78.1,64002,64447,445,0.467,126,124,178,123,108.4
Br5400,success,46917,46416,490,501,391,97,2,115,420,332,70,59,79.8,44809,45763,954,0.481,698,694,792,682,105.1
Br5436,success,46286,45671,477,486,370,107,0,137,386,287,91,83,77.6,44528,44987,459,0.436,238,234,273,224,151.6
Br5588,success,62396,61421,297,303,246,50,1,48,233,191,64,55,82.8,60091,60719,628,0.451,439,434,503,433,130.1
Br5590,success,56715,55925,314,317,230,84,0,61,253,177,61,53,73.2,54303,55230,927,0.438,798,788,902,772,109.3
Br5622,success,71389,70393,1319,1331,1065,252,2,146,1105,883,214,182,80.7,67852,69327,1475,0.485,621,615,679,596,155.6
Br5639,success,63221,62004,264,268,185,79,0,54,214,147,50,38,70.1,59599,61249,1650,0.459,1582,1556,1728,1522,138.6
Br5746,success,45675,44909,151,154,124,27,0,40,124,101,27,23,82.1,43716,44402,686,0.532,609,607,688,597,78.1
Br5931,success,45793,45026,319,324,240,79,0,111,254,188,65,52,75.2,43800,44402,602,0.477,491,485,552,458,127.6
Br5973,success,44655,44065,106,106,77,28,1,63,87,62,19,15,72.6,42587,43535,948,0.591,958,947,1004,921,91.2
Br6032,success,47384,46997,518,522,390,124,4,110,430,316,88,74,75.3,45350,46304,954,0.478,713,703,784,671,110.9
Br6389,success,53201,52551,320,325,257,63,0,60,264,207,56,50,80.3,50462,51902,1440,0.495,1311,1285,1439,1260,113.2
Br6432,success,41266,40683,274,280,206,67,1,63,229,167,45,39,75.2,39191,40157,966,0.489,867,856,1021,836,76.5
Br6437,success,59787,58967,246,248,179,65,2,75,193,133,53,46,72.8,56825,58244,1419,0.516,1349,1329,1482,1310,121.7
Br6496,success,59438,58763,347,349,262,84,1,65,290,215,57,47,75.5,57011,58032,1021,0.534,855,843,904,838,109.4
Br8433,success,61932,60888,916,922,665,251,0,183,778,548,138,117,72.6,58413,59870,1457,0.527,1086,1072,1160,1024,120.4
Br8667,success,68976,68075,878,881,674,202,2,215,700,530,178,144,76.8,66186,67003,817,0.496,387,379,421,356,175.5
Br8772,success,56956,55906,622,628,444,178,0,114,519,356,103,88,71.4,54359,55071,712,0.477,411,404,440,380,79.6
