level,celltype,class,logFC_corr,logFC_hybrid,logFC_delta,pval_corr,pval_hybrid,FDR_corr,FDR_hybrid
subclass,L6b,Glutamatergic,0.473015928538474,0.472832941922446,-0.00018298661602800248,0.0001960679883956,0.0002156038786277,0.0047056317214951,0.0051744930870665
subclass,Endothelial,Non-neuronal,-0.214872309194893,-0.213278049829035,0.0015942593658579973,0.0022270566788044,0.0022292076128984,0.0267246801456536,0.0267504913547817
subclass,Oligodendrocyte,Non-neuronal,-0.301151833705987,-0.299492249569797,0.001659584136190051,0.0439123190373008,0.0451159142321924,0.321111538527912,0.322009214320584
subclass,L6 IT Car3,Glutamatergic,0.227073059114308,0.22781706212003,0.0007440030057219993,0.053518589754652,0.053668202386764,0.321111538527912,0.322009214320584
subclass,Pvalb,GABAergic,-0.146169081201282,-0.141950901322418,0.004218179878863998,0.0942180373863637,0.100302170784613,0.414598974986655,0.408682189387342
subclass,L5/6 NP,Glutamatergic,0.159253052524797,0.15460410433243,-0.004648948192366997,0.106729274656257,0.116993305070018,0.414598974986655,0.408682189387342
subclass,L6 CT,Glutamatergic,0.181810776707308,0.183430750646977,0.001619973939669006,0.120924701037774,0.119198971904641,0.414598974986655,0.408682189387342
subclass,Pax6,GABAergic,-0.138994757440656,-0.130830692387236,0.008164065053420017,0.179228787518778,0.200325336895397,0.537686362556335,0.60097601068619
subclass,L2/3 IT,Glutamatergic,-0.0965486678209357,-0.0956524517632497,0.0008962160576860001,0.281577085003881,0.294572398218861,0.73172568151921,0.706973755725267
subclass,Lamp5,GABAergic,-0.0713140958734765,-0.0733045627866971,-0.0019904669132206065,0.304885700633004,0.291667193512229,0.73172568151921,0.706973755725267
subclass,OPC,Non-neuronal,-0.085947072904362,-0.0842807945360625,0.0016662783682994953,0.376875171321478,0.389815847167127,0.822273101065043,0.850507302910095
subclass,Vip,GABAergic,-0.0752579511670085,-0.0747199392476428,0.0005380119193656996,0.430867419613191,0.432595704137451,0.861734839226382,0.865191408274903
subclass,Astrocyte,Non-neuronal,-0.0552470191912841,-0.0536660171999277,0.0015810019913563983,0.467428263558729,0.480485792132656,0.862944486569962,0.872418544169627
subclass,L5 ET,Glutamatergic,-0.107365402622203,-0.106895965048838,0.0004694375733649975,0.507620120701666,0.508910817432283,0.870205921202856,0.872418544169627
subclass,Sst Chodl,GABAergic,0.0634922373704847,0.0535026530691941,-0.009989584301290606,0.581714853879024,0.64064800160804,0.885903023900019,0.890287763681268
subclass,Microglia-PVM,Non-neuronal,-0.0492193727000714,-0.0476772871260245,0.0015420855740468989,0.67103948020974,0.679035003749955,0.885903023900019,0.890287763681268
subclass,Sst,GABAergic,-0.0335161853252456,-0.0315405568092695,0.0019756285159760953,0.683225172142563,0.699242186677784,0.885903023900019,0.890287763681268
subclass,Chandelier,GABAergic,0.025410643754068,0.0207913483817905,-0.0046192953722774995,0.734369184929713,0.776349966449356,0.885903023900019,0.890287763681268
subclass,L6 IT,Glutamatergic,0.0321490513525838,0.0340781676172192,0.0019291162646353985,0.764281189635553,0.752560063620379,0.885903023900019,0.890287763681268
subclass,Lamp5 Lhx6,GABAergic,0.208004836538409,0.209708261874994,0.0017034253365849905,0.773343318270098,0.771599112941276,0.885903023900019,0.890287763681268
subclass,L4 IT,Glutamatergic,0.0316301675903754,0.0286509371989447,-0.002979230391430703,0.775165145912517,0.796517514892302,0.885903023900019,0.890287763681268
subclass,Sncg,GABAergic,0.0345887025262828,0.0339105036621131,-0.000678198864169699,0.812849264662616,0.816097116707829,0.886744652359217,0.890287763681268
subclass,VLMC,Non-neuronal,0.0189800048201816,0.0205891931147263,0.0016091882945446986,0.888217568189182,0.878870829303665,0.926835723327842,0.917082604490781
subclass,L5 IT,Glutamatergic,-0.0047470923526563,-0.0046958603491661,5.123200349019946e-05,0.957591839589166,0.958238699865385,0.957591839589166,0.958238699865385
