celltype,merfish_prop,xenium_prop
Astrocyte,0.12048893960549448,0.10898453415531424
Chandelier,0.002699147218915744,0.007561074920297745
Endothelial,0.04527334503120569,0.11601396913845317
L2/3 IT,0.09624682723338304,0.11204346360946361
L4 IT,0.05699172290882885,0.0555545885098776
L5 ET,0.0035122082543858502,0.011275796644527098
L5 IT,0.053190716616288033,0.034010314833770684
L5/6 NP,0.007147954683900886,0.0062537138292159955
L6 CT,0.013198994796710562,0.005277993012411615
L6 IT,0.03630666532977686,0.012952699963963065
L6 IT Car3,0.020896312881834602,0.002916569254499143
L6b,0.018301391455383235,0.05639790204863968
Lamp5,0.013302642335256198,0.009610478648258052
Lamp5 Lhx6,0.009427864019156181,0.0028987213358748314
Microglia-PVM,0.10185881005901667,0.06576912761506001
OPC,0.041646964079787345,0.015617342906294851
Oligodendrocyte,0.25920106660411607,0.21771538820529393
Pax6,0.002106154610568617,0.002805993572522035
Pvalb,0.01939993769705508,0.016566428093821996
Sncg,0.00453004676901249,0.006796731008257871
Sst,0.016230942803498558,0.026469610167685984
Sst Chodl,0.0027423093974990433,0.0018047230646471317
VLMC,0.03801805982917804,0.0807145573526015
Vip,0.017280975779747895,0.02398827810924813
