subclass,pearson_r,pearson_p,spearman_rho,spearman_p,class,n_cells_snrnaseq,n_cells_merscope
Astrocyte,0.5231062831019617,0.0,0.7084821314156325,0.0,Non-neuronal,2590,4913
Chandelier,0.47093835649108673,0.0,0.7141242089001087,0.0,GABAergic,684,187
Endothelial,0.5524732591371517,0.0,0.6696304658161973,0.0,Non-neuronal,89,3334
L2/3 IT,0.5342648102045189,0.0,0.7368955394056343,0.0,Glutamatergic,28712,1331
L4 IT,0.498695858240787,0.0,0.7418643853031776,0.0,Glutamatergic,16808,1376
L5 ET,0.3056227584990303,0.0,0.5836214252043687,2.6206824130949157e-302,Glutamatergic,371,2873
L5 IT,0.5264564477625364,0.0,0.7256469013787797,0.0,Glutamatergic,19580,1342
L5/6 NP,0.518469653010009,0.0,0.7396205319543244,0.0,Glutamatergic,3095,252
L6 CT,0.5105057150914973,0.0,0.7254484180643335,0.0,Glutamatergic,2683,396
L6 IT,0.5046529936536959,0.0,0.7269919945374697,0.0,Glutamatergic,5966,800
L6 IT Car3,0.49381897073490677,0.0,0.7256026254094322,0.0,Glutamatergic,4490,334
L6b,0.4999574970883458,0.0,0.707773520837449,0.0,Glutamatergic,2982,289
Lamp5,0.49529242524097145,0.0,0.7371953433082843,0.0,GABAergic,3356,362
Lamp5 Lhx6,0.5101758136389067,0.0,0.7222271176276824,0.0,GABAergic,2147,217
Microglia-PVM,0.5462427561903844,0.0,0.6779641029167572,0.0,Non-neuronal,1095,2804
OPC,0.5037936496250239,0.0,0.7167990843804897,0.0,Non-neuronal,2055,3758
Oligodendrocyte,0.5345630463343412,0.0,0.7379787486589466,0.0,Non-neuronal,5513,13908
Pax6,0.3269586555440558,0.0,0.63330777163635,0.0,GABAergic,659,501
Pvalb,0.4746163853441998,0.0,0.7401604935504612,0.0,GABAergic,10828,998
Sncg,0.47529810841445963,0.0,0.7142558322633392,0.0,GABAergic,1677,230
Sst,0.48197845838836395,0.0,0.7289947069686943,0.0,GABAergic,12393,892
Sst Chodl,0.3063357831889655,0.0,0.5913456504425724,2.69180450642e-312,GABAergic,159,194
VLMC,0.49577227366403775,0.0,0.6292756320060073,0.0,Non-neuronal,124,1546
Vip,0.5181966314250417,0.0,0.7397316758328809,0.0,GABAergic,9247,520
