gene,pearson_r,spearman_rho,mean_ref,mean_spatial,var_ref,var_spatial
A2M,0.9086745015041606,0.54,0.25125552804840473,0.6641832463239473,0.38388102024438137,1.113697139611731
ABCA2,0.7430856301501509,0.8521739130434782,0.24626884306062666,2.4359799862741283,0.08128151486677165,0.5733269531845443
ABCG2,0.9793197303743848,0.6008695652173912,0.12346248014792637,0.40215289485931455,0.2614939757611879,0.7595292832657173
ACO1,0.7402532899384139,0.7652173913043477,0.2483483643599175,1.2248937077736455,0.011816674634077892,0.20636469389827874
ACTA2,0.5962310918286683,0.39826086956521733,0.05364570154108699,1.2115624723830651,0.00392549303070362,0.13323955114534478
ACY3,0.9688227373038706,0.22865346980548654,0.01150795616518363,0.1307115375238179,0.0029250816476500473,0.02127553593917428
ADAM28,0.9897232220814524,0.003479017259890471,0.10893253060120846,0.4192098533462562,0.18326585956363664,0.12688416809403535
ADCYAP1,0.9069294539616247,0.6243478260869564,0.024542040673029248,0.35061771522098756,0.002250891806335247,0.10912463112525644
ADCYAP1R1,0.9323660667368215,0.954782608695652,0.22444768274760052,1.858391548796037,0.04085072615891103,1.027690770711269
ADIRF,0.8586307600323503,0.7017391304347826,0.05181694268891451,0.0996342484946333,0.02308183921258058,0.022563750989466586
AIF1,0.9964271426525584,0.11521392056361414,0.011827880471354189,0.11512357864813343,0.002896363146091746,0.026677611114587985
AJ009632.2,0.8828079940052196,0.7913043478260868,0.17410370108388531,0.3582949752988649,0.08520281869924055,0.21497212338921354
AK5,0.8943716214382404,0.8947826086956522,1.1421814180355725,3.5235062090372806,0.44295170986356597,1.81291815187795
AKAP8L,0.7917736542847144,0.6495652173913044,0.45925949334094934,0.6580267764974278,0.01846256655942456,0.03907342991223794
AKT1,0.3075929653024836,0.34347826086956523,0.10100348907797885,1.8043931821396841,0.00041544649800838153,0.13814804133906242
ALCAM,0.8303927154569313,0.8339130434782607,0.8254088846228723,1.4222813111114652,0.34491187410219987,0.6278371691587056
ALDH1A1,0.5752184639813791,0.646086956521739,0.10567234763451355,0.4158290337472703,0.0584242472156201,0.04044125694861392
ALOX5AP,0.9982123685233922,0.12358577352456064,0.013737627453484459,0.12607867569522768,0.003086512762924705,0.05145467848662774
ANLN,0.9223817527109174,0.8401826682635489,0.08571332813712508,0.39322292388178837,0.06812632114710614,0.14499624400269304
APOLD1,0.9715205398283734,0.4278260869565217,0.10171923505646178,0.4531896631234836,0.02888104855328394,0.5215922617275791
AQP1,0.90969181915588,0.7382608695652173,0.015938436744762387,0.6200538595033894,0.00030720518844562056,0.1265288601919885
AQP4,0.94892292290445,0.3313043478260869,0.07784522094344806,2.0984510230999565,0.08261511102828653,0.5606921811369868
ARPC1B,0.8817143000572203,0.6591304347826087,0.08082497680037391,0.37600348878225054,0.014389568477228923,0.1462621550786736
ARPP19,0.9477646202800023,0.8069565217391305,0.45931220460968253,1.2077195292168594,0.07596436450893795,0.38283655689162455
ARRDC3,0.43417836632625323,0.43478260869565216,0.10587666374721222,0.8020153158897356,0.0015182242125729788,0.0428966043492012
ATP2B4,0.8574467542986463,0.8695652173913043,0.4656044437905582,2.346513189159785,0.11061364572234204,1.392114514819461
BAIAP3,0.8639865928309811,0.8791304347826084,0.1550294086349672,1.1462254456775323,0.0175901405295744,0.4143901826377106
BCAS1,0.9394797499670988,0.3826918985879519,0.16138554756479903,1.054747043689052,0.24632303769047162,0.4270283892106632
BCL6,0.8028594405037102,0.8104347826086956,0.13820919107248544,0.9171929417738701,0.02356063926534216,0.2640644379198736
BDNF,0.9393200922861089,0.8458360713108709,0.056271153901748396,0.2314139339725668,0.008826766075635468,0.07478367544048709
BLCAP,0.48689662488316343,0.18956521739130433,0.3383666454736924,1.7745923259590468,0.010060880085706327,0.3093924094890741
C14orf132,0.8862357470589681,0.8730434782608695,0.16848535206321671,1.975923269256107,0.016382463531419575,0.666300878478165
C1QA,0.9519790374623714,0.16911778562619312,0.022368969017802123,0.5424053714826191,0.011143198298196511,0.12137908204602667
C1QB,0.9913013791634293,0.26196702697811797,0.03312051880040072,0.3160561368694132,0.023822595064467614,0.1773973777158613
C1QL2,0.918196293767487,0.6784083656786418,0.030479417114228875,0.3333454061253945,0.003996171640458662,0.1501648612326033
C1orf61,0.9038796960682951,0.8834782608695652,0.427917005450196,2.19189455666432,0.1738292873166631,0.5551581321289608
C3,0.9940234377554944,0.27391304347826084,0.06983400840843713,0.4916662478149723,0.09854761276548667,0.2852633485192509
C4A,0.18986673129048734,-0.0834057656228299,9.2046156955718e-05,0.5680664716237681,1.93506519347024e-08,0.19562114379296913
CABP1,0.9396051344250799,0.96,0.8610588396800937,2.517197046699406,0.45047949723636477,1.09015044895647
CACNA1C,0.926576859192696,0.8034782608695652,1.5723570851851656,1.3776757967208082,0.46674506581631164,0.3608556022274136
CALB1,0.9372150704054034,0.8110458987119661,0.05581587836567856,0.6355115012352311,0.009594701120110816,0.6016798216492866
CALB2,0.9590831130746807,0.8532289829881382,0.06892740986173942,0.600044445330771,0.03728762567195557,1.1169013680238378
CAMK2N1,0.6501190702655805,0.7582608695652173,0.7316517012447262,4.7703338236109625,0.11350524246057579,0.5872328601629228
CAPN3,0.9710630941057224,0.5434782608695652,0.10173305362203135,0.3645177924654425,0.04880244961137531,0.17684080388001353
CAPZB,-0.16298750955315183,0.17913043478260868,0.6473839330746185,2.0496426791999807,0.06458031453319778,0.1759400576851499
CARTPT,0.9380323900879852,0.42835400012401426,0.011114242832606626,0.2087580933319754,0.0007614165539673155,0.021643118680785584
CASC3,0.5272487918965865,0.4878260869565217,0.24978342336105977,2.0602702830442188,0.001871116929161581,0.14188301448595722
CCK,0.8141630668261887,0.7052173913043478,0.7762356518572426,2.0250904667479315,0.5698450198968191,1.5167205567497966
CCNI,0.7717007332146089,0.8182608695652173,0.7617869409507664,4.415818281355469,0.046791438634087794,0.32445748095129984
CD52,0.958754289405302,0.46753923595338626,0.0028256257277032167,0.0192986415247304,4.8852688781115076e-05,0.0008242804450379996
CD53,0.9710139205698446,0.6452173913043477,0.06701451621985649,0.19366667858765418,0.04434650930264004,0.07668568997660424
CD68,0.9914945995558101,0.28521739130434776,0.01319564487648949,0.3198097140720138,0.001877219613230901,0.08661826599611355
CD74,0.9441370411474831,0.5460869565217391,0.0833631442370358,0.6394175169318844,0.11785651645167196,0.3329199281657738
CFAP36,0.9153480713718646,0.7608695652173912,0.3669798260263472,2.428112950569618,0.018849109807878666,0.6648460427503015
CHI3L1,0.9562008411716787,0.6044792489059694,0.018316049218680172,0.2915455196590678,0.0008103779888347194,0.0733922555271563
CHST1,0.9039759732760249,0.9226086956521738,0.15467360595295382,1.9868828636043752,0.019044258528495412,1.0634079553765172
CLDN11,0.8993769253269444,0.5556521739130434,0.13605896824110195,0.48642950855950207,0.15718566287981847,0.4332626065285721
CLDN5,0.9773271670910014,0.5213230869099423,0.10782850195496196,0.30215332589898813,0.2566320667846059,0.6714527963904731
