sample_id,diagnosis,celltype,count,n_cortical,cortical_area_mm2,proportion_pct,density_per_mm2
Br1113,Control,Sst_2,8,46470,49.22754092936129,0.017215407789972024,0.16251065661556288
Br1113,Control,Sst_22,8,46470,49.22754092936129,0.017215407789972024,0.16251065661556288
Br1113,Control,Sst_25,32,46470,49.22754092936129,0.0688616311598881,0.6500426264622515
Br1113,Control,Sst_20,233,46470,49.22754092936129,0.5013987518829353,4.733122873928269
Br1113,Control,Sst_3,198,46470,49.22754092936129,0.42608134280180765,4.022138751235182
Br1113,Control,Pvalb_14,0,46470,49.22754092936129,0.0,0.0
Br1113,Control,Pvalb_7,0,46470,49.22754092936129,0.0,0.0
Br1113,Control,L5/6 NP_4,267,46470,49.22754092936129,0.5745642349903163,5.423793164544412
Br1113,Control,L2/3 IT_7,919,46470,49.22754092936129,1.9776199698730363,18.668411678712786
Br1113,Control,L6b_1,683,46470,49.22754092936129,1.4697654400688618,13.87434730855368
Br1113,Control,L6b_2,567,46470,49.22754092936129,1.2201420271142671,11.51794278762802
Br1113,Control,L6b_4,42,46470,49.22754092936129,0.09038089089735313,0.8531809472317051
Br1113,Control,L6 CT_1,0,46470,49.22754092936129,0.0,0.0
Br1113,Control,L6 CT_3,123,46470,49.22754092936129,0.2646868947708199,2.4986013454642793
Br1139,SCZ,Sst_2,2,41184,62.90031788126621,0.004856254856254856,0.03179634169377808
Br1139,SCZ,Sst_22,16,41184,62.90031788126621,0.03885003885003885,0.25437073355022466
Br1139,SCZ,Sst_25,11,41184,62.90031788126621,0.02670940170940171,0.17487987931577947
Br1139,SCZ,Sst_20,140,41184,62.90031788126621,0.33993783993783994,2.225743918564466
Br1139,SCZ,Sst_3,115,41184,62.90031788126621,0.27923465423465427,1.8282896473922399
Br1139,SCZ,Pvalb_14,0,41184,62.90031788126621,0.0,0.0
Br1139,SCZ,Pvalb_7,0,41184,62.90031788126621,0.0,0.0
Br1139,SCZ,L5/6 NP_4,285,41184,62.90031788126621,0.692016317016317,4.530978691363377
Br1139,SCZ,L2/3 IT_7,1171,41184,62.90031788126621,2.8433372183372185,18.616758061707067
Br1139,SCZ,L6b_1,1697,41184,62.90031788126621,4.120532245532246,26.979195927170704
Br1139,SCZ,L6b_2,1179,41184,62.90031788126621,2.8627622377622375,18.74394342848218
Br1139,SCZ,L6b_4,101,41184,62.90031788126621,0.24524087024087024,1.6057152555357932
Br1139,SCZ,L6 CT_1,0,41184,62.90031788126621,0.0,0.0
Br1139,SCZ,L6 CT_3,119,41184,62.90031788126621,0.28894716394716397,1.891882330779796
Br2039,SCZ,Sst_2,3,18078,37.194532906037054,0.016594756057085963,0.08065701503978477
Br2039,SCZ,Sst_22,1,18078,37.194532906037054,0.005531585352361987,0.026885671679928256
Br2039,SCZ,Sst_25,6,18078,37.194532906037054,0.033189512114171926,0.16131403007956954
Br2039,SCZ,Sst_20,37,18078,37.194532906037054,0.20466865803739354,0.9947698521573455
Br2039,SCZ,Sst_3,28,18078,37.194532906037054,0.15488438986613562,0.7527988070379912
Br2039,SCZ,Pvalb_14,0,18078,37.194532906037054,0.0,0.0
Br2039,SCZ,Pvalb_7,0,18078,37.194532906037054,0.0,0.0
Br2039,SCZ,L5/6 NP_4,146,18078,37.194532906037054,0.8076114614448502,3.925308065269525
Br2039,SCZ,L2/3 IT_7,212,18078,37.194532906037054,1.1726960947007412,5.69976239614479
Br2039,SCZ,L6b_1,515,18078,37.194532906037054,2.8487664564664232,13.846120915163052
Br2039,SCZ,L6b_2,392,18078,37.194532906037054,2.1683814581258987,10.539183298531876
Br2039,SCZ,L6b_4,43,18078,37.194532906037054,0.23785817015156543,1.156083882236915
Br2039,SCZ,L6 CT_1,1,18078,37.194532906037054,0.005531585352361987,0.026885671679928256
Br2039,SCZ,L6 CT_3,69,18078,37.194532906037054,0.38167938931297707,1.8551113459150497
Br2421,SCZ,Sst_2,8,45198,60.93846908671117,0.017699898225585202,0.13127996354185664
Br2421,SCZ,Sst_22,14,45198,60.93846908671117,0.030974821894774105,0.2297399361982491
Br2421,SCZ,Sst_25,39,45198,60.93846908671117,0.08628700384972787,0.6399898222665511
Br2421,SCZ,Sst_20,200,45198,60.93846908671117,0.44249745563963006,3.281999088546416
Br2421,SCZ,Sst_3,101,45198,60.93846908671117,0.2234612150980132,1.6574095397159399
Br2421,SCZ,Pvalb_14,0,45198,60.93846908671117,0.0,0.0
Br2421,SCZ,Pvalb_7,1,45198,60.93846908671117,0.0022124872781981502,0.01640999544273208
Br2421,SCZ,L5/6 NP_4,247,45198,60.93846908671117,0.5464843577149431,4.053268874354823
Br2421,SCZ,L2/3 IT_7,1408,45198,60.93846908671117,3.1151820877029954,23.105273583366767
Br2421,SCZ,L6b_1,1015,45198,60.93846908671117,2.2456745873711226,16.65614537437306
Br2421,SCZ,L6b_2,964,45198,60.93846908671117,2.132837736183017,15.819235606793724
Br2421,SCZ,L6b_4,75,45198,60.93846908671117,0.16593654586486126,1.230749658204906
Br2421,SCZ,L6 CT_1,1,45198,60.93846908671117,0.0022124872781981502,0.01640999544273208
Br2421,SCZ,L6 CT_3,147,45198,60.93846908671117,0.3252356298951281,2.4122693300816156
Br2719,Control,Sst_2,5,44264,68.38201957886443,0.011295861196457618,0.07311863602146966
Br2719,Control,Sst_22,6,44264,68.38201957886443,0.013555033435749141,0.08774236322576359
Br2719,Control,Sst_25,18,44264,68.38201957886443,0.040665100307247425,0.26322708967729075
