stratum,celltype,scz_mean,ctrl_mean,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr_global,pval_fdr_stratum
L4,Sst Chodl_2,0.00217689194361895,0.005080299184779666,-0.002903407241160716,-1.2222650355839653,12,12,9.0,0.0003080447056277469,0.07856931452865154,0.031420559974030184
L2/3,Oligo_2,0.0003879907189207583,0.00013335382976332045,0.00025463688915743787,1.533698287767143,12,12,134.0,0.0003842020270349709,0.07856931452865154,0.03534658648721732
L6,Pvalb_13,0.00016170552017799177,0.0005426709506306084,-0.0003809654304526166,-1.740470545508092,12,12,16.5,0.0014608406800602483,0.14237493383950098,0.15630995276644657
L4,Sst_11,0.007806670891595452,0.004944388568935067,0.0028622823226603852,0.6588083609675511,12,12,127.0,0.0016520394562341645,0.14237493383950098,0.08284898350562649
L2/3,Sst Chodl_2,0.004080521200187275,0.007477362210156993,-0.003396841009969718,-0.8736153980328277,12,12,18.0,0.0020095048556600134,0.14237493383950098,0.0903331486163448
L5,Sst Chodl_2,0.0010771001630092085,0.0019054891703925003,-0.0008283890073832918,-0.8224271152843019,12,12,19.0,0.002436734808989014,0.14237493383950098,0.20923184878120318
L4,Pvalb_5,0.0033817267660084666,0.005481466199169734,-0.002099739433161267,-0.6966383617321966,12,12,19.0,0.002436734808989014,0.14237493383950098,0.08284898350562649
L2/3,Endo_2,0.03579081087555152,0.046190867250250935,-0.010400056374699415,-0.3680093282560022,12,12,20.0,0.0029456461505329825,0.15059615944599872,0.0903331486163448
L4,L2/3 IT_8,0.024133829764269626,0.03842611486740282,-0.014292285103133195,-0.6710080112650106,12,12,21.0,0.003549838634913564,0.16017105775443516,0.0868343922249234
L6,L4 IT_2,0.003379362663261392,0.006127059398193783,-0.0027476967349323914,-0.8582522463202519,12,12,22.0,0.004264764914030537,0.16017105775443516,0.21752907154664566
L4,Vip_12,0.000326561951542725,0.00070926444449635,-0.00038270249295362503,-1.116588478222657,12,12,23.0,0.00509827779407119,0.16017105775443516,0.0868343922249234
L5,Oligo_1,0.006105082381217767,0.002917472271165367,0.0031876101100524,1.065033693006815,12,12,121.0,0.005107905424995494,0.16017105775443516,0.20923184878120318
L4,L6b_1,0.013155732465245117,0.008248884398465117,0.00490684806678,0.6733554247954632,12,12,121.0,0.005107905424995494,0.16017105775443516,0.0868343922249234
L5,Chandelier_2,0.013045521971582352,0.017536479053798924,-0.004490957082216572,-0.4267761259057901,12,12,24.0,0.006098945931214364,0.16017105775443516,0.20923184878120318
