,MERFISH,Xenium_Corr_Mean,Xenium_Corr_Std,Ratio
Oligodendrocyte,0.3066594834322088,0.20953516945212813,0.047858310440774515,0.6832828618471495
Astrocyte,0.11205263043583057,0.10472880919818196,0.016422761196176947,0.9346394528253154
Microglia-PVM,0.10362716258530753,0.041508317824559555,0.015608155281195473,0.4005544182529291
L2/3 IT,0.09069892977222896,0.1466483472458161,0.02720366960595618,1.616869654516235
L4 IT,0.0515481830283902,0.03794785819616276,0.010061638996264582,0.7361628667932476
L5 IT,0.048171109306473545,0.025488054612549955,0.005525594834981675,0.5291149608033774
Endothelial,0.040693870783359266,0.12019567481990907,0.010127910009456453,2.953655489294473
OPC,0.03976683093812724,0.009044278096541196,0.002089365529774334,0.22743270919961125
VLMC,0.03443237880013498,0.11933256166584723,0.03162789030025791,3.4657077385945647
L6 IT,0.03338085074711465,0.04357716559593885,0.0105131443462633,1.3054540139216055
L6 IT Car3,0.01933328353805022,0.00029842853998909624,0.0002810731542145531,0.015435998722190833
L6b,0.017708579992149295,0.01945311318688196,0.0034454973679746005,1.0985134435119057
Pvalb,0.017612167848245167,0.007994156267045164,0.002170264499782898,0.453899618486868
Vip,0.015438656713966888,0.02051677714849702,0.004862234646122092,1.3289224269062287
Sst,0.014818864360297479,0.019480245690613674,0.003355998759986936,1.3145572573567048
L6 CT,0.012768252222644246,0.00407127730540932,0.0010924539784405501,0.31885940490656894
Lamp5,0.011177451848226097,0.006405991517443438,0.0008691943078780796,0.5731173441342172
Lamp5 Lhx6,0.0087109961228545,0.002977007846538419,0.0005559807239848237,0.34175286093031637
L5/6 NP,0.0066121779132492006,0.004644394928552286,0.0014006210945841588,0.7024001757796089
Sncg,0.004202404052700361,0.004409361497146716,0.000809569913775612,1.0492473931233168
L5 ET,0.0035460598422760894,0.0038893912256875163,0.001268558878362314,1.096820527199861
Sst Chodl,0.002576111295636185,0.004090299800116854,0.0016184625314223649,1.5877807014959466
Chandelier,0.002396530434188382,0.021503245205726485,0.005060892817671605,8.972656845482064
Pax6,0.0020670339863402003,0.022260073132717214,0.0036241624682487408,10.769089081176611
